1009449 reads, max len 184, avg 171.0

Length         MaxEE 0.50         MaxEE 1.00         MaxEE 2.00
------   ----------------   ----------------   ----------------
     5    1009447(100.0%)    1009449(100.0%)    1009449(100.0%)
    10    1009418(100.0%)    1009449(100.0%)    1009449(100.0%)
    15    1009359(100.0%)    1009449(100.0%)    1009449(100.0%)
    20    1009332(100.0%)    1009449(100.0%)    1009449(100.0%)
    25    1008757( 99.9%)    1009449(100.0%)    1009449(100.0%)
    30    1004695( 99.5%)    1009439(100.0%)    1009449(100.0%)
    35    1002870( 99.3%)    1009430(100.0%)    1009449(100.0%)
    40    1000594( 99.1%)    1009410(100.0%)    1009449(100.0%)
    45     999429( 99.0%)    1009402(100.0%)    1009449(100.0%)
    50     997891( 98.9%)    1009371(100.0%)    1009449(100.0%)
    55     996116( 98.7%)    1009344(100.0%)    1009449(100.0%)
    60     995191( 98.6%)    1009316(100.0%)    1009449(100.0%)
    65     994373( 98.5%)    1009293(100.0%)    1009449(100.0%)
    70     993456( 98.4%)    1009269(100.0%)    1009449(100.0%)
    75     992601( 98.3%)    1009239(100.0%)    1009449(100.0%)
    80     991618( 98.2%)    1009202(100.0%)    1009449(100.0%)
    85     990568( 98.1%)    1009165(100.0%)    1009449(100.0%)
    90     989503( 98.0%)    1009131(100.0%)    1009449(100.0%)
    95     988397( 97.9%)    1009081(100.0%)    1009449(100.0%)
   100     987258( 97.8%)    1009047(100.0%)    1009449(100.0%)
   105     986139( 97.7%)    1009013(100.0%)    1009449(100.0%)
   110     985029( 97.6%)    1008947(100.0%)    1009449(100.0%)
   115     983967( 97.5%)    1008905( 99.9%)    1009449(100.0%)
   120     982821( 97.4%)    1008856( 99.9%)    1009449(100.0%)
   125     974784( 96.6%)    1008497( 99.9%)    1009449(100.0%)
   130     956116( 94.7%)    1007252( 99.8%)    1009446(100.0%)
   135     938252( 92.9%)    1005329( 99.6%)    1009434(100.0%)
   140     923254( 91.5%)    1003139( 99.4%)    1009424(100.0%)
   145     908466( 90.0%)    1000627( 99.1%)    1009409(100.0%)
   150     891241( 88.3%)     997558( 98.8%)    1009394(100.0%)
   155     872312( 86.4%)     993716( 98.4%)    1009363(100.0%)
   160     851880( 84.4%)     989230( 98.0%)    1009296(100.0%)
   165     832762( 82.5%)     984271( 97.5%)    1008218( 99.9%)
   170     524529( 52.0%)     636891( 63.1%)     656429( 65.0%)
   175     113027( 11.2%)     144375( 14.3%)     150517( 14.9%)
   180       3355(  0.3%)       4658(  0.5%)       4997(  0.5%)
