samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220
ClaidentTutorial__Sample01__MiFish	492	0	496	0	0	494	0	0	0	0	0	0	0	0	496	0	0	0	0	0	495	489	0	0	492	489	496	0	0	0	493	0	0	499	0	496	0	496	0	492	0	0	500	0	0	0	0	0	0	0	0	493	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	495	0	0	0	0	0	0	492	0	0	0	0	0	492	0	0	0	0	0	0	498	0	495	494	493	495	492	0	0	0	0	0	0	0	0	0	0	491	489	0	0	491	0	0	0	493	0	0	0	0	488	0	490	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	495	494	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	489	492	485	0	491	496	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	494	0	493	0	0	0	0	0	0	0	491	0	0	491	0	491	0	0	0	0	0	0	0	0	490	0	0	489	0	0	0	0	0	0	487	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	494	493	495	0	0	491	0	0	497	0	0	0	0	0	494	0	487	0	0	0	495	499	0	0	497	493	487	496	492	0	498	0	0	496	0	498	0	496	0	493	488	0	493	0	0	0	0	0	0	493	0	493	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	494	495	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	496	0	491	0	494	493	498	493	493	0	0	0	0	0	0	0	0	0	0	486	492	0	0	494	0	0	0	490	0	0	0	0	498	494	492	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	494	494	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	494	490	496	0	490	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	499	492	494	0	0	496	0	493	490	0	0	0	0	0	495	0	496	0	0	485	496	491	0	0	493	495	494	496	498	0	489	0	0	495	0	496	0	494	0	492	491	486	494	0	0	0	0	0	0	498	0	494	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	495	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	492	0	493	494	492	488	497	0	492	0	0	0	0	0	0	0	0	491	495	0	492	497	0	0	0	497	0	0	0	0	491	491	495	0	0	492	0	0	0	0	0	0	0	0	486	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	493	496	498	0	0	0	495	490	495	0	0	0	0	0	496	489	488	0	0	492	492	503	0	0	497	0	496	493	498	0	497	0	0	490	0	493	0	494	0	492	490	487	493	0	0	0	0	0	492	492	0	0	0	0	0	0	0	0	0	0	0	490	0	0	493	495	0	498	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	498	495	0	492	493	491	497	491	0	494	0	0	0	0	0	490	0	0	494	486	0	495	0	0	0	0	0	0	0	0	0	0	492	0	493	0	494	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	498	497	492	0	0	0	494	500	498	0	0	0	0	0	497	495	487	0	0	496	494	495	0	0	495	0	496	496	494	0	495	0	0	494	0	491	493	486	0	491	497	492	493	0	0	0	0	0	491	494	0	0	495	0	496	0	0	0	0	0	0	491	0	0	495	496	0	494	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	498	0	0	0	0	0	0	0	0	494	495	0	0	0	0	493	488	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	493	0	489	0	0	0	0	0	0	0	488	491	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	493	493	494	490	499	0	493	494	492	0	0	0	0	0	494	490	495	0	0	496	495	495	0	0	487	0	0	496	495	0	494	0	493	487	0	493	496	495	0	497	496	492	497	0	0	0	0	0	490	494	0	0	493	0	491	0	0	490	0	0	0	496	0	0	485	485	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	491	493	491	0	0	0	0	492	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	489	0	0	488	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	496	492	493	499	495	502	493	492	496	493	490	0	0	0	493	491	493	495	0	497	499	496	0	0	490	0	0	488	490	0	487	495	496	494	0	498	495	497	0	496	489	486	495	0	0	0	0	0	0	496	0	0	0	493	493	0	0	491	0	497	0	491	0	0	488	491	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	492	0	0	0	0	0	0	493	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	490	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	0
ClaidentTutorial__Sample08__MiFish	496	496	498	496	496	495	494	486	497	492	485	0	0	0	490	493	498	491	0	487	493	489	0	0	495	0	0	496	494	491	494	496	491	485	0	494	495	493	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	493	489	0	0	491	0	485	492	490	0	0	497	493	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	492	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	490	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	492	496	495	496	495	489	493	494	497	489	494	494	492	494	497	492	490	496	0	499	498	495	496	0	496	0	0	488	496	491	495	494	491	492	0	0	491	0	0	0	498	0	0	0	0	0	492	0	0	0	0	0	495	494	496	0	0	493	0	495	496	496	0	0	0	490	0	0	0	0	0	0	491	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	495	497	500	497	493	494	497	495	490	500	492	493	492	488	496	506	509	494	491	490	498	494	496	0	495	0	0	492	496	492	0	495	487	0	0	0	496	0	0	0	498	0	0	0	0	0	496	0	0	0	0	0	491	494	496	0	0	494	0	491	496	0	492	493	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	486	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
