samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	001_unidentified_Siganus	492
ClaidentTutorial__Sample01__MiFish	002_Osphronemus_goramy	0
ClaidentTutorial__Sample01__MiFish	003_Amazonsprattus_scintilla	496
ClaidentTutorial__Sample01__MiFish	004_unidentified_Cobitinae	0
ClaidentTutorial__Sample01__MiFish	005_Xiphophorus_hellerii	0
ClaidentTutorial__Sample01__MiFish	006_Papyrocranus_congoensis	494
ClaidentTutorial__Sample01__MiFish	007_Synodus_variegatus	0
ClaidentTutorial__Sample01__MiFish	008_Pseudaesopia_japonica	0
ClaidentTutorial__Sample01__MiFish	009_Coreoperca_herzi	0
ClaidentTutorial__Sample01__MiFish	010_Nemipterus_bathybius	0
ClaidentTutorial__Sample01__MiFish	011_Rasbora_argyrotaenia	0
ClaidentTutorial__Sample01__MiFish	012_Eleginops_maclovinus	0
ClaidentTutorial__Sample01__MiFish	013_Leptoderma_lubricum	0
ClaidentTutorial__Sample01__MiFish	014_Lycothrissa_crocodilus	0
ClaidentTutorial__Sample01__MiFish	015_Acheilognathus_yamatsutae	496
ClaidentTutorial__Sample01__MiFish	016_Ethmidium_maculatum	0
ClaidentTutorial__Sample01__MiFish	017_Onychostoma_rara	0
ClaidentTutorial__Sample01__MiFish	018_Clinocottus_analis	0
ClaidentTutorial__Sample01__MiFish	019_Stolephorus_commersonnii	0
ClaidentTutorial__Sample01__MiFish	020_Chauliodus_sloani	0
ClaidentTutorial__Sample01__MiFish	021_Barbatula_barbatula	495
ClaidentTutorial__Sample01__MiFish	022_Platydoras_armatulus	489
ClaidentTutorial__Sample01__MiFish	023_Jaydia_lineata	0
ClaidentTutorial__Sample01__MiFish	024_Calotomus_japonicus	0
ClaidentTutorial__Sample01__MiFish	025_Scriptaphyosemion_schmitti	492
ClaidentTutorial__Sample01__MiFish	026_Masturus_lanceolatus	489
ClaidentTutorial__Sample01__MiFish	027_Scriptaphyosemion_bertholdi	496
ClaidentTutorial__Sample01__MiFish	028_Novumbra_hubbsi	0
ClaidentTutorial__Sample01__MiFish	029_Acheilognathus_majusculus	0
ClaidentTutorial__Sample01__MiFish	030_Lepomis_punctatus	0
ClaidentTutorial__Sample01__MiFish	031_Stomias_atriventer	493
ClaidentTutorial__Sample01__MiFish	032_Zenion_japonicum	0
ClaidentTutorial__Sample01__MiFish	033_Biwia_zezera	0
ClaidentTutorial__Sample01__MiFish	034_Pseudolaubuca_engraulis	499
ClaidentTutorial__Sample01__MiFish	035_Orestias_ascotanensis	0
ClaidentTutorial__Sample01__MiFish	036_Geophagus_brasiliensis	496
ClaidentTutorial__Sample01__MiFish	037_Triplophysa_xiangxiensis	0
ClaidentTutorial__Sample01__MiFish	038_Polydactylus_plebeius	496
ClaidentTutorial__Sample01__MiFish	039_Channa_striata	0
ClaidentTutorial__Sample01__MiFish	040_Epigonus_denticulatus	492
ClaidentTutorial__Sample01__MiFish	041_unidentified_Sardinella	0
ClaidentTutorial__Sample01__MiFish	042_Omegophora_armilla	0
ClaidentTutorial__Sample01__MiFish	043_Macrochirichthys_macrochirus	500
ClaidentTutorial__Sample01__MiFish	044_unidentified_Tenualosa	0
ClaidentTutorial__Sample01__MiFish	045_Phenacogrammus_interruptus	0
ClaidentTutorial__Sample01__MiFish	046_Sargocentron_rubrum	0
ClaidentTutorial__Sample01__MiFish	047_Danio_albolineatus	0
ClaidentTutorial__Sample01__MiFish	048_Ehirava_fluviatilis	0
ClaidentTutorial__Sample01__MiFish	049_Pterothrissus_gissu	0
ClaidentTutorial__Sample01__MiFish	050_Enteromius_eburneensis	0
ClaidentTutorial__Sample01__MiFish	051_unidentified_Squalidus	0
ClaidentTutorial__Sample01__MiFish	052_Sinocyclocheilus_altishoulderus	493
ClaidentTutorial__Sample01__MiFish	053_Anoplocapros_lenticularis	0
ClaidentTutorial__Sample01__MiFish	054_Nessorhamphus_ingolfianus	0
ClaidentTutorial__Sample01__MiFish	055_Campostoma_anomalum	0
ClaidentTutorial__Sample01__MiFish	056_Petroscirtes_breviceps	0
ClaidentTutorial__Sample01__MiFish	057_Chelonodontops_patoca	495
ClaidentTutorial__Sample01__MiFish	058_Pegasus_volitans	0
ClaidentTutorial__Sample01__MiFish	059_Trichiurus_lepturus	0
ClaidentTutorial__Sample01__MiFish	060_Dallia_pectoralis	0
ClaidentTutorial__Sample01__MiFish	061_Peltorhamphus_novaezeelandiae	0
ClaidentTutorial__Sample01__MiFish	062_Pseudogobius_fulvicaudus	0
ClaidentTutorial__Sample01__MiFish	063_Oxuderces_dentatus	0
ClaidentTutorial__Sample01__MiFish	064_Gymnothorax_niphostigmus	0
ClaidentTutorial__Sample01__MiFish	065_Xiphophorus_couchianus	0
ClaidentTutorial__Sample01__MiFish	066_Holacanthus_africanus	0
ClaidentTutorial__Sample01__MiFish	067_Sillago_sinica	0
ClaidentTutorial__Sample01__MiFish	068_unidentified_Oneirodes	495
ClaidentTutorial__Sample01__MiFish	069_Etheostoma_caeruleum	0
ClaidentTutorial__Sample01__MiFish	070_Labracinus_cyclophthalmus	0
ClaidentTutorial__Sample01__MiFish	071_Osteochilus_hasseltii	0
ClaidentTutorial__Sample01__MiFish	072_Cosmochilus_harmandi	0
ClaidentTutorial__Sample01__MiFish	073_unidentified_Nocomis	0
ClaidentTutorial__Sample01__MiFish	074_Sardinella_longiceps	0
ClaidentTutorial__Sample01__MiFish	075_Plecoglossus_altivelis	0
