samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	01_Cyprinidae	1476
ClaidentTutorial__Sample01__MiFish	02_Engraulidae	1479
ClaidentTutorial__Sample01__MiFish	03_Clupeidae	0
ClaidentTutorial__Sample01__MiFish	04_Gobiidae	495
ClaidentTutorial__Sample01__MiFish	05_Danionidae	981
ClaidentTutorial__Sample01__MiFish	06_Gobionidae	0
ClaidentTutorial__Sample01__MiFish	07_Acheilognathidae	1484
ClaidentTutorial__Sample01__MiFish	08_Nemacheilidae	990
ClaidentTutorial__Sample01__MiFish	09_Nothobranchiidae	1972
ClaidentTutorial__Sample01__MiFish	10_Siganidae	492
ClaidentTutorial__Sample01__MiFish	11_Poeciliidae	0
ClaidentTutorial__Sample01__MiFish	12_Stomiidae	493
ClaidentTutorial__Sample01__MiFish	13_Leuciscidae	0
ClaidentTutorial__Sample01__MiFish	14_Osphronemidae	0
ClaidentTutorial__Sample01__MiFish	15_Xenocyprididae	1490
ClaidentTutorial__Sample01__MiFish	16_Umbridae	0
ClaidentTutorial__Sample01__MiFish	17_Tetraodontidae	495
ClaidentTutorial__Sample01__MiFish	18_Cobitidae	0
ClaidentTutorial__Sample01__MiFish	19_Notopteridae	494
ClaidentTutorial__Sample01__MiFish	20_Synodontidae	0
ClaidentTutorial__Sample01__MiFish	21_Soleidae	0
ClaidentTutorial__Sample01__MiFish	22_Sinipercidae	0
ClaidentTutorial__Sample01__MiFish	23_Nemipteridae	0
ClaidentTutorial__Sample01__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample01__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample01__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample01__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample01__MiFish	28_Labridae	491
ClaidentTutorial__Sample01__MiFish	29_Cottidae	0
ClaidentTutorial__Sample01__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample01__MiFish	31_Doradidae	489
ClaidentTutorial__Sample01__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample01__MiFish	33_Molidae	489
ClaidentTutorial__Sample01__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample01__MiFish	35_Pomacanthidae	0
ClaidentTutorial__Sample01__MiFish	36_Zenionidae	0
ClaidentTutorial__Sample01__MiFish	37_Ariidae	0
ClaidentTutorial__Sample01__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample01__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample01__MiFish	40_unidentified_Teleostei	496
ClaidentTutorial__Sample01__MiFish	41_Polynemidae	496
ClaidentTutorial__Sample01__MiFish	42_Channidae	0
ClaidentTutorial__Sample01__MiFish	43_Epigonidae	492
ClaidentTutorial__Sample01__MiFish	44_Serranidae	0
ClaidentTutorial__Sample01__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample01__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample01__MiFish	47_Alestidae	0
ClaidentTutorial__Sample01__MiFish	48_Scombridae	488
ClaidentTutorial__Sample01__MiFish	49_Albulidae	0
ClaidentTutorial__Sample01__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample01__MiFish	51_others	8851
ClaidentTutorial__Sample02__MiFish	01_Cyprinidae	1962
ClaidentTutorial__Sample02__MiFish	02_Engraulidae	1479
ClaidentTutorial__Sample02__MiFish	03_Clupeidae	488
ClaidentTutorial__Sample02__MiFish	04_Gobiidae	494
ClaidentTutorial__Sample02__MiFish	05_Danionidae	978
ClaidentTutorial__Sample02__MiFish	06_Gobionidae	0
ClaidentTutorial__Sample02__MiFish	07_Acheilognathidae	986
ClaidentTutorial__Sample02__MiFish	08_Nemacheilidae	989
ClaidentTutorial__Sample02__MiFish	09_Nothobranchiidae	1478
ClaidentTutorial__Sample02__MiFish	10_Siganidae	494
ClaidentTutorial__Sample02__MiFish	11_Poeciliidae	0
ClaidentTutorial__Sample02__MiFish	12_Stomiidae	498
ClaidentTutorial__Sample02__MiFish	13_Leuciscidae	0
ClaidentTutorial__Sample02__MiFish	14_Osphronemidae	493
ClaidentTutorial__Sample02__MiFish	15_Xenocyprididae	989
ClaidentTutorial__Sample02__MiFish	16_Umbridae	496
ClaidentTutorial__Sample02__MiFish	17_Tetraodontidae	495
ClaidentTutorial__Sample02__MiFish	18_Cobitidae	0
ClaidentTutorial__Sample02__MiFish	19_Notopteridae	491
ClaidentTutorial__Sample02__MiFish	20_Synodontidae	0
ClaidentTutorial__Sample02__MiFish	21_Soleidae	0
ClaidentTutorial__Sample02__MiFish	22_Sinipercidae	497
ClaidentTutorial__Sample02__MiFish	23_Nemipteridae	0
ClaidentTutorial__Sample02__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample02__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample02__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample02__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample02__MiFish	28_Labridae	0
ClaidentTutorial__Sample02__MiFish	29_Cottidae	0
ClaidentTutorial__Sample02__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample02__MiFish	31_Doradidae	499
ClaidentTutorial__Sample02__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample02__MiFish	33_Molidae	493
ClaidentTutorial__Sample02__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample02__MiFish	35_Pomacanthidae	0
ClaidentTutorial__Sample02__MiFish	36_Zenionidae	0
ClaidentTutorial__Sample02__MiFish	37_Ariidae	0
ClaidentTutorial__Sample02__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample02__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample02__MiFish	40_unidentified_Teleostei	498
ClaidentTutorial__Sample02__MiFish	41_Polynemidae	496
ClaidentTutorial__Sample02__MiFish	42_Channidae	0
ClaidentTutorial__Sample02__MiFish	43_Epigonidae	493
ClaidentTutorial__Sample02__MiFish	44_Serranidae	0
ClaidentTutorial__Sample02__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample02__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample02__MiFish	47_Alestidae	0
ClaidentTutorial__Sample02__MiFish	48_Scombridae	498
ClaidentTutorial__Sample02__MiFish	49_Albulidae	0
ClaidentTutorial__Sample02__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample02__MiFish	51_others	8378
ClaidentTutorial__Sample03__MiFish	01_Cyprinidae	1488
ClaidentTutorial__Sample03__MiFish	02_Engraulidae	494
ClaidentTutorial__Sample03__MiFish	03_Clupeidae	491
ClaidentTutorial__Sample03__MiFish	04_Gobiidae	493
ClaidentTutorial__Sample03__MiFish	05_Danionidae	986
ClaidentTutorial__Sample03__MiFish	06_Gobionidae	0
ClaidentTutorial__Sample03__MiFish	07_Acheilognathidae	993
ClaidentTutorial__Sample03__MiFish	08_Nemacheilidae	496
ClaidentTutorial__Sample03__MiFish	09_Nothobranchiidae	987
ClaidentTutorial__Sample03__MiFish	10_Siganidae	499
ClaidentTutorial__Sample03__MiFish	11_Poeciliidae	494
ClaidentTutorial__Sample03__MiFish	12_Stomiidae	974
ClaidentTutorial__Sample03__MiFish	13_Leuciscidae	0
ClaidentTutorial__Sample03__MiFish	14_Osphronemidae	492
ClaidentTutorial__Sample03__MiFish	15_Xenocyprididae	989
ClaidentTutorial__Sample03__MiFish	16_Umbridae	496
ClaidentTutorial__Sample03__MiFish	17_Tetraodontidae	486
ClaidentTutorial__Sample03__MiFish	18_Cobitidae	0
ClaidentTutorial__Sample03__MiFish	19_Notopteridae	496
ClaidentTutorial__Sample03__MiFish	20_Synodontidae	0
ClaidentTutorial__Sample03__MiFish	21_Soleidae	493
ClaidentTutorial__Sample03__MiFish	22_Sinipercidae	490
ClaidentTutorial__Sample03__MiFish	23_Nemipteridae	0
ClaidentTutorial__Sample03__MiFish	24_Centrarchidae	0
ClaidentTutorial__Sample03__MiFish	25_Eleginopidae	0
ClaidentTutorial__Sample03__MiFish	26_Alepocephalidae	0
ClaidentTutorial__Sample03__MiFish	27_Cichlidae	0
ClaidentTutorial__Sample03__MiFish	28_Labridae	0
ClaidentTutorial__Sample03__MiFish	29_Cottidae	0
ClaidentTutorial__Sample03__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample03__MiFish	31_Doradidae	491
ClaidentTutorial__Sample03__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample03__MiFish	33_Molidae	495
ClaidentTutorial__Sample03__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample03__MiFish	35_Pomacanthidae	0
ClaidentTutorial__Sample03__MiFish	36_Zenionidae	0
ClaidentTutorial__Sample03__MiFish	37_Ariidae	0
ClaidentTutorial__Sample03__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample03__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample03__MiFish	40_unidentified_Teleostei	496
ClaidentTutorial__Sample03__MiFish	41_Polynemidae	494
ClaidentTutorial__Sample03__MiFish	42_Channidae	0
ClaidentTutorial__Sample03__MiFish	43_Epigonidae	492
ClaidentTutorial__Sample03__MiFish	44_Serranidae	0
ClaidentTutorial__Sample03__MiFish	45_Pegasidae	0
ClaidentTutorial__Sample03__MiFish	46_Sillaginidae	0
ClaidentTutorial__Sample03__MiFish	47_Alestidae	0
ClaidentTutorial__Sample03__MiFish	48_Scombridae	983
ClaidentTutorial__Sample03__MiFish	49_Albulidae	0
ClaidentTutorial__Sample03__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample03__MiFish	51_others	8870
ClaidentTutorial__Sample04__MiFish	01_Cyprinidae	1473
ClaidentTutorial__Sample04__MiFish	02_Engraulidae	498
ClaidentTutorial__Sample04__MiFish	03_Clupeidae	979
ClaidentTutorial__Sample04__MiFish	04_Gobiidae	982
ClaidentTutorial__Sample04__MiFish	05_Danionidae	494
ClaidentTutorial__Sample04__MiFish	06_Gobionidae	0
ClaidentTutorial__Sample04__MiFish	07_Acheilognathidae	1490
