samplename	denoised_001	denoised_002	denoised_003	denoised_004	denoised_005	denoised_006	denoised_007	denoised_008	denoised_009	denoised_010	denoised_011	denoised_012	denoised_013	denoised_014	denoised_015	denoised_016	denoised_017	denoised_018	denoised_019	denoised_020	denoised_021	denoised_022	denoised_023	denoised_024	denoised_025	denoised_026	denoised_027	denoised_028	denoised_029	denoised_030	denoised_031	denoised_032	denoised_033	denoised_034	denoised_035	denoised_036	denoised_037	denoised_038	denoised_039	denoised_040	denoised_041	denoised_042	denoised_043	denoised_044	denoised_045	denoised_046	denoised_047	denoised_048	denoised_049	denoised_050	denoised_051	denoised_052	denoised_053	denoised_054	denoised_055	denoised_056	denoised_057	denoised_058	denoised_059	denoised_060	denoised_061	denoised_062	denoised_063	denoised_064	denoised_065	denoised_066	denoised_067	denoised_068	denoised_069	denoised_070	denoised_071	denoised_072	denoised_073	denoised_074	denoised_075	denoised_076	denoised_077	denoised_078	denoised_079	denoised_080	denoised_081	denoised_082	denoised_083	denoised_084	denoised_085	denoised_086	denoised_087	denoised_088	denoised_089	denoised_090	denoised_091	denoised_092	denoised_093	denoised_094	denoised_095	denoised_096	denoised_097	denoised_098	denoised_099	denoised_100	denoised_101	denoised_102	denoised_103	denoised_104	denoised_105	denoised_106	denoised_107	denoised_108	denoised_109	denoised_110	denoised_111	denoised_112	denoised_113	denoised_114	denoised_115	denoised_116	denoised_117	denoised_118	denoised_119	denoised_120	denoised_121	denoised_122	denoised_123	denoised_124	denoised_125	denoised_126	denoised_127	denoised_128	denoised_129	denoised_130	denoised_131	denoised_132	denoised_133	denoised_134	denoised_135	denoised_136	denoised_137	denoised_138	denoised_139	denoised_140	denoised_141	denoised_142	denoised_143	denoised_144	denoised_145	denoised_146	denoised_147	denoised_148	denoised_149	denoised_150	denoised_151	denoised_152	denoised_153	denoised_154	denoised_155	denoised_156	denoised_157	denoised_158	denoised_159	denoised_160	denoised_161	denoised_162	denoised_163	denoised_164	denoised_165	denoised_166	denoised_167	denoised_168	denoised_169	denoised_170	denoised_171	denoised_172	denoised_173	denoised_174	denoised_175	denoised_176	denoised_177	denoised_178	denoised_179	denoised_180	denoised_181	denoised_182	denoised_183	denoised_184	denoised_185	denoised_186	denoised_187	denoised_188	denoised_189	denoised_190	denoised_191	denoised_192	denoised_193	denoised_194	denoised_195	denoised_196	denoised_197	denoised_198	denoised_199	denoised_200	denoised_201	denoised_202	denoised_203	denoised_204	denoised_205	denoised_206	denoised_207	denoised_208	denoised_209
ClaidentTutorial__Blank01__MiFish	23	24	26	23	25	23	23	23	23	24	24	24	25	21	23	23	27	23	22	24	23	24	23	24	22	23	24	22	24	25	22	20	24	22	22	24	21	25	24	25	24	23	23	22	25	24	24	22	23	22	25	21	28	24	25	23	25	22	24	24	23	23	23	23	23	21	22	21	22	27	24	22	22	23	23	20	22	22	21	24	22	23	24	23	24	22	21	23	24	23	24	25	24	24	24	24	23	24	23	22	20	22	24	20	24	22	21	21	20	23	21	21	25	24	21	23	23	23	23	23	21	24	23	23	24	24	26	21	24	23	23	21	21	17	20	22	20	23	18	24	23	25	23	25	23	20	24	23	24	24	25	23	19	22	23	22	22	21	21	22	24	21	20	25	25	25	25	24	24	24	25	25	24	24	23	23	24	23	24	21	24	24	23	18	24	23	23	23	23	24	23	23	22	22	24	22	21	22	21	22	23	21	22	20	22	22	21	20	21
ClaidentTutorial__Blank02__MiFish	24	24	24	25	24	24	25	23	22	25	26	22	27	21	23	21	25	23	23	23	22	25	23	22	22	23	23	23	21	23	22	19	22	23	26	25	21	24	25	25	22	23	23	22	25	24	24	22	23	24	25	22	28	24	25	23	25	24	24	23	24	24	24	24	22	24	22	22	22	25	25	22	23	23	23	21	21	22	21	24	22	23	25	22	22	22	20	22	23	24	22	24	24	24	24	24	22	22	21	22	22	23	24	22	24	22	22	20	22	21	21	21	24	24	21	23	21	23	23	24	22	24	24	22	24	23	26	21	24	24	23	20	21	19	21	21	20	21	22	24	22	24	23	24	23	21	24	22	24	22	24	23	20	23	23	22	23	21	21	22	23	20	20	24	25	25	25	23	24	24	24	23	23	24	24	23	24	22	23	23	23	24	23	22	23	21	23	24	24	22	24	23	22	22	24	23	23	22	21	22	21	21	23	20	23	22	21	21	21
ClaidentTutorial__Blank03__MiFish	25	24	25	23	23	24	23	22	23	26	24	23	25	21	22	21	23	23	23	24	22	24	22	22	22	23	23	22	25	21	23	21	24	22	22	24	21	25	26	25	22	24	22	22	26	23	24	24	25	23	24	22	22	24	24	23	26	21	24	26	25	22	23	23	22	21	23	23	22	26	25	21	21	25	23	21	22	22	21	24	23	23	25	25	21	20	20	23	24	23	23	26	24	25	24	24	23	22	23	23	21	22	24	22	23	21	23	21	20	23	21	20	25	24	23	23	23	23	22	24	22	24	24	21	23	23	25	21	24	24	23	24	21	19	21	21	20	20	21	24	24	24	22	24	23	22	24	23	24	23	25	24	20	23	22	21	23	21	21	21	23	21	20	25	24	24	25	24	24	24	24	23	24	23	23	23	23	23	22	23	22	23	23	23	23	24	23	22	23	24	24	23	23	23	24	22	21	22	20	22	22	21	21	20	22	22	21	21	19
ClaidentTutorial__Blank04__MiFish	24	22	24	23	23	24	24	23	23	24	25	23	25	20	23	20	24	23	23	24	23	23	22	23	20	24	25	21	24	23	23	20	22	22	20	25	21	24	25	25	23	24	22	22	26	23	24	22	24	23	23	22	24	23	26	22	26	22	24	26	23	22	22	23	21	21	23	21	22	25	25	22	22	22	22	20	22	22	21	24	24	23	24	22	23	21	21	23	23	24	24	24	23	26	23	24	22	24	21	20	20	24	23	22	24	20	23	21	22	21	21	22	25	24	25	24	24	23	23	24	22	24	24	23	23	24	25	20	24	22	23	23	21	18	22	22	18	20	21	24	21	25	21	25	23	22	23	22	24	22	25	23	20	23	22	23	23	20	20	22	24	21	20	25	24	25	25	24	24	24	25	24	24	24	24	23	24	23	23	22	23	24	23	22	23	23	23	24	23	24	23	23	23	20	24	22	22	22	21	22	23	21	20	19	22	22	21	21	21
ClaidentTutorial__Sample01__MiFish	228	0	227	0	221	0	0	229	224	0	0	226	0	225	0	0	0	227	0	226	227	0	0	0	237	0	225	230	0	0	0	229	0	0	0	0	0	0	0	0	0	233	0	226	0	227	229	0	0	0	0	0	0	0	234	0	0	0	230	0	0	230	0	221	0	0	222	0	228	0	0	0	0	0	0	0	223	0	0	1	0	0	0	0	0	0	0	241	0	0	0	0	230	0	0	224	0	0	0	0	0	0	0	0	0	0	224	230	0	0	0	0	0	230	0	0	0	0	227	0	0	0	0	229	0	0	0	0	0	222	0	0	0	0	224	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	218	231	230	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	227	226	0	0	229	0	227	228	0	0	228	0	0	0	0	226	0	0	0	0	0	0	222	0	0	0	0	0	0	0	221	0	226	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	218	0	226	0	233	0	0	231	224	0	232	233	0	233	0	0	0	227	0	235	220	0	0	0	230	0	224	230	0	0	0	228	0	0	0	0	224	0	0	0	229	235	0	214	0	229	231	0	0	0	0	0	0	0	226	0	0	0	228	0	0	224	0	222	0	0	220	0	227	0	0	0	0	1	0	0	223	0	0	0	0	231	0	0	0	0	0	224	0	0	0	0	228	0	0	228	0	0	0	0	0	0	0	0	0	217	228	220	0	0	0	0	0	225	0	0	0	0	223	0	0	0	0	226	229	0	0	0	0	225	0	0	0	0	221	0	0	0	0	0	0	0	226	0	0	0	0	0	222	0	221	221	229	0	0	0	0	0	0	0	0	221	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0
ClaidentTutorial__Sample03__MiFish	230	223	226	0	227	225	0	231	229	0	230	235	0	232	0	0	0	226	0	224	0	0	226	0	231	0	228	225	0	0	0	235	0	0	0	0	231	0	0	0	226	221	0	230	0	0	232	0	0	0	0	0	0	0	229	0	0	231	228	0	0	228	0	227	0	0	226	0	232	0	0	0	0	0	0	0	229	0	0	0	0	223	0	0	0	0	0	227	0	0	0	0	227	0	0	229	0	0	224	0	0	0	0	0	0	231	225	227	0	0	0	0	0	228	226	0	0	0	226	225	0	0	0	226	227	0	0	0	0	222	0	0	225	0	231	0	0	0	0	232	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0
ClaidentTutorial__Sample04__MiFish	225	228	218	235	226	225	0	233	234	0	234	0	0	224	0	0	0	231	230	228	0	0	226	0	228	0	235	224	0	0	0	229	0	0	0	0	228	0	0	0	233	218	0	238	0	0	222	0	0	0	0	0	0	0	223	0	0	228	230	0	0	224	0	222	0	0	225	0	228	0	224	0	225	232	0	0	228	0	225	0	0	226	0	0	0	0	0	228	223	0	0	0	226	0	0	0	0	0	228	0	0	0	0	0	0	225	226	228	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	224	0	0	0	0	0	0	0	231	0	0	0	0	0	0	232	0	226	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	1	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	226	233	223	232	232	238	0	220	224	222	221	0	223	227	223	0	0	232	230	233	0	0	231	0	223	0	223	226	0	0	233	227	0	0	0	0	222	0	0	225	228	229	0	229	0	0	221	0	0	0	0	0	0	0	229	236	0	230	228	0	0	229	0	0	0	223	231	0	235	0	220	0	234	225	0	0	231	0	235	0	0	224	0	0	0	0	0	0	225	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	223	0	232	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	229	226	232	225	235	230	0	224	233	227	235	0	222	219	226	0	218	226	227	229	0	0	228	0	227	0	224	235	0	0	229	225	0	0	0	0	224	0	0	229	225	235	0	227	0	0	222	0	0	224	0	0	0	0	225	234	0	229	228	0	0	0	0	0	0	223	224	1	0	0	232	0	0	1	0	0	0	0	223	0	0	225	0	0	0	230	0	0	236	216	0	227	0	0	220	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	221	0	0
