samplename	denoised_001	denoised_002	denoised_003	denoised_004	denoised_005	denoised_006	denoised_007	denoised_008	denoised_009	denoised_010	denoised_011	denoised_012	denoised_013	denoised_014	denoised_015	denoised_016	denoised_017	denoised_018	denoised_019	denoised_020	denoised_021	denoised_022	denoised_023	denoised_024	denoised_025	denoised_026	denoised_027	denoised_028	denoised_029	denoised_030	denoised_031	denoised_032	denoised_033	denoised_034	denoised_035	denoised_036	denoised_037	denoised_038	denoised_039	denoised_040	denoised_041	denoised_042	denoised_043	denoised_044	denoised_045	denoised_046	denoised_047	denoised_048	denoised_049	denoised_050	denoised_051	denoised_052	denoised_053	denoised_054	denoised_055	denoised_056	denoised_057	denoised_058	denoised_059	denoised_060	denoised_061	denoised_062	denoised_063	denoised_064	denoised_065	denoised_066	denoised_067	denoised_068	denoised_069	denoised_070	denoised_071	denoised_072	denoised_073	denoised_074	denoised_075	denoised_076	denoised_077	denoised_078	denoised_079	denoised_080	denoised_081	denoised_082	denoised_083	denoised_084	denoised_085	denoised_086	denoised_087	denoised_088	denoised_089	denoised_090	denoised_091	denoised_092	denoised_093	denoised_094	denoised_095	denoised_096	denoised_097	denoised_098	denoised_099	denoised_100	denoised_101	denoised_102	denoised_103	denoised_104	denoised_105	denoised_106	denoised_107	denoised_108	denoised_109	denoised_110	denoised_111	denoised_112	denoised_113	denoised_114	denoised_115	denoised_116	denoised_117	denoised_118	denoised_119	denoised_120	denoised_121	denoised_122	denoised_123	denoised_124	denoised_125	denoised_126	denoised_127	denoised_128	denoised_129	denoised_130	denoised_131	denoised_132	denoised_133	denoised_134	denoised_135	denoised_136	denoised_137	denoised_138	denoised_139	denoised_140	denoised_141	denoised_142	denoised_143	denoised_144	denoised_145	denoised_146	denoised_147	denoised_148	denoised_149	denoised_150	denoised_151	denoised_152	denoised_153	denoised_154	denoised_155	denoised_156	denoised_157	denoised_158	denoised_159	denoised_160	denoised_161	denoised_162	denoised_163	denoised_164	denoised_165	denoised_166	denoised_167	denoised_168	denoised_169	denoised_170	denoised_171	denoised_172	denoised_173	denoised_174	denoised_175	denoised_176	denoised_177	denoised_178	denoised_179	denoised_180	denoised_181	denoised_182	denoised_183	denoised_184	denoised_185	denoised_186	denoised_187	denoised_188	denoised_189	denoised_190	denoised_191	denoised_192	denoised_193	denoised_194	denoised_195	denoised_196	denoised_197	denoised_198	denoised_199	denoised_200	denoised_201	denoised_202	denoised_203	denoised_204	denoised_205	denoised_206	denoised_207	denoised_208	denoised_209	denoised_210	denoised_211	denoised_212	denoised_213	denoised_214	denoised_215
ClaidentTutorial__Sample01__MiFish	235	0	230	0	222	0	0	0	232	0	0	0	0	0	0	0	0	228	0	0	230	0	0	0	0	0	224	0	0	232	0	229	0	0	242	0	0	0	0	0	227	0	0	0	229	0	230	227	0	0	0	0	0	0	0	0	0	0	0	222	230	0	0	0	221	0	0	0	0	234	0	227	222	0	0	228	0	0	0	0	225	0	0	0	0	0	0	217	0	0	0	0	224	0	0	227	227	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	227	0	0	225	0	0	0	219	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	232	225	229	242	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	231	224	0	230	0	218	221	0	0	0	0	0	0	0	0	0	0	234	228	0	222	0	0	230	0	0	0	0	0	0	223	226	0	0	0	0	219	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	225	0	226	0	229	0	0	0	225	0	0	228	0	0	0	0	0	225	0	233	228	0	0	0	0	0	230	0	0	224	0	224	0	0	226	0	220	0	0	0	235	0	0	0	0	0	235	223	0	0	0	0	0	0	0	0	0	0	0	223	234	0	0	0	222	0	0	0	234	230	0	231	225	0	0	223	231	0	0	0	224	0	0	0	223	0	0	225	0	223	0	0	230	0	0	226	222	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	224	0	0	230	0	0	0	230	0	0	0	0	0	0	0	0	228	0	225	0	0	0	0	0	0	222	229	233	225	0	223	0	0	0	228	0	0	0	0	0	222	0	0	0	0	0	226	0	0	0	221	221	0	209	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	233	0	230	0	232	0	0	226	232	0	233	225	0	0	0	0	0	230	0	230	230	0	0	0	0	0	230	0	0	227	226	216	0	0	229	0	231	227	0	0	224	0	0	0	0	0	223	227	0	0	224	0	225	0	0	0	0	0	0	220	228	0	0	0	226	0	0	0	229	228	0	231	229	0	0	225	227	0	0	0	237	0	0	0	231	0	0	232	0	222	0	0	223	0	0	219	227	0	0	0	236	0	238	0	0	0	0	0	0	0	0	0	230	0	0	223	0	0	0	229	0	0	0	0	0	0	0	0	222	0	222	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	231	232	228	0	224	0	229	230	231	0	229	227	0	0	0	228	0	226	0	224	223	0	0	0	0	0	227	0	0	225	234	227	0	0	218	0	225	236	0	0	225	0	0	0	0	0	229	228	0	0	224	0	228	0	0	0	0	0	0	234	218	0	0	0	227	0	0	0	226	225	0	227	233	0	0	229	224	0	0	0	0	0	0	0	234	0	0	236	0	225	0	0	216	0	0	221	224	0	0	0	230	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	231	0	222	0	0	227	226	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	222	237	228	233	226	0	225	226	231	0	225	232	0	0	0	234	231	233	0	222	229	0	0	224	0	0	222	0	0	231	232	224	0	0	229	0	233	229	0	223	225	0	223	0	230	0	226	229	0	0	221	0	222	0	0	0	0	0	0	0	227	0	0	0	226	0	0	0	231	230	0	225	227	0	0	223	224	0	0	0	0	0	0	0	224	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	228	0	228	0	0	0	0	0	231	0	0	0	0	0	0	224	0	229	0	0	0	0	0	0	0	222	212	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	226	223	223	228	230	228	230	229	227	0	226	230	0	0	229	227	223	224	0	228	231	0	0	229	0	0	232	223	229	232	226	223	0	0	227	227	238	228	240	0	229	0	226	0	228	0	230	233	0	0	219	0	0	0	0	0	0	0	0	0	222	0	0	0	222	0	0	0	230	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	236	0	228	0	0	0	0	0	224	0	0	0	0	0	0	228	0	226	0	233	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	221	224	230	227	234	229	225	229	226	0	236	235	0	0	233	228	223	227	0	0	227	0	0	221	0	0	225	227	222	224	219	228	0	0	223	224	230	227	229	0	232	0	217	223	230	0	225	224	0	0	221	0	0	0	0	0	0	0	0	230	0	0	0	221	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	232	0	0	0	0	0	0	0	225	0	0	220	0	217	0	0	0	0	219	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	226	0	0	0	223	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	231	220	223	221	227	235	234	230	0	231	233	232	0	0	224	229	230	221	0	0	235	0	0	223	0	0	234	221	228	224	223	222	0	0	0	228	227	224	221	0	226	0	232	229	224	226	0	0	0	0	229	0	0	0	0	0	0	225	0	227	0	0	0	224	0	222	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	235	221	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	223	0	0	0	0	0	0	223	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215
ClaidentTutorial__Sample09__MiFish	233	231	228	220	227	226	222	225	0	228	230	229	221	228	223	230	229	233	0	0	234	0	0	226	0	0	227	0	235	230	218	230	0	235	0	227	231	219	226	0	0	0	217	227	229	228	0	0	0	0	0	0	0	0	235	0	0	230	0	0	0	0	0	230	0	221	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	225	230	0	0	0	0	0	0	234	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	222	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	225	233	230	227	230	232	231	228	0	233	224	230	227	226	214	227	221	229	224	0	222	0	0	227	0	0	0	0	227	0	233	0	0	221	0	232	0	227	229	0	0	0	234	220	231	232	0	0	0	0	0	0	225	0	0	226	0	227	0	0	0	0	0	228	0	231	227	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	231	0	0	0	0	0	0	227	226	0	0	0	0	0	0	227	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	220	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	219	0	0	0	0
ClaidentTutorial__Sample11__MiFish	229	223	233	229	232	225	0	227	0	226	224	222	233	226	230	220	232	223	228	0	0	236	227	230	222	223	0	0	230	0	222	0	0	234	0	225	0	0	0	0	0	0	232	230	0	222	0	0	0	0	0	0	229	0	0	228	0	226	0	0	0	228	0	233	0	226	221	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	226	0	0	0	0	217	0	222	220	0	0	0	218	0	0	232	0	0	0	227	0	0	0	0	0	0	0	0	226	0	0	226	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample12__MiFish	228	221	226	236	228	230	0	232	0	224	228	237	224	229	224	229	233	0	227	0	0	218	227	231	225	223	0	0	224	0	0	0	220	226	0	235	0	0	0	0	0	0	221	228	0	0	0	0	222	225	0	0	236	221	0	235	0	225	0	0	0	224	0	228	0	225	230	0	0	0	0	0	0	225	0	0	0	0	222	0	222	0	240	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	212	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	229	0	0	232	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample13__MiFish	220	232	0	234	221	230	225	223	0	228	227	229	233	230	227	235	233	0	224	0	0	221	218	226	221	221	0	0	223	0	0	0	223	224	0	232	0	0	0	0	0	230	0	0	0	0	0	0	233	229	0	0	220	221	0	232	0	232	0	0	0	228	221	0	0	219	0	0	0	0	0	0	0	0	226	0	0	0	226	225	220	0	222	0	0	221	0	0	0	0	0	223	0	0	0	0	0	0	0	216	0	0	0	0	0	0	229	0	0	0	0	0	0	0	232	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	224	229	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample14__MiFish	225	230	0	227	231	229	240	229	0	229	230	0	228	224	239	229	223	0	230	0	0	234	227	230	225	222	0	233	214	0	0	0	231	227	229	0	0	0	0	225	0	228	0	0	0	0	0	0	228	230	0	223	0	224	0	223	0	0	0	0	0	229	229	0	0	0	0	238	0	0	0	0	0	0	227	0	0	0	229	226	0	0	223	0	0	230	0	0	0	0	0	223	0	0	0	0	0	0	0	223	0	0	0	0	0	0	224	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	221	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample15__MiFish	228	227	0	234	229	233	223	225	235	236	226	0	223	231	222	0	226	0	230	224	0	219	231	0	228	225	0	225	0	0	0	0	225	235	0	0	0	0	0	220	0	226	0	0	0	0	0	0	228	225	0	225	0	233	0	223	231	0	228	0	0	219	230	0	0	0	0	233	0	0	0	0	0	0	226	0	0	0	0	224	0	0	235	0	0	231	0	0	0	0	0	0	0	0	0	0	0	218	0	228	0	0	0	0	0	0	0	0	0	232	0	231	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
