samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	001_Tetraodontidae	232
ClaidentTutorial__Sample01__MiFish	002_Labridae	0
ClaidentTutorial__Sample01__MiFish	003_Danionidae	235
ClaidentTutorial__Sample01__MiFish	004_Nemacheilidae	0
ClaidentTutorial__Sample01__MiFish	005_Cyprinidae	0
ClaidentTutorial__Sample01__MiFish	006_Nothobranchiidae	230
ClaidentTutorial__Sample01__MiFish	007_Sciaenidae	232
ClaidentTutorial__Sample01__MiFish	008_Cichlidae	219
ClaidentTutorial__Sample01__MiFish	009_Kyphosidae	451
ClaidentTutorial__Sample01__MiFish	010_Adrianichthyidae	0
ClaidentTutorial__Sample01__MiFish	011_Eleotridae	0
ClaidentTutorial__Sample01__MiFish	012_Gobiidae	224
ClaidentTutorial__Sample01__MiFish	013_Soleidae	219
ClaidentTutorial__Sample01__MiFish	014_Clupeidae	705
ClaidentTutorial__Sample01__MiFish	015_Loricariidae	230
ClaidentTutorial__Sample01__MiFish	016_Engraulidae	0
ClaidentTutorial__Sample01__MiFish	017_Acheilognathidae	0
ClaidentTutorial__Sample01__MiFish	018_Dussumieriidae	222
ClaidentTutorial__Sample01__MiFish	019_Xenocyprididae	0
ClaidentTutorial__Sample01__MiFish	020_Monacanthidae	0
ClaidentTutorial__Sample01__MiFish	021_Ictaluridae	0
ClaidentTutorial__Sample01__MiFish	022_Nemipteridae	0
ClaidentTutorial__Sample01__MiFish	023_Pomacanthidae	0
ClaidentTutorial__Sample01__MiFish	024_Aplocheilidae	0
ClaidentTutorial__Sample01__MiFish	025_Gasterosteidae	0
ClaidentTutorial__Sample01__MiFish	026_Callionymidae	0
ClaidentTutorial__Sample01__MiFish	027_Bothidae	447
ClaidentTutorial__Sample01__MiFish	028_Melamphaidae	228
ClaidentTutorial__Sample01__MiFish	029_Triacanthidae	230
ClaidentTutorial__Sample01__MiFish	030_Acanthuridae	0
ClaidentTutorial__Sample01__MiFish	031_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample01__MiFish	032_Anguillidae	224
ClaidentTutorial__Sample01__MiFish	033_Elopidae	232
ClaidentTutorial__Sample01__MiFish	034_Molidae	0
ClaidentTutorial__Sample01__MiFish	035_Ellopostomatidae	229
ClaidentTutorial__Sample01__MiFish	036_Cynoglossidae	0
ClaidentTutorial__Sample01__MiFish	037_Echeneidae	0
ClaidentTutorial__Sample01__MiFish	038_Bagridae	0
ClaidentTutorial__Sample01__MiFish	039_Dactylopteridae	0
ClaidentTutorial__Sample01__MiFish	040_Nototheniidae	242
ClaidentTutorial__Sample01__MiFish	041_Retropinnidae	227
ClaidentTutorial__Sample01__MiFish	042_Synodontidae	0
ClaidentTutorial__Sample01__MiFish	043_Paralichthyidae	229
ClaidentTutorial__Sample01__MiFish	044_Chilodontidae	0
ClaidentTutorial__Sample01__MiFish	045_Indostomidae	0
ClaidentTutorial__Sample01__MiFish	046_Galaxiidae	0
ClaidentTutorial__Sample01__MiFish	047_Rivulidae	0
ClaidentTutorial__Sample01__MiFish	048_Stromateidae	0
ClaidentTutorial__Sample01__MiFish	049_Muraenidae	227
