samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215
ClaidentTutorial__Sample01__MiFish	235	0	230	0	222	0	0	0	0	232	0	0	0	0	0	0	0	228	0	0	230	0	0	0	0	0	224	0	232	0	0	229	0	0	0	0	242	227	0	0	0	0	0	229	230	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	230	222	0	0	0	221	0	0	0	234	227	222	0	0	0	0	0	228	0	225	0	0	0	0	0	0	0	217	0	0	0	0	227	0	0	0	224	227	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	225	219	0	226	0	0	0	0	0	0	0	0	0	0	242	0	229	0	0	0	0	0	232	0	0	229	232	225	0	0	0	0	231	0	0	0	0	0	0	0	0	0	224	221	0	0	0	0	230	218	0	0	234	0	0	0	0	0	230	0	0	0	228	0	0	0	0	226	0	0	0	0	0	0	0	0	0	223	0	0	222	0	0	0	220	219	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	225	0	226	0	229	0	0	0	0	225	0	228	0	0	0	0	0	225	0	233	228	0	0	0	0	0	230	0	224	0	0	224	0	220	0	0	226	235	0	0	0	0	0	0	235	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	234	223	0	0	0	222	0	0	234	230	231	225	0	0	0	231	0	223	0	224	0	0	0	0	0	223	0	225	0	0	0	223	222	0	0	0	230	226	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	230	230	0	228	0	0	225	0	0	0	0	0	0	0	225	0	233	0	0	0	0	0	223	228	0	226	222	229	0	0	0	0	221	0	0	0	0	222	0	0	0	0	221	0	0	0	0	0	209	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	233	0	230	0	232	0	0	226	0	232	233	225	0	0	0	0	0	230	0	230	230	0	0	0	0	0	230	0	227	226	0	216	0	231	0	0	229	224	0	227	0	0	0	0	223	0	227	0	0	225	0	0	224	0	0	0	0	0	0	0	228	220	0	0	0	226	0	0	229	228	231	229	0	0	0	227	0	225	0	237	0	0	0	0	0	231	0	232	0	0	0	222	227	0	0	0	223	219	0	0	236	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	223	229	0	222	0	0	222	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0
ClaidentTutorial__Sample04__MiFish	231	232	228	0	224	0	229	230	0	231	229	227	0	0	0	228	0	226	0	224	223	0	0	0	0	0	227	0	225	234	0	227	0	225	0	0	218	225	0	236	0	0	0	0	229	0	228	0	0	228	0	0	224	0	0	0	0	0	0	0	218	234	0	0	0	227	0	0	226	225	227	233	0	0	0	224	0	229	0	0	0	0	0	0	0	234	0	236	0	0	0	225	224	0	0	0	216	221	0	0	230	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	228	215	0	0	0	0	0	222	227	226	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	222	237	228	233	226	0	225	226	0	231	225	232	0	0	0	234	231	233	0	222	229	0	0	224	0	0	222	0	231	232	0	224	0	233	0	0	229	225	0	229	0	223	223	230	226	0	229	0	0	222	0	0	221	0	0	0	0	0	0	0	227	0	0	0	0	226	0	0	231	230	225	227	0	0	0	224	0	223	0	0	0	0	0	0	0	224	0	0	0	0	0	231	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	231	0	229	0	0	0	0	0	0	0	0	228	224	228	0	0	0	0	0	0	0	0	222	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	226	223	223	228	230	228	230	229	0	227	226	230	0	0	229	227	223	224	0	228	231	0	0	229	0	0	232	223	232	226	229	223	0	238	227	0	227	229	240	228	0	226	0	228	230	0	233	0	0	0	0	0	219	0	0	0	0	0	0	0	222	0	0	0	0	222	0	0	230	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	226	0	0	0	0	0	0	0	0	228	228	236	0	0	0	0	0	233	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	221	224	230	227	234	229	225	229	0	226	236	235	0	0	233	228	223	227	0	0	227	0	0	221	0	0	225	227	224	219	222	228	0	230	224	0	223	232	229	227	0	217	0	230	225	0	224	223	0	0	0	0	221	0	0	0	0	0	221	0	0	230	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	225	220	0	0	0	0	217	221	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	224	0	0	0	224	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	231	220	223	221	227	235	234	230	231	0	233	232	0	0	224	229	230	221	0	0	235	0	0	223	0	0	234	221	224	223	228	222	0	227	228	0	0	226	221	224	0	232	0	224	0	0	0	229	226	0	0	0	229	0	0	0	0	225	224	0	0	227	0	0	220	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	235	0	0	0	0	221	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	223	0	223	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215
ClaidentTutorial__Sample09__MiFish	233	231	228	220	227	226	222	225	228	0	230	229	228	221	223	230	229	233	0	0	234	0	0	226	0	0	227	0	230	218	235	230	0	231	227	235	0	0	226	219	0	217	0	229	0	0	0	227	228	0	0	0	0	0	235	0	0	230	230	0	0	0	0	0	223	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	225	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	225	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	222	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	225	233	230	227	230	232	231	228	233	0	224	230	226	227	214	227	221	229	224	0	222	0	0	227	0	0	0	0	0	233	227	0	0	0	232	221	0	0	229	227	0	234	0	231	0	0	0	220	232	225	0	0	0	0	0	226	0	227	228	0	0	0	0	0	227	0	231	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	231	0	0	0	227	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	227	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	220	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0
