samplename	unidentified_Gastromyzontidae	Canthophrys_gongota	Sardina_pilchardus	Jaydia_lineata	unidentified_Amblyopinae	Paraconger_notialis	Odontobutis_haifengensis	Symphysodon_aequifasciata	unidentified_Osteoglossiformes	unidentified_Acanthaphritis	Pagellus_bogaraveo	Onychostoma_meridionale	Eumegistus_illustris	Cynoglossus_abbreviatus	Diplacanthopoma_brachysoma	Ponticola_kessleri	Megalops_atlanticus	Hyporhamphus_limbatus	Heniochus_diphreutes	unidentified_Homatula	Scolopsis_ciliata	Polyacanthonotus_rissoanus	unidentified_Sphyraena	unidentified_Oreochromini	Pristipomoides_multidens	Micropterus_dolomieu	Facciolella_oxyrhyncha	Acanthocepola_krusensternii	Amblydoras_gonzalezi	Rastrelliger_brachysoma	Dallia_pectoralis	Solea_senegalensis	Squalomugil_nasutus	Rasbora_sumatrana	Etheostoma_trisella	unidentified_Pampus	Luciogobius_elongatus	Eleutheronema_tetradactylum	Eigenmannia_sp._CBM-ZF-10620	Acestrorhynchus_sp._NM-2010	Cephalopholis_argus	Pantodon_buchholzi	unidentified_Channa	Latimeria_chalumnae	Lepidoblepharon_ophthalmolepis	Coilia_reynaldi	Elassoma_evergladei	Bolbometopon_muricatum	Chaetobranchopsis_bitaeniatus	Leiodon_cutcutia	unidentified_Mastacembelidae	Sundasalanx_praecox	Eugnathogobius_polylepis	Eurypegasus_draconis	Polymixia_japonica	unidentified_Aspasma	Leiopotherapon_unicolor	Megaleporinus_elongatus	Paracheirodon_axelrodi	Aplocheilus_lineatus	Halichoeres_melanurus	Carapus_bermudensis	Bhavania_australis	Microthrissa_congica	Parazen_pacificus	Monocentris_japonicus	Sabanejewia_radnensis	Nothobranchius_kafuensis	Plectropomus_areolatus	Umbra_limi	unidentified_Trichopodus	Enteromius_trimaculatus	Pteraclis_aesticola	Monopterus_albus	Paraluteres_prionurus	Arripis_trutta	Cranoglanis_bouderius	Hime_japonica	Anabas_testudineus	Halichoeres_hartzfeldii	Corydoras_rabauti	Conger_japonicus	unidentified_Pethia	Aplocheilus_panchax	Opsariichthys_bidens	Triplophysa_yarkandensis	Bothus_pantherinus	Trachidermus_fasciatus	Glossogobius_circumspectus	Zeus_faber	Pseudaesopia_japonica	unidentified_Plotosus	Myctophum_affine	Acentrogobius_pflaumii	Chaunax_abei	Psilorhynchus_sucatio	Hoplolatilus_cuniculus	Embiotoca_jacksoni	Galaxias_truttaceus	Polyspina_piosae	Doederleinia_berycoides	Triphoturus_mexicanus	Procetichthys_kreffti	Ictalurus_furcatus	Amblypharyngodon_mola	unidentified_Kyphosus	unidentified_Anarhichas	Xenotoca_eiseni	Masturus_lanceolatus	Cirrhitichthys_aprinus	Grammatobothus_polyophthalmus	Esomus_metallicus	Gymnorhamphichthys_sp._NM-2010	Elagatis_bipinnulata	Clypeobarbus_pleuropholis	Astronotus_ocellatus	Gymnomuraena_zebra	unidentified_Callionymidae	Stolephorus_insularis	Eleginops_maclovinus	Syncrossus_beauforti	Ptychochromoides_katria	Cromileptes_altivelis	Malapterurus_electricus	Exyrias_puntang	unidentified_Heterocongrinae	Esox_lucius	Otolithes_ruber	Triplophysa_rosa	unidentified_Pseudorhombus	Heterotis_niloticus	Avocettina_infans	unidentified_Zebrias	Vaillantella_maassi	Parachanna_insignis	Trixiphichthys_weberi	unidentified_Sardinella	unidentified_Oreoglanis	unidentified_Sciaenidae	Pervagor_janthinosoma	Plectorhinchus_cinctus	Monotaxis_grandoculis	Galaxias_gollumoides	Chauliodus_sloani	Anyperodon_leucogrammicus	Microcanthus_strigatus	Arnoglossus_polyspilus	Lophiogobius_ocellicauda	Percopsis_transmontana	Channa_micropeltes	Archiaphyosemion_guineense	Rhynchactis_macrothrix	Eucyclogobius_newberryi	Cabdio_morar	Arnoglossus_tenuis	Hiodon_alosoides	Olisthops_cyanomelas	Ichthyborus_ornatus	Hemiculter_bleekeri	Rhodeus_shitaiensis	unidentified_Psenopsis	Ehirava_fluviatilis	Pythonichthys_microphthalmus	Lepomis_gulosus	unidentified_Echeneis	Bodianus_oxycephalus	Pseudorhombus_dupliciocellatus	Sirembo_imberbis	Hyporhamphus_intermedius	unidentified_Helicolenus	Fistularia_commersonii	Clupea_harengus	Synodus_variegatus	Bufoceratias_thele	Enteromius_fasciolatus	unidentified_Laeops	Horabagrus_brachysoma	Clupeichthys_perakensis	Gudusia_chapra	Hemigrammus_bleheri	Halichoeres_tenuispinis	Macrorhamphosodes_uradoi	Stephanolepis_cirrhifer	Cottiusculus_nihonkaiensis	Doryrhamphus_japonicus	unidentified_Characidae	unidentified_Trachipterus	unidentified_Lutjanus	Symphurus_orientalis	unidentified_Gerres	Lamprogrammus_niger	unidentified_Elops	Pictichromis_paccagnellae	Psammoperca_waigiensis	Sillago_asiatica	Ateleopus_japonicus	Mugilogobius_chulae	Danio_rerio	Girella_punctata	Kryptolebias_hermaphroditus	Acentrogobius_caninus	Anoplocapros_lenticularis	Epinephelus_areolatus	Rudarius_ercodes	Leuresthes_tenuis	Etheostoma_caeruleum	Rhinichthys_atratulus	Protopterus_aethiopicus	Minytrema_melanops
ClaidentTutorial__Sample01__MiFish	228	0	227	0	221	0	0	224	229	0	0	225	0	226	0	0	0	227	0	226	227	0	0	237	0	0	230	225	229	0	0	0	0	0	0	0	0	0	0	0	233	0	227	0	226	0	0	0	229	0	0	0	0	0	230	0	0	234	0	0	0	230	0	0	0	0	222	221	228	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	230	0	0	230	0	0	224	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	229	0	0	0	0	0	0	0	227	224	0	0	0	0	0	0	0	0	222	0	0	236	0	0	230	0	0	0	0	0	0	231	0	0	0	0	0	227	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	229	0	228	0	228	227	0	227	0	0	226	0	226	0	0	226	0	0	0	0	0	0	0	222	221	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	218	0	226	0	233	0	0	224	231	0	232	233	0	233	0	0	0	227	0	235	220	0	0	230	0	0	230	224	228	0	0	0	0	0	0	224	0	0	0	0	235	229	229	0	214	0	0	0	231	0	0	0	0	0	228	0	0	226	0	0	0	224	0	0	0	0	220	222	227	0	0	0	0	0	0	0	0	223	0	231	0	0	0	0	0	0	0	224	0	0	0	0	0	228	0	0	220	0	0	228	228	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	226	0	0	0	0	229	0	0	223	221	0	0	0	0	0	0	0	0	225	0	0	226	0	0	229	0	0	0	0	222	0	221	0	0	0	0	0	221	0	0	0	0	221	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	220	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	230	223	226	0	227	225	0	229	231	0	230	232	0	235	0	0	0	226	0	224	0	0	226	231	0	0	225	228	235	0	0	0	0	0	0	231	0	0	0	0	221	226	0	0	230	0	0	0	232	0	0	0	0	0	228	231	0	229	0	0	0	228	0	0	0	0	226	227	232	0	0	0	0	0	0	0	0	229	0	223	0	0	0	0	0	0	0	227	0	0	0	0	0	227	0	0	227	0	0	229	225	0	231	0	224	0	0	0	0	0	0	0	226	0	0	0	0	228	0	225	226	0	225	0	0	227	0	0	226	231	0	0	0	0	0	0	0	0	222	232	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0
ClaidentTutorial__Sample04__MiFish	225	228	218	235	226	225	0	234	233	0	234	224	0	0	0	0	0	231	230	228	0	0	226	228	0	0	224	235	229	0	0	0	0	0	0	228	0	0	0	0	218	233	0	0	238	0	0	0	222	0	0	0	0	0	230	228	0	223	0	0	0	224	0	0	0	0	225	222	228	0	0	0	225	232	225	224	0	228	0	226	0	0	0	0	0	0	0	228	223	0	0	0	0	226	0	0	228	0	0	0	226	0	225	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	231	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	226	233	223	232	232	238	0	224	220	222	221	227	0	0	223	223	0	232	230	233	0	0	231	223	0	0	226	223	227	0	0	233	0	0	0	222	0	0	0	225	229	228	0	0	229	0	0	0	221	0	0	0	0	0	228	230	236	229	0	0	0	229	0	0	0	223	231	0	235	0	0	0	234	225	235	220	0	231	0	224	0	0	0	0	0	0	0	0	225	0	0	0	231	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	223	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	229	226	232	225	235	230	0	233	224	227	235	219	0	0	226	222	218	226	227	229	0	0	228	227	0	0	235	224	225	0	0	229	0	0	0	224	0	0	0	229	235	225	0	0	227	0	0	0	222	0	224	0	0	0	228	229	234	225	0	0	0	0	0	0	0	223	224	0	0	0	0	0	0	0	223	232	0	0	0	225	0	0	0	0	0	230	0	0	236	0	0	0	227	0	216	0	0	0	0	0	0	216	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	225	225	223	231	234	231	231	236	228	225	235	228	233	229	223	226	226	223	236	223	0	0	238	229	0	0	235	0	224	0	0	229	0	0	0	218	0	0	0	229	227	224	0	0	226	0	0	0	224	0	217	0	0	0	0	0	230	0	0	233	0	0	0	0	227	0	0	230	0	0	0	0	0	0	222	231	0	0	0	0	0	0	0	226	0	221	0	0	236	0	0	0	0	0	231	0	0	221	0	0	0	228	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	230	225	233	231	225	222	229	224	230	223	231	227	229	229	224	231	227	0	228	236	0	0	226	225	0	0	230	0	221	0	0	226	0	0	223	228	0	222	0	226	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	226	0	0	225	0	0	0	0	224	0	0	225	0	0	0	0	0	0	232	228	220	0	0	0	0	0	0	222	0	218	0	0	0	0	0	0	0	0	233	0	0	226	227	0	0	233	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216
ClaidentTutorial__Sample09__MiFish	217	238	229	230	230	232	235	226	231	228	232	230	228	233	224	225	219	0	225	225	0	229	226	221	0	0	226	0	230	0	0	216	0	0	224	230	0	222	0	233	0	0	232	233	0	0	0	0	0	0	226	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	223	0	0	230	0	227	0	0	0	0	0	0	0	0	231	0	0	225	226	0	0	226	0	229	0	226	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	228	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	225	230	225	224	227	231	219	227	222	226	223	224	227	231	224	225	223	231	231	227	223	223	225	226	0	0	0	0	0	0	0	223	0	0	222	0	0	221	0	229	0	0	227	229	0	0	0	224	0	0	229	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	230	0	0	226	0	227	0	0	0	0	232	0	0	0	0	0	0	233	225	223	0	0	0	0	222	226	223	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
