samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	01_Tetraodontidae	232
ClaidentTutorial__Sample01__MiFish	02_Labridae	0
ClaidentTutorial__Sample01__MiFish	03_Danionidae	235
ClaidentTutorial__Sample01__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample01__MiFish	05_Cyprinidae	0
ClaidentTutorial__Sample01__MiFish	06_Nothobranchiidae	230
ClaidentTutorial__Sample01__MiFish	07_Sciaenidae	232
ClaidentTutorial__Sample01__MiFish	08_Cichlidae	219
ClaidentTutorial__Sample01__MiFish	09_Kyphosidae	451
ClaidentTutorial__Sample01__MiFish	10_Adrianichthyidae	0
ClaidentTutorial__Sample01__MiFish	11_Eleotridae	0
ClaidentTutorial__Sample01__MiFish	12_Gobiidae	224
ClaidentTutorial__Sample01__MiFish	13_Soleidae	219
ClaidentTutorial__Sample01__MiFish	14_Clupeidae	705
ClaidentTutorial__Sample01__MiFish	15_Loricariidae	230
ClaidentTutorial__Sample01__MiFish	16_Engraulidae	0
ClaidentTutorial__Sample01__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample01__MiFish	18_Dussumieriidae	222
ClaidentTutorial__Sample01__MiFish	19_Xenocyprididae	0
ClaidentTutorial__Sample01__MiFish	20_Monacanthidae	0
ClaidentTutorial__Sample01__MiFish	21_Ictaluridae	0
ClaidentTutorial__Sample01__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample01__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample01__MiFish	24_Aplocheilidae	0
ClaidentTutorial__Sample01__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample01__MiFish	26_Callionymidae	0
ClaidentTutorial__Sample01__MiFish	27_Bothidae	447
ClaidentTutorial__Sample01__MiFish	28_Melamphaidae	228
ClaidentTutorial__Sample01__MiFish	29_Triacanthidae	230
ClaidentTutorial__Sample01__MiFish	30_Acanthuridae	0
ClaidentTutorial__Sample01__MiFish	31_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample01__MiFish	32_Anguillidae	224
ClaidentTutorial__Sample01__MiFish	33_Elopidae	232
ClaidentTutorial__Sample01__MiFish	34_Molidae	0
ClaidentTutorial__Sample01__MiFish	35_Ellopostomatidae	229
ClaidentTutorial__Sample01__MiFish	36_Cynoglossidae	0
ClaidentTutorial__Sample01__MiFish	37_Echeneidae	0
ClaidentTutorial__Sample01__MiFish	38_Bagridae	0
ClaidentTutorial__Sample01__MiFish	39_Dactylopteridae	0
ClaidentTutorial__Sample01__MiFish	40_Retropinnidae	227
ClaidentTutorial__Sample01__MiFish	41_Nototheniidae	242
ClaidentTutorial__Sample01__MiFish	42_Synodontidae	0
ClaidentTutorial__Sample01__MiFish	43_Paralichthyidae	229
ClaidentTutorial__Sample01__MiFish	44_Chilodontidae	0
ClaidentTutorial__Sample01__MiFish	45_Indostomidae	0
ClaidentTutorial__Sample01__MiFish	46_Galaxiidae	0
ClaidentTutorial__Sample01__MiFish	47_Stromateidae	0
ClaidentTutorial__Sample01__MiFish	48_Rivulidae	0
ClaidentTutorial__Sample01__MiFish	49_Muraenidae	227
ClaidentTutorial__Sample01__MiFish	50_Trichiuridae	228
ClaidentTutorial__Sample01__MiFish	51_others	5420
ClaidentTutorial__Sample02__MiFish	01_Tetraodontidae	222
ClaidentTutorial__Sample02__MiFish	02_Labridae	0
ClaidentTutorial__Sample02__MiFish	03_Danionidae	225
ClaidentTutorial__Sample02__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample02__MiFish	05_Cyprinidae	0
ClaidentTutorial__Sample02__MiFish	06_Nothobranchiidae	440
ClaidentTutorial__Sample02__MiFish	07_Sciaenidae	225
ClaidentTutorial__Sample02__MiFish	08_Cichlidae	0
ClaidentTutorial__Sample02__MiFish	09_Kyphosidae	457
ClaidentTutorial__Sample02__MiFish	10_Adrianichthyidae	228
ClaidentTutorial__Sample02__MiFish	11_Eleotridae	233
ClaidentTutorial__Sample02__MiFish	12_Gobiidae	449
ClaidentTutorial__Sample02__MiFish	13_Soleidae	453
ClaidentTutorial__Sample02__MiFish	14_Clupeidae	451
ClaidentTutorial__Sample02__MiFish	15_Loricariidae	226
ClaidentTutorial__Sample02__MiFish	16_Engraulidae	0
ClaidentTutorial__Sample02__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample02__MiFish	18_Dussumieriidae	229
ClaidentTutorial__Sample02__MiFish	19_Xenocyprididae	0
ClaidentTutorial__Sample02__MiFish	20_Monacanthidae	0
ClaidentTutorial__Sample02__MiFish	21_Ictaluridae	0
ClaidentTutorial__Sample02__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample02__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample02__MiFish	24_Aplocheilidae	0
ClaidentTutorial__Sample02__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample02__MiFish	26_Callionymidae	0
ClaidentTutorial__Sample02__MiFish	27_Bothidae	455
ClaidentTutorial__Sample02__MiFish	28_Melamphaidae	225
ClaidentTutorial__Sample02__MiFish	29_Triacanthidae	228
ClaidentTutorial__Sample02__MiFish	30_Acanthuridae	0
ClaidentTutorial__Sample02__MiFish	31_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample02__MiFish	32_Anguillidae	230
ClaidentTutorial__Sample02__MiFish	33_Elopidae	224
ClaidentTutorial__Sample02__MiFish	34_Molidae	0
ClaidentTutorial__Sample02__MiFish	35_Ellopostomatidae	224
ClaidentTutorial__Sample02__MiFish	36_Cynoglossidae	0
ClaidentTutorial__Sample02__MiFish	37_Echeneidae	0
ClaidentTutorial__Sample02__MiFish	38_Bagridae	220
ClaidentTutorial__Sample02__MiFish	39_Dactylopteridae	0
ClaidentTutorial__Sample02__MiFish	40_Retropinnidae	235
ClaidentTutorial__Sample02__MiFish	41_Nototheniidae	226
ClaidentTutorial__Sample02__MiFish	42_Synodontidae	0
ClaidentTutorial__Sample02__MiFish	43_Paralichthyidae	0
ClaidentTutorial__Sample02__MiFish	44_Chilodontidae	0
ClaidentTutorial__Sample02__MiFish	45_Indostomidae	0
ClaidentTutorial__Sample02__MiFish	46_Galaxiidae	234
ClaidentTutorial__Sample02__MiFish	47_Stromateidae	0
ClaidentTutorial__Sample02__MiFish	48_Rivulidae	0
ClaidentTutorial__Sample02__MiFish	49_Muraenidae	223
ClaidentTutorial__Sample02__MiFish	50_Trichiuridae	223
ClaidentTutorial__Sample02__MiFish	51_others	4522
ClaidentTutorial__Sample03__MiFish	01_Tetraodontidae	0
ClaidentTutorial__Sample03__MiFish	02_Labridae	0
ClaidentTutorial__Sample03__MiFish	03_Danionidae	233
ClaidentTutorial__Sample03__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample03__MiFish	05_Cyprinidae	0
ClaidentTutorial__Sample03__MiFish	06_Nothobranchiidae	227
ClaidentTutorial__Sample03__MiFish	07_Sciaenidae	232
ClaidentTutorial__Sample03__MiFish	08_Cichlidae	0
ClaidentTutorial__Sample03__MiFish	09_Kyphosidae	449
ClaidentTutorial__Sample03__MiFish	10_Adrianichthyidae	225
ClaidentTutorial__Sample03__MiFish	11_Eleotridae	230
ClaidentTutorial__Sample03__MiFish	12_Gobiidae	453
ClaidentTutorial__Sample03__MiFish	13_Soleidae	460
ClaidentTutorial__Sample03__MiFish	14_Clupeidae	0
ClaidentTutorial__Sample03__MiFish	15_Loricariidae	230
ClaidentTutorial__Sample03__MiFish	16_Engraulidae	226
ClaidentTutorial__Sample03__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample03__MiFish	18_Dussumieriidae	232
ClaidentTutorial__Sample03__MiFish	19_Xenocyprididae	0
ClaidentTutorial__Sample03__MiFish	20_Monacanthidae	226
ClaidentTutorial__Sample03__MiFish	21_Ictaluridae	0
ClaidentTutorial__Sample03__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample03__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample03__MiFish	24_Aplocheilidae	233
