samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	01_unidentified_Gastromyzontidae	228
ClaidentTutorial__Sample01__MiFish	02_Canthophrys_gongota	0
ClaidentTutorial__Sample01__MiFish	03_Sardina_pilchardus	227
ClaidentTutorial__Sample01__MiFish	04_Jaydia_lineata	0
ClaidentTutorial__Sample01__MiFish	05_unidentified_Amblyopinae	221
ClaidentTutorial__Sample01__MiFish	06_Paraconger_notialis	0
ClaidentTutorial__Sample01__MiFish	07_Odontobutis_haifengensis	0
ClaidentTutorial__Sample01__MiFish	08_Symphysodon_aequifasciata	224
ClaidentTutorial__Sample01__MiFish	09_unidentified_Osteoglossiformes	229
ClaidentTutorial__Sample01__MiFish	10_Acanthaphritis_unoorum	0
ClaidentTutorial__Sample01__MiFish	11_Pagellus_bogaraveo	0
ClaidentTutorial__Sample01__MiFish	12_Onychostoma_meridionale	225
ClaidentTutorial__Sample01__MiFish	13_Eumegistus_illustris	0
ClaidentTutorial__Sample01__MiFish	14_Cynoglossus_abbreviatus	226
ClaidentTutorial__Sample01__MiFish	15_Diplacanthopoma_brachysoma	0
ClaidentTutorial__Sample01__MiFish	16_Ponticola_kessleri	0
ClaidentTutorial__Sample01__MiFish	17_Megalops_atlanticus	0
ClaidentTutorial__Sample01__MiFish	18_Hyporhamphus_limbatus	227
ClaidentTutorial__Sample01__MiFish	19_unidentified_Heniochus	0
ClaidentTutorial__Sample01__MiFish	20_unidentified_Homatula	226
ClaidentTutorial__Sample01__MiFish	21_Scolopsis_ciliata	227
ClaidentTutorial__Sample01__MiFish	22_Polyacanthonotus_rissoanus	0
ClaidentTutorial__Sample01__MiFish	23_unidentified_Sphyraena	0
ClaidentTutorial__Sample01__MiFish	24_unidentified_Oreochromini	237
ClaidentTutorial__Sample01__MiFish	25_Pristipomoides_multidens	0
ClaidentTutorial__Sample01__MiFish	26_Micropterus_dolomieu	0
ClaidentTutorial__Sample01__MiFish	27_Facciolella_oxyrhyncha	230
ClaidentTutorial__Sample01__MiFish	28_Acanthocepola_krusensternii	225
ClaidentTutorial__Sample01__MiFish	29_Amblydoras_gonzalezi	229
ClaidentTutorial__Sample01__MiFish	30_Rastrelliger_brachysoma	0
ClaidentTutorial__Sample01__MiFish	31_Dallia_pectoralis	0
ClaidentTutorial__Sample01__MiFish	32_Solea_senegalensis	0
ClaidentTutorial__Sample01__MiFish	33_Squalomugil_nasutus	0
ClaidentTutorial__Sample01__MiFish	34_Rasbora_sumatrana	0
ClaidentTutorial__Sample01__MiFish	35_Etheostoma_trisella	0
ClaidentTutorial__Sample01__MiFish	36_unidentified_Pampus	0
ClaidentTutorial__Sample01__MiFish	37_Luciogobius_elongatus	0
ClaidentTutorial__Sample01__MiFish	38_Eleutheronema_tetradactylum	0
ClaidentTutorial__Sample01__MiFish	39_Eigenmannia_sp._CBM-ZF-10620	0
ClaidentTutorial__Sample01__MiFish	40_Acestrorhynchus_sp._NM-2010	0
ClaidentTutorial__Sample01__MiFish	41_Cephalopholis_argus	233
ClaidentTutorial__Sample01__MiFish	42_Pantodon_buchholzi	0
ClaidentTutorial__Sample01__MiFish	43_unidentified_Channa	227
ClaidentTutorial__Sample01__MiFish	44_Latimeria_chalumnae	0
