samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	004_Cyprinidae	455
ClaidentTutorial__Sample01__MiFish	038_Bothidae	454
ClaidentTutorial__Sample01__MiFish	091_Odontobutidae	451
ClaidentTutorial__Sample01__MiFish	010_Carangidae	443
ClaidentTutorial__Sample01__MiFish	009_Cichlidae	440
ClaidentTutorial__Sample01__MiFish	008_Gobiidae	253
ClaidentTutorial__Sample01__MiFish	014_Mormyridae	235
ClaidentTutorial__Sample01__MiFish	125_Citharidae	234
ClaidentTutorial__Sample01__MiFish	096_Loricariidae	233
ClaidentTutorial__Sample01__MiFish	002_Nothobranchiidae	232
ClaidentTutorial__Sample01__MiFish	068_unidentified_Anguilliformes	232
ClaidentTutorial__Sample01__MiFish	022_Bathyclupeidae	231
ClaidentTutorial__Sample01__MiFish	104_Sparidae	231
ClaidentTutorial__Sample01__MiFish	018_Echeneidae	230
ClaidentTutorial__Sample01__MiFish	025_Odacidae	230
ClaidentTutorial__Sample01__MiFish	003_unidentified_Osteoglossiformes	229
ClaidentTutorial__Sample01__MiFish	050_unidentified_Acropomatiformes	229
ClaidentTutorial__Sample01__MiFish	071_Diplomystidae	229
ClaidentTutorial__Sample01__MiFish	007_Tetraodontidae	228
ClaidentTutorial__Sample01__MiFish	053_Acanthuridae	228
ClaidentTutorial__Sample01__MiFish	111_Pseudochromidae	228
ClaidentTutorial__Sample01__MiFish	036_Lepidosirenidae	227
ClaidentTutorial__Sample01__MiFish	055_Adrianichthyidae	227
ClaidentTutorial__Sample01__MiFish	066_unidentified_Siluroidei	227
ClaidentTutorial__Sample01__MiFish	108_Acipenseridae	227
ClaidentTutorial__Sample01__MiFish	092_Sinipercidae	226
ClaidentTutorial__Sample01__MiFish	134_Gastromyzontidae	226
ClaidentTutorial__Sample01__MiFish	012_Nototheniidae	225
ClaidentTutorial__Sample01__MiFish	049_Nemacheilidae	225
ClaidentTutorial__Sample01__MiFish	063_Bryconidae	225
ClaidentTutorial__Sample01__MiFish	085_Danionidae	225
ClaidentTutorial__Sample01__MiFish	119_Percidae	225
ClaidentTutorial__Sample01__MiFish	051_Characidae	224
ClaidentTutorial__Sample01__MiFish	056_Chlopsidae	224
ClaidentTutorial__Sample01__MiFish	115_Kyphosidae	224
ClaidentTutorial__Sample01__MiFish	087_Moronidae	223
ClaidentTutorial__Sample01__MiFish	099_Lutjanidae	222
ClaidentTutorial__Sample01__MiFish	028_Xenocyprididae	221
ClaidentTutorial__Sample01__MiFish	137_Chiasmodontidae	221
ClaidentTutorial__Sample01__MiFish	023_Atherinopsidae	220
ClaidentTutorial__Sample01__MiFish	026_Channidae	219
ClaidentTutorial__Sample01__MiFish	043_Pristolepididae	219
ClaidentTutorial__Sample01__MiFish	058_Poeciliidae	219
ClaidentTutorial__Sample01__MiFish	039_Eleotridae	218
ClaidentTutorial__Sample01__MiFish	011_Sciaenidae	216
ClaidentTutorial__Sample02__MiFish	007_Tetraodontidae	462
ClaidentTutorial__Sample02__MiFish	004_Cyprinidae	459
