samplename	inputnseq
ClaidentTutorial__Sample01__MiFish	9013
ClaidentTutorial__Sample02__MiFish	9186
ClaidentTutorial__Sample03__MiFish	9105
ClaidentTutorial__Sample04__MiFish	8942
ClaidentTutorial__Sample05__MiFish	8944
ClaidentTutorial__Sample06__MiFish	8947
ClaidentTutorial__Sample07__MiFish	9112
ClaidentTutorial__Sample08__MiFish	9104
ClaidentTutorial__Sample09__MiFish	9002
ClaidentTutorial__Sample10__MiFish	8781
ClaidentTutorial__Sample11__MiFish	8965
ClaidentTutorial__Sample12__MiFish	8998
ClaidentTutorial__Sample13__MiFish	8805
ClaidentTutorial__Sample14__MiFish	8816
ClaidentTutorial__Sample15__MiFish	8939
ClaidentTutorial__Sample16__MiFish	8581
ClaidentTutorial__Sample17__MiFish	8643
ClaidentTutorial__Sample18__MiFish	9117
ClaidentTutorial__Sample19__MiFish	8961
ClaidentTutorial__Sample20__MiFish	8592
