samplename	inputpcov
ClaidentTutorial__Sample01__MiFish	0.9997782828
ClaidentTutorial__Sample02__MiFish	0.9998903629
ClaidentTutorial__Sample03__MiFish	0.9998903629
ClaidentTutorial__Sample04__MiFish	0.9998899406
ClaidentTutorial__Sample05__MiFish	0.9997810379
ClaidentTutorial__Sample06__MiFish	0.9997813013
ClaidentTutorial__Sample07__MiFish	0.9998901823
ClaidentTutorial__Sample08__MiFish	0.9996714729
ClaidentTutorial__Sample09__MiFish	0.9997805213
ClaidentTutorial__Sample10__MiFish	0.9997800264
ClaidentTutorial__Sample11__MiFish	0.9997779135
ClaidentTutorial__Sample12__MiFish	0.9995620877
ClaidentTutorial__Sample13__MiFish	0.9999999875
ClaidentTutorial__Sample14__MiFish	0.9997754323
ClaidentTutorial__Sample15__MiFish	0.9999999875
ClaidentTutorial__Sample16__MiFish	0.9998900374
ClaidentTutorial__Sample17__MiFish	0.9999999747
ClaidentTutorial__Sample18__MiFish	0.9997801594
ClaidentTutorial__Sample19__MiFish	0.9997739602
ClaidentTutorial__Sample20__MiFish	0.9996595552
