samplename	outputnseq
ClaidentTutorial__Sample01__MiFish	11309
ClaidentTutorial__Sample02__MiFish	11347
ClaidentTutorial__Sample03__MiFish	11372
ClaidentTutorial__Sample04__MiFish	11374
ClaidentTutorial__Sample05__MiFish	11336
ClaidentTutorial__Sample06__MiFish	11383
ClaidentTutorial__Sample07__MiFish	11358
ClaidentTutorial__Sample08__MiFish	11370
ClaidentTutorial__Sample09__MiFish	11354
ClaidentTutorial__Sample10__MiFish	11388
ClaidentTutorial__Sample11__MiFish	11340
ClaidentTutorial__Sample12__MiFish	11459
ClaidentTutorial__Sample13__MiFish	11400
ClaidentTutorial__Sample14__MiFish	11390
ClaidentTutorial__Sample15__MiFish	11362
ClaidentTutorial__Sample16__MiFish	11370
ClaidentTutorial__Sample17__MiFish	11354
ClaidentTutorial__Sample18__MiFish	11356
ClaidentTutorial__Sample19__MiFish	11364
ClaidentTutorial__Sample20__MiFish	11341
