samplename	outputpcov
ClaidentTutorial__Sample01__MiFish	0.9995621023
ClaidentTutorial__Sample02__MiFish	0.9995621245
ClaidentTutorial__Sample03__MiFish	0.9995632862
ClaidentTutorial__Sample04__MiFish	0.9995621531
ClaidentTutorial__Sample05__MiFish	0.9995621433
ClaidentTutorial__Sample06__MiFish	0.9995621473
ClaidentTutorial__Sample07__MiFish	0.9995621502
ClaidentTutorial__Sample08__MiFish	0.9995622196
ClaidentTutorial__Sample09__MiFish	0.9995621925
ClaidentTutorial__Sample10__MiFish	0.9995621091
ClaidentTutorial__Sample11__MiFish	0.9995621188
ClaidentTutorial__Sample12__MiFish	0.9995620877
ClaidentTutorial__Sample13__MiFish	0.9995622053
ClaidentTutorial__Sample14__MiFish	0.9995620912
ClaidentTutorial__Sample15__MiFish	0.9995629821
ClaidentTutorial__Sample16__MiFish	0.9995624679
ClaidentTutorial__Sample17__MiFish	0.9995621382
ClaidentTutorial__Sample18__MiFish	0.9995621368
ClaidentTutorial__Sample19__MiFish	0.9995628956
ClaidentTutorial__Sample20__MiFish	0.9995621265
