samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	51_others	4279
ClaidentTutorial__Sample01__MiFish	01_Gobiidae	502
ClaidentTutorial__Sample01__MiFish	03_Danionidae	461
ClaidentTutorial__Sample01__MiFish	18_Nemacheilidae	352
ClaidentTutorial__Sample01__MiFish	04_Engraulidae	333
ClaidentTutorial__Sample01__MiFish	11_Clupeidae	319
ClaidentTutorial__Sample01__MiFish	02_Cyprinidae	286
ClaidentTutorial__Sample01__MiFish	14_unidentified_Euteleosteomorpha	250
ClaidentTutorial__Sample01__MiFish	42_Bovichtidae	243
ClaidentTutorial__Sample01__MiFish	15_Characidae	213
ClaidentTutorial__Sample01__MiFish	06_Macrouridae	204
ClaidentTutorial__Sample01__MiFish	07_Chlopsidae	189
ClaidentTutorial__Sample01__MiFish	46_Cottidae	163
ClaidentTutorial__Sample01__MiFish	29_Labridae	159
ClaidentTutorial__Sample01__MiFish	50_Mullidae	155
ClaidentTutorial__Sample01__MiFish	25_Myctophidae	150
ClaidentTutorial__Sample01__MiFish	09_Cynoglossidae	145
ClaidentTutorial__Sample01__MiFish	10_Uranoscopidae	134
ClaidentTutorial__Sample01__MiFish	49_Mugilidae	130
ClaidentTutorial__Sample01__MiFish	21_Scorpaenidae	126
ClaidentTutorial__Sample01__MiFish	43_Cyprinodontidae	126
ClaidentTutorial__Sample01__MiFish	45_Soleidae	102
ClaidentTutorial__Sample02__MiFish	51_others	3266
ClaidentTutorial__Sample02__MiFish	01_Gobiidae	692
ClaidentTutorial__Sample02__MiFish	03_Danionidae	624
ClaidentTutorial__Sample02__MiFish	24_Acheilognathidae	465
ClaidentTutorial__Sample02__MiFish	04_Engraulidae	382
ClaidentTutorial__Sample02__MiFish	18_Nemacheilidae	365
ClaidentTutorial__Sample02__MiFish	09_Cynoglossidae	341
ClaidentTutorial__Sample02__MiFish	02_Cyprinidae	336
ClaidentTutorial__Sample02__MiFish	11_Clupeidae	285
ClaidentTutorial__Sample02__MiFish	25_Myctophidae	262
ClaidentTutorial__Sample02__MiFish	43_Cyprinodontidae	211
ClaidentTutorial__Sample02__MiFish	49_Mugilidae	210
ClaidentTutorial__Sample02__MiFish	22_Muraenidae	194
ClaidentTutorial__Sample02__MiFish	29_Labridae	187
ClaidentTutorial__Sample02__MiFish	46_Cottidae	187
ClaidentTutorial__Sample02__MiFish	14_unidentified_Euteleosteomorpha	175
ClaidentTutorial__Sample02__MiFish	10_Uranoscopidae	160
ClaidentTutorial__Sample02__MiFish	07_Chlopsidae	139
ClaidentTutorial__Sample02__MiFish	42_Bovichtidae	124
ClaidentTutorial__Sample02__MiFish	45_Soleidae	117
ClaidentTutorial__Sample02__MiFish	15_Characidae	109
ClaidentTutorial__Sample02__MiFish	21_Scorpaenidae	109
ClaidentTutorial__Sample02__MiFish	50_Mullidae	109
ClaidentTutorial__Sample02__MiFish	37_Cobitidae	73
ClaidentTutorial__Sample02__MiFish	26_Rhamphichthyidae	1
ClaidentTutorial__Sample03__MiFish	51_others	2537
ClaidentTutorial__Sample03__MiFish	01_Gobiidae	900
ClaidentTutorial__Sample03__MiFish	02_Cyprinidae	765
ClaidentTutorial__Sample03__MiFish	03_Danionidae	707
ClaidentTutorial__Sample03__MiFish	04_Engraulidae	365
ClaidentTutorial__Sample03__MiFish	15_Characidae	311
ClaidentTutorial__Sample03__MiFish	24_Acheilognathidae	301
ClaidentTutorial__Sample03__MiFish	11_Clupeidae	291
ClaidentTutorial__Sample03__MiFish	09_Cynoglossidae	252
ClaidentTutorial__Sample03__MiFish	16_Bryconidae	245
ClaidentTutorial__Sample03__MiFish	37_Cobitidae	232
ClaidentTutorial__Sample03__MiFish	21_Scorpaenidae	201
ClaidentTutorial__Sample03__MiFish	18_Nemacheilidae	190
ClaidentTutorial__Sample03__MiFish	22_Muraenidae	185
