samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	51_others	4159
ClaidentTutorial__Sample01__MiFish	01_unidentified_Euteleosteomorpha	374
ClaidentTutorial__Sample01__MiFish	34_unidentified_Gobionellinae	260
ClaidentTutorial__Sample01__MiFish	18_unidentified_Linophrynidae	246
ClaidentTutorial__Sample01__MiFish	07_Samariscus_latus	242
ClaidentTutorial__Sample01__MiFish	08_unidentified_Elops	238
ClaidentTutorial__Sample01__MiFish	45_Triacanthus_biaculeatus	222
ClaidentTutorial__Sample01__MiFish	15_Henicorhynchus_siamensis	212
ClaidentTutorial__Sample01__MiFish	06_unidentified_Electrona	208
ClaidentTutorial__Sample01__MiFish	13_unidentified_Synaphobranchus	203
ClaidentTutorial__Sample01__MiFish	32_unidentified_Aphyosemion	199
ClaidentTutorial__Sample01__MiFish	41_Synanceia_verrucosa	191
ClaidentTutorial__Sample01__MiFish	28_unidentified_Engraulinae	185
ClaidentTutorial__Sample01__MiFish	10_unidentified_Chrysichthys	182
ClaidentTutorial__Sample01__MiFish	33_unidentified_Champsodon	174
ClaidentTutorial__Sample01__MiFish	42_unidentified_Priacanthus	170
ClaidentTutorial__Sample01__MiFish	03_unidentified_Xiphophorus	168
ClaidentTutorial__Sample01__MiFish	14_unidentified_Gobiopterus	162
ClaidentTutorial__Sample01__MiFish	31_unidentified_Liparis	148
ClaidentTutorial__Sample01__MiFish	24_Amia_calva	146
ClaidentTutorial__Sample01__MiFish	11_Jenkinsia_lamprotaenia	145
ClaidentTutorial__Sample01__MiFish	21_Cirrhitichthys_aprinus	140
ClaidentTutorial__Sample01__MiFish	02_unidentified_Danioninae	135
ClaidentTutorial__Sample01__MiFish	44_Hemigrammus_bleheri	133
ClaidentTutorial__Sample01__MiFish	04_unidentified_Rhodeus	129
ClaidentTutorial__Sample01__MiFish	47_unidentified_Callionymidae	123
ClaidentTutorial__Sample01__MiFish	26_Arnoglossus_tenuis	119
ClaidentTutorial__Sample02__MiFish	51_others	3925
ClaidentTutorial__Sample02__MiFish	26_Arnoglossus_tenuis	305
ClaidentTutorial__Sample02__MiFish	18_unidentified_Linophrynidae	298
ClaidentTutorial__Sample02__MiFish	44_Hemigrammus_bleheri	296
ClaidentTutorial__Sample02__MiFish	01_unidentified_Euteleosteomorpha	295
ClaidentTutorial__Sample02__MiFish	15_Henicorhynchus_siamensis	268
ClaidentTutorial__Sample02__MiFish	04_unidentified_Rhodeus	248
ClaidentTutorial__Sample02__MiFish	11_Jenkinsia_lamprotaenia	239
ClaidentTutorial__Sample02__MiFish	08_unidentified_Elops	221
ClaidentTutorial__Sample02__MiFish	19_unidentified_Aspasma	205
ClaidentTutorial__Sample02__MiFish	03_unidentified_Xiphophorus	202
ClaidentTutorial__Sample02__MiFish	33_unidentified_Champsodon	196
ClaidentTutorial__Sample02__MiFish	41_Synanceia_verrucosa	193
ClaidentTutorial__Sample02__MiFish	46_Cynoponticus_ferox	192
ClaidentTutorial__Sample02__MiFish	28_unidentified_Engraulinae	188
ClaidentTutorial__Sample02__MiFish	20_Salarias_fasciatus	186
ClaidentTutorial__Sample02__MiFish	45_Triacanthus_biaculeatus	171
ClaidentTutorial__Sample02__MiFish	02_unidentified_Danioninae	168
ClaidentTutorial__Sample02__MiFish	14_unidentified_Gobiopterus	162
ClaidentTutorial__Sample02__MiFish	31_unidentified_Liparis	160
ClaidentTutorial__Sample02__MiFish	13_unidentified_Synaphobranchus	154
ClaidentTutorial__Sample02__MiFish	21_Cirrhitichthys_aprinus	151
ClaidentTutorial__Sample02__MiFish	22_unidentified_Osteoglossiformes	148
ClaidentTutorial__Sample02__MiFish	10_unidentified_Chrysichthys	135
ClaidentTutorial__Sample02__MiFish	07_Samariscus_latus	129
ClaidentTutorial__Sample02__MiFish	34_unidentified_Gobionellinae	128
ClaidentTutorial__Sample02__MiFish	38_unidentified_Conger	120
ClaidentTutorial__Sample02__MiFish	47_unidentified_Callionymidae	103
ClaidentTutorial__Sample03__MiFish	51_others	3982
ClaidentTutorial__Sample03__MiFish	01_unidentified_Euteleosteomorpha	316
ClaidentTutorial__Sample03__MiFish	22_unidentified_Osteoglossiformes	314
ClaidentTutorial__Sample03__MiFish	08_unidentified_Elops	282
ClaidentTutorial__Sample03__MiFish	38_unidentified_Conger	274
ClaidentTutorial__Sample03__MiFish	20_Salarias_fasciatus	269
ClaidentTutorial__Sample03__MiFish	50_unidentified_Harpadontinae	269
ClaidentTutorial__Sample03__MiFish	13_unidentified_Synaphobranchus	260
ClaidentTutorial__Sample03__MiFish	14_unidentified_Gobiopterus	251
ClaidentTutorial__Sample03__MiFish	02_unidentified_Danioninae	237
ClaidentTutorial__Sample03__MiFish	31_unidentified_Liparis	223
ClaidentTutorial__Sample03__MiFish	05_Pseudorhombus_dupliciocellatus	215
ClaidentTutorial__Sample03__MiFish	47_unidentified_Callionymidae	213
ClaidentTutorial__Sample03__MiFish	07_Samariscus_latus	198
ClaidentTutorial__Sample03__MiFish	27_Aphredoderus_sayanus	184
ClaidentTutorial__Sample03__MiFish	04_unidentified_Rhodeus	182
ClaidentTutorial__Sample03__MiFish	26_Arnoglossus_tenuis	179
ClaidentTutorial__Sample03__MiFish	19_unidentified_Aspasma	174
ClaidentTutorial__Sample03__MiFish	11_Jenkinsia_lamprotaenia	164
ClaidentTutorial__Sample03__MiFish	15_Henicorhynchus_siamensis	164
ClaidentTutorial__Sample03__MiFish	03_unidentified_Xiphophorus	157
ClaidentTutorial__Sample03__MiFish	33_unidentified_Champsodon	138
ClaidentTutorial__Sample03__MiFish	35_unidentified_Lophiidae	137
ClaidentTutorial__Sample03__MiFish	30_Spratelloides_delicatulus	135
ClaidentTutorial__Sample03__MiFish	28_unidentified_Engraulinae	105
ClaidentTutorial__Sample03__MiFish	21_Cirrhitichthys_aprinus	79
ClaidentTutorial__Sample03__MiFish	18_unidentified_Linophrynidae	2
ClaidentTutorial__Sample03__MiFish	32_unidentified_Aphyosemion	2
ClaidentTutorial__Sample04__MiFish	51_others	4004
ClaidentTutorial__Sample04__MiFish	06_unidentified_Electrona	294
ClaidentTutorial__Sample04__MiFish	27_Aphredoderus_sayanus	267
ClaidentTutorial__Sample04__MiFish	38_unidentified_Conger	253
ClaidentTutorial__Sample04__MiFish	31_unidentified_Liparis	242
ClaidentTutorial__Sample04__MiFish	30_Spratelloides_delicatulus	234
ClaidentTutorial__Sample04__MiFish	03_unidentified_Xiphophorus	229
ClaidentTutorial__Sample04__MiFish	13_unidentified_Synaphobranchus	199
ClaidentTutorial__Sample04__MiFish	25_unidentified_Characoidei	192
ClaidentTutorial__Sample04__MiFish	21_Cirrhitichthys_aprinus	191
ClaidentTutorial__Sample04__MiFish	28_unidentified_Engraulinae	191
ClaidentTutorial__Sample04__MiFish	02_unidentified_Danioninae	189
ClaidentTutorial__Sample04__MiFish	36_unidentified_Synodus	184
ClaidentTutorial__Sample04__MiFish	35_unidentified_Lophiidae	180
ClaidentTutorial__Sample04__MiFish	05_Pseudorhombus_dupliciocellatus	178
ClaidentTutorial__Sample04__MiFish	15_Henicorhynchus_siamensis	177
ClaidentTutorial__Sample04__MiFish	26_Arnoglossus_tenuis	174
ClaidentTutorial__Sample04__MiFish	08_unidentified_Elops	173
ClaidentTutorial__Sample04__MiFish	11_Jenkinsia_lamprotaenia	169
ClaidentTutorial__Sample04__MiFish	01_unidentified_Euteleosteomorpha	167
ClaidentTutorial__Sample04__MiFish	22_unidentified_Osteoglossiformes	167
ClaidentTutorial__Sample04__MiFish	50_unidentified_Harpadontinae	164
ClaidentTutorial__Sample04__MiFish	09_Arripis_trutta	162
ClaidentTutorial__Sample04__MiFish	19_unidentified_Aspasma	129
ClaidentTutorial__Sample04__MiFish	39_Pterois_miles	127
ClaidentTutorial__Sample04__MiFish	04_unidentified_Rhodeus	117
ClaidentTutorial__Sample04__MiFish	20_Salarias_fasciatus	96
ClaidentTutorial__Sample04__MiFish	33_unidentified_Champsodon	91
ClaidentTutorial__Sample04__MiFish	34_unidentified_Gobionellinae	2
ClaidentTutorial__Sample05__MiFish	51_others	3438
ClaidentTutorial__Sample05__MiFish	20_Salarias_fasciatus	281
ClaidentTutorial__Sample05__MiFish	23_Symphurus_orientalis	258
ClaidentTutorial__Sample05__MiFish	16_Scolopsis_ciliata	244
ClaidentTutorial__Sample05__MiFish	39_Pterois_miles	236
ClaidentTutorial__Sample05__MiFish	13_unidentified_Synaphobranchus	230
ClaidentTutorial__Sample05__MiFish	35_unidentified_Lophiidae	217
ClaidentTutorial__Sample05__MiFish	26_Arnoglossus_tenuis	211
ClaidentTutorial__Sample05__MiFish	29_unidentified_Johnius	193
ClaidentTutorial__Sample05__MiFish	18_unidentified_Linophrynidae	191
ClaidentTutorial__Sample05__MiFish	06_unidentified_Electrona	189
ClaidentTutorial__Sample05__MiFish	11_Jenkinsia_lamprotaenia	189
ClaidentTutorial__Sample05__MiFish	24_Amia_calva	186
ClaidentTutorial__Sample05__MiFish	09_Arripis_trutta	183
ClaidentTutorial__Sample05__MiFish	50_unidentified_Harpadontinae	182
ClaidentTutorial__Sample05__MiFish	05_Pseudorhombus_dupliciocellatus	179
ClaidentTutorial__Sample05__MiFish	10_unidentified_Chrysichthys	173
ClaidentTutorial__Sample05__MiFish	25_unidentified_Characoidei	172
