query	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	genus	subgenus	section	subsection	series	species group	species subgroup	species	subspecies	varietas	forma	forma specialis	strain	isolate
otu_001	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Perciformes	Perciformes	Perciformes	Notothenioidei	Nototheniidae	Nototheniidae	Nototheniidae	Nototheniidae	Pagothenia	Pagothenia	Pagothenia	Pagothenia	Pagothenia borchgrevinki	Pagothenia borchgrevinki	Pagothenia borchgrevinki	Pagothenia borchgrevinki	Pagothenia borchgrevinki	Pagothenia borchgrevinki	Pagothenia borchgrevinki	unidentified Pagothenia borchgrevinki	unidentified Pagothenia borchgrevinki	unidentified Pagothenia borchgrevinki	unidentified Pagothenia borchgrevinki	unidentified Pagothenia borchgrevinki	unidentified Pagothenia borchgrevinki
otu_002	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossiformes	Osteoglossiformes	Osteoglossiformes	Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes
otu_003	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	Muraenesocidae	Muraenesocidae	Muraenesocidae	Muraenesocidae	Muraenesocidae	Cynoponticus	Cynoponticus	Cynoponticus	Cynoponticus	Cynoponticus ferox	Cynoponticus ferox	Cynoponticus ferox	Cynoponticus ferox	Cynoponticus ferox	Cynoponticus ferox	Cynoponticus ferox	unidentified Cynoponticus ferox	unidentified Cynoponticus ferox	unidentified Cynoponticus ferox	unidentified Cynoponticus ferox	unidentified Cynoponticus ferox	unidentified Cynoponticus ferox
otu_004	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Synbranchiformes	Synbranchiformes	Synbranchiformes	Synbranchoidei	Synbranchidae	Synbranchidae	Synbranchidae	Synbranchidae	Monopterus	Monopterus	Monopterus	Monopterus	Monopterus albus	Monopterus albus	Monopterus albus	Monopterus albus	Monopterus albus	Monopterus albus	Monopterus albus	unidentified Monopterus albus	unidentified Monopterus albus	unidentified Monopterus albus	unidentified Monopterus albus	unidentified Monopterus albus	unidentified Monopterus albus
otu_005	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Carangiformes	Carangiformes	Carangiformes	Carangidae	Carangidae	Carangidae	Carangidae	Carangidae	Elagatis	Elagatis	Elagatis	Elagatis	Elagatis bipinnulata	Elagatis bipinnulata	Elagatis bipinnulata	Elagatis bipinnulata	Elagatis bipinnulata	Elagatis bipinnulata	Elagatis bipinnulata	unidentified Elagatis bipinnulata	unidentified Elagatis bipinnulata	unidentified Elagatis bipinnulata	unidentified Elagatis bipinnulata	unidentified Elagatis bipinnulata	unidentified Elagatis bipinnulata
otu_006	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Carangiformes	Carangiformes	Carangiformes	Echeneidae	Echeneidae	Echeneidae	Echeneidae	Echeneidae	Echeneis	Echeneis	Echeneis	Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis	unidentified Echeneis
otu_007	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Tetraodontiformes	Tetraodontiformes	Tetraodontiformes	Tetraodontoidei	Tetradontoidea	Tetradontoidea	Tetradontoidea	Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae	unidentified Tetraodontidae
otu_008	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Syngnathiformes	Syngnathiformes	Syngnathiformes	Callionymoidei	Callionymidae	Callionymidae	Callionymidae	Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae	unidentified Callionymidae
otu_009	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Cichlomorphae	Cichlomorphae	Cichliformes	Cichlidae	Cichlidae	Cichlidae	Cichlidae	Cichlidae	Etroplinae	Pseudetroplus	Pseudetroplus	Pseudetroplus	Pseudetroplus maculatus	Pseudetroplus maculatus	Pseudetroplus maculatus	Pseudetroplus maculatus	Pseudetroplus maculatus	Pseudetroplus maculatus	Pseudetroplus maculatus	unidentified Pseudetroplus maculatus	unidentified Pseudetroplus maculatus	unidentified Pseudetroplus maculatus	unidentified Pseudetroplus maculatus	unidentified Pseudetroplus maculatus	unidentified Pseudetroplus maculatus
otu_010	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Atherinomorphae	Atherinomorphae	Cyprinodontiformes	Cyprinodontoidei	Fundulidae	Fundulidae	Fundulidae	Fundulidae	Fundulus	Fundulus	Fundulus	Fundulus	Fundulus diaphanus	Fundulus diaphanus	Fundulus diaphanus	Fundulus diaphanus	Fundulus diaphanus	Fundulus diaphanus	Fundulus diaphanus	unidentified Fundulus diaphanus	unidentified Fundulus diaphanus	unidentified Fundulus diaphanus	unidentified Fundulus diaphanus	unidentified Fundulus diaphanus	unidentified Fundulus diaphanus
