271390 reads, max len 184, avg 170.9

Length         MaxEE 0.50         MaxEE 1.00         MaxEE 2.00
------   ----------------   ----------------   ----------------
     5     271390(100.0%)     271390(100.0%)     271390(100.0%)
    10     271387(100.0%)     271390(100.0%)     271390(100.0%)
    15     271371(100.0%)     271390(100.0%)     271390(100.0%)
    20     271367(100.0%)     271390(100.0%)     271390(100.0%)
    25     271219( 99.9%)     271390(100.0%)     271390(100.0%)
    30     270183( 99.6%)     271388(100.0%)     271390(100.0%)
    35     269699( 99.4%)     271388(100.0%)     271390(100.0%)
    40     269030( 99.1%)     271387(100.0%)     271390(100.0%)
    45     268689( 99.0%)     271385(100.0%)     271390(100.0%)
    50     268242( 98.8%)     271378(100.0%)     271390(100.0%)
    55     267787( 98.7%)     271370(100.0%)     271390(100.0%)
    60     267568( 98.6%)     271360(100.0%)     271390(100.0%)
    65     267353( 98.5%)     271350(100.0%)     271390(100.0%)
    70     267124( 98.4%)     271347(100.0%)     271390(100.0%)
    75     266861( 98.3%)     271343(100.0%)     271390(100.0%)
    80     266579( 98.2%)     271336(100.0%)     271390(100.0%)
    85     266322( 98.1%)     271333(100.0%)     271390(100.0%)
    90     266021( 98.0%)     271326(100.0%)     271390(100.0%)
    95     265708( 97.9%)     271306(100.0%)     271390(100.0%)
   100     265396( 97.8%)     271295(100.0%)     271390(100.0%)
   105     265064( 97.7%)     271288(100.0%)     271390(100.0%)
   110     264756( 97.6%)     271283(100.0%)     271390(100.0%)
   115     264460( 97.4%)     271277(100.0%)     271390(100.0%)
   120     264151( 97.3%)     271259(100.0%)     271390(100.0%)
   125     261899( 96.5%)     271139( 99.9%)     271390(100.0%)
   130     256967( 94.7%)     270797( 99.8%)     271389(100.0%)
   135     252353( 93.0%)     270249( 99.6%)     271385(100.0%)
   140     248348( 91.5%)     269655( 99.4%)     271380(100.0%)
   145     244406( 90.1%)     268966( 99.1%)     271375(100.0%)
   150     239788( 88.4%)     268119( 98.8%)     271367(100.0%)
   155     234640( 86.5%)     267048( 98.4%)     271359(100.0%)
   160     229195( 84.5%)     265878( 98.0%)     271344(100.0%)
   165     223713( 82.4%)     264022( 97.3%)     270475( 99.7%)
   170     132710( 48.9%)     160956( 59.3%)     165935( 61.1%)
   175      26766(  9.9%)      34173( 12.6%)      35769( 13.2%)
   180       2813(  1.0%)       3877(  1.4%)       4143(  1.5%)
