samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	001_Cabdio_morar	247
ClaidentTutorial__Sample01__MiFish	002_Lagocephalus_sceleratus	0
ClaidentTutorial__Sample01__MiFish	003_Hypoptopoma_incognitum	246
ClaidentTutorial__Sample01__MiFish	004_Etrumeus_micropus	242
ClaidentTutorial__Sample01__MiFish	005_Rhodeus_lighti	0
ClaidentTutorial__Sample01__MiFish	006_Ictalurus_furcatus	0
ClaidentTutorial__Sample01__MiFish	007_Oreonectes_daqikongensis	0
ClaidentTutorial__Sample01__MiFish	008_Stephanolepis_cirrhifer	0
ClaidentTutorial__Sample01__MiFish	009_Centropyge_deborae	0
ClaidentTutorial__Sample01__MiFish	010_Pachypanchax_playfairii	0
ClaidentTutorial__Sample01__MiFish	011_Johnius_borneensis	250
ClaidentTutorial__Sample01__MiFish	012_Oryzias_minutillus	0
ClaidentTutorial__Sample01__MiFish	013_Nemipterus_bathybius	0
ClaidentTutorial__Sample01__MiFish	014_Pungitius_sinensis	0
ClaidentTutorial__Sample01__MiFish	015_Osteobrama_belangeri	0
ClaidentTutorial__Sample01__MiFish	016_Rasbora_sumatrana	0
ClaidentTutorial__Sample01__MiFish	017_Scopelogadus_mizolepis	249
ClaidentTutorial__Sample01__MiFish	018_Carinotetraodon_lorteti	0
ClaidentTutorial__Sample01__MiFish	019_Gobiomorus_maculatus	0
ClaidentTutorial__Sample01__MiFish	020_Pseudolabrus_eoethinus	0
ClaidentTutorial__Sample01__MiFish	021_unidentified_Naso	0
ClaidentTutorial__Sample01__MiFish	022_Trixiphichthys_weberi	249
ClaidentTutorial__Sample01__MiFish	023_Solea_ovata	0
ClaidentTutorial__Sample01__MiFish	024_Astronotus_ocellatus	0
ClaidentTutorial__Sample01__MiFish	025_Opsariichthys_bidens	0
ClaidentTutorial__Sample01__MiFish	026_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample01__MiFish	027_unidentified_Elops	250
ClaidentTutorial__Sample01__MiFish	028_unidentified_Anguilla	248
ClaidentTutorial__Sample01__MiFish	029_Ellopostoma_mystax	248
