samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	01_Tetraodontidae	246
ClaidentTutorial__Sample01__MiFish	02_Labridae	0
ClaidentTutorial__Sample01__MiFish	03_Danionidae	247
ClaidentTutorial__Sample01__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample01__MiFish	05_Cyprinidae	0
ClaidentTutorial__Sample01__MiFish	06_Nothobranchiidae	245
ClaidentTutorial__Sample01__MiFish	07_Sciaenidae	250
ClaidentTutorial__Sample01__MiFish	08_Cichlidae	241
ClaidentTutorial__Sample01__MiFish	09_Kyphosidae	494
ClaidentTutorial__Sample01__MiFish	10_Adrianichthyidae	0
ClaidentTutorial__Sample01__MiFish	11_Eleotridae	0
ClaidentTutorial__Sample01__MiFish	12_Loricariidae	246
ClaidentTutorial__Sample01__MiFish	13_Engraulidae	0
ClaidentTutorial__Sample01__MiFish	14_Soleidae	247
ClaidentTutorial__Sample01__MiFish	15_Clupeidae	745
ClaidentTutorial__Sample01__MiFish	16_Gobiidae	246
ClaidentTutorial__Sample01__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample01__MiFish	18_Dussumieriidae	242
ClaidentTutorial__Sample01__MiFish	19_Monacanthidae	0
ClaidentTutorial__Sample01__MiFish	20_Xenocyprididae	0
ClaidentTutorial__Sample01__MiFish	21_Ictaluridae	0
ClaidentTutorial__Sample01__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample01__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample01__MiFish	24_Aplocheilidae	0
ClaidentTutorial__Sample01__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample01__MiFish	26_Callionymidae	0
ClaidentTutorial__Sample01__MiFish	27_Bothidae	484
ClaidentTutorial__Sample01__MiFish	28_Melamphaidae	249
ClaidentTutorial__Sample01__MiFish	29_Acanthuridae	0
ClaidentTutorial__Sample01__MiFish	30_Triacanthidae	249
ClaidentTutorial__Sample01__MiFish	31_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample01__MiFish	32_Elopidae	250
ClaidentTutorial__Sample01__MiFish	33_Anguillidae	248
ClaidentTutorial__Sample01__MiFish	34_Ellopostomatidae	248
ClaidentTutorial__Sample01__MiFish	35_Cynoglossidae	0
ClaidentTutorial__Sample01__MiFish	36_Echeneidae	0
ClaidentTutorial__Sample01__MiFish	37_Molidae	0
ClaidentTutorial__Sample01__MiFish	38_Bagridae	0
ClaidentTutorial__Sample01__MiFish	39_Nototheniidae	250
ClaidentTutorial__Sample01__MiFish	40_Retropinnidae	249
ClaidentTutorial__Sample01__MiFish	41_Chilodontidae	0
ClaidentTutorial__Sample01__MiFish	42_Paralichthyidae	243
ClaidentTutorial__Sample01__MiFish	43_Synodontidae	0
ClaidentTutorial__Sample01__MiFish	44_Dactylopteridae	0
ClaidentTutorial__Sample01__MiFish	45_Indostomidae	0
ClaidentTutorial__Sample01__MiFish	46_Stromateidae	0
ClaidentTutorial__Sample01__MiFish	47_Rivulidae	0
ClaidentTutorial__Sample01__MiFish	48_Osphronemidae	0
ClaidentTutorial__Sample01__MiFish	49_Muraenidae	248
ClaidentTutorial__Sample01__MiFish	50_Galaxiidae	0
ClaidentTutorial__Sample01__MiFish	51_others	6149
ClaidentTutorial__Sample02__MiFish	01_Tetraodontidae	243
ClaidentTutorial__Sample02__MiFish	02_Labridae	0
ClaidentTutorial__Sample02__MiFish	03_Danionidae	247
ClaidentTutorial__Sample02__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample02__MiFish	05_Cyprinidae	0
ClaidentTutorial__Sample02__MiFish	06_Nothobranchiidae	494
ClaidentTutorial__Sample02__MiFish	07_Sciaenidae	247
ClaidentTutorial__Sample02__MiFish	08_Cichlidae	0
ClaidentTutorial__Sample02__MiFish	09_Kyphosidae	492
ClaidentTutorial__Sample02__MiFish	10_Adrianichthyidae	247
ClaidentTutorial__Sample02__MiFish	11_Eleotridae	247
ClaidentTutorial__Sample02__MiFish	12_Loricariidae	247
ClaidentTutorial__Sample02__MiFish	13_Engraulidae	0
ClaidentTutorial__Sample02__MiFish	14_Soleidae	492
ClaidentTutorial__Sample02__MiFish	15_Clupeidae	493
ClaidentTutorial__Sample02__MiFish	16_Gobiidae	493
ClaidentTutorial__Sample02__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample02__MiFish	18_Dussumieriidae	249
ClaidentTutorial__Sample02__MiFish	19_Monacanthidae	0
ClaidentTutorial__Sample02__MiFish	20_Xenocyprididae	0
ClaidentTutorial__Sample02__MiFish	21_Ictaluridae	0
ClaidentTutorial__Sample02__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample02__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample02__MiFish	24_Aplocheilidae	0
ClaidentTutorial__Sample02__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample02__MiFish	26_Callionymidae	0
ClaidentTutorial__Sample02__MiFish	27_Bothidae	490
ClaidentTutorial__Sample02__MiFish	28_Melamphaidae	249
ClaidentTutorial__Sample02__MiFish	29_Acanthuridae	0
ClaidentTutorial__Sample02__MiFish	30_Triacanthidae	247
ClaidentTutorial__Sample02__MiFish	31_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample02__MiFish	32_Elopidae	247
ClaidentTutorial__Sample02__MiFish	33_Anguillidae	249
ClaidentTutorial__Sample02__MiFish	34_Ellopostomatidae	247
ClaidentTutorial__Sample02__MiFish	35_Cynoglossidae	0
ClaidentTutorial__Sample02__MiFish	36_Echeneidae	0
ClaidentTutorial__Sample02__MiFish	37_Molidae	0
ClaidentTutorial__Sample02__MiFish	38_Bagridae	244
ClaidentTutorial__Sample02__MiFish	39_Nototheniidae	247
ClaidentTutorial__Sample02__MiFish	40_Retropinnidae	249
ClaidentTutorial__Sample02__MiFish	41_Chilodontidae	0
ClaidentTutorial__Sample02__MiFish	42_Paralichthyidae	0
ClaidentTutorial__Sample02__MiFish	43_Synodontidae	0
ClaidentTutorial__Sample02__MiFish	44_Dactylopteridae	0
ClaidentTutorial__Sample02__MiFish	45_Indostomidae	0
ClaidentTutorial__Sample02__MiFish	46_Stromateidae	0
ClaidentTutorial__Sample02__MiFish	47_Rivulidae	0
ClaidentTutorial__Sample02__MiFish	48_Osphronemidae	0
ClaidentTutorial__Sample02__MiFish	49_Muraenidae	241
ClaidentTutorial__Sample02__MiFish	50_Galaxiidae	245
ClaidentTutorial__Sample02__MiFish	51_others	5168
ClaidentTutorial__Sample03__MiFish	01_Tetraodontidae	0
ClaidentTutorial__Sample03__MiFish	02_Labridae	0
ClaidentTutorial__Sample03__MiFish	03_Danionidae	249
ClaidentTutorial__Sample03__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample03__MiFish	05_Cyprinidae	0
ClaidentTutorial__Sample03__MiFish	06_Nothobranchiidae	247
ClaidentTutorial__Sample03__MiFish	07_Sciaenidae	245
ClaidentTutorial__Sample03__MiFish	08_Cichlidae	0
ClaidentTutorial__Sample03__MiFish	09_Kyphosidae	490
ClaidentTutorial__Sample03__MiFish	10_Adrianichthyidae	248
ClaidentTutorial__Sample03__MiFish	11_Eleotridae	244
ClaidentTutorial__Sample03__MiFish	12_Loricariidae	253
ClaidentTutorial__Sample03__MiFish	13_Engraulidae	247
ClaidentTutorial__Sample03__MiFish	14_Soleidae	494
ClaidentTutorial__Sample03__MiFish	15_Clupeidae	0
ClaidentTutorial__Sample03__MiFish	16_Gobiidae	493
ClaidentTutorial__Sample03__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample03__MiFish	18_Dussumieriidae	251
ClaidentTutorial__Sample03__MiFish	19_Monacanthidae	248
ClaidentTutorial__Sample03__MiFish	20_Xenocyprididae	0
ClaidentTutorial__Sample03__MiFish	21_Ictaluridae	0
ClaidentTutorial__Sample03__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample03__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample03__MiFish	24_Aplocheilidae	245
ClaidentTutorial__Sample03__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample03__MiFish	26_Callionymidae	245
ClaidentTutorial__Sample03__MiFish	27_Bothidae	489
ClaidentTutorial__Sample03__MiFish	28_Melamphaidae	246
ClaidentTutorial__Sample03__MiFish	29_Acanthuridae	0
ClaidentTutorial__Sample03__MiFish	30_Triacanthidae	253
ClaidentTutorial__Sample03__MiFish	31_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample03__MiFish	32_Elopidae	249
ClaidentTutorial__Sample03__MiFish	33_Anguillidae	250
ClaidentTutorial__Sample03__MiFish	34_Ellopostomatidae	246
ClaidentTutorial__Sample03__MiFish	35_Cynoglossidae	0
ClaidentTutorial__Sample03__MiFish	36_Echeneidae	0
ClaidentTutorial__Sample03__MiFish	37_Molidae	0
ClaidentTutorial__Sample03__MiFish	38_Bagridae	245
ClaidentTutorial__Sample03__MiFish	39_Nototheniidae	246
ClaidentTutorial__Sample03__MiFish	40_Retropinnidae	248
ClaidentTutorial__Sample03__MiFish	41_Chilodontidae	249
ClaidentTutorial__Sample03__MiFish	42_Paralichthyidae	246
ClaidentTutorial__Sample03__MiFish	43_Synodontidae	0
ClaidentTutorial__Sample03__MiFish	44_Dactylopteridae	0
ClaidentTutorial__Sample03__MiFish	45_Indostomidae	0
ClaidentTutorial__Sample03__MiFish	46_Stromateidae	0
ClaidentTutorial__Sample03__MiFish	47_Rivulidae	0
ClaidentTutorial__Sample03__MiFish	48_Osphronemidae	0
ClaidentTutorial__Sample03__MiFish	49_Muraenidae	247
ClaidentTutorial__Sample03__MiFish	50_Galaxiidae	247
ClaidentTutorial__Sample03__MiFish	51_others	4673
ClaidentTutorial__Sample04__MiFish	01_Tetraodontidae	245
ClaidentTutorial__Sample04__MiFish	02_Labridae	243
ClaidentTutorial__Sample04__MiFish	03_Danionidae	495
ClaidentTutorial__Sample04__MiFish	04_Nemacheilidae	0
ClaidentTutorial__Sample04__MiFish	05_Cyprinidae	248
ClaidentTutorial__Sample04__MiFish	06_Nothobranchiidae	243
ClaidentTutorial__Sample04__MiFish	07_Sciaenidae	250
ClaidentTutorial__Sample04__MiFish	08_Cichlidae	0
ClaidentTutorial__Sample04__MiFish	09_Kyphosidae	495
ClaidentTutorial__Sample04__MiFish	10_Adrianichthyidae	245
ClaidentTutorial__Sample04__MiFish	11_Eleotridae	248
ClaidentTutorial__Sample04__MiFish	12_Loricariidae	248
ClaidentTutorial__Sample04__MiFish	13_Engraulidae	254
ClaidentTutorial__Sample04__MiFish	14_Soleidae	246
ClaidentTutorial__Sample04__MiFish	15_Clupeidae	0
ClaidentTutorial__Sample04__MiFish	16_Gobiidae	0
ClaidentTutorial__Sample04__MiFish	17_Acheilognathidae	0
ClaidentTutorial__Sample04__MiFish	18_Dussumieriidae	242
ClaidentTutorial__Sample04__MiFish	19_Monacanthidae	248
ClaidentTutorial__Sample04__MiFish	20_Xenocyprididae	0
ClaidentTutorial__Sample04__MiFish	21_Ictaluridae	248
ClaidentTutorial__Sample04__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample04__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample04__MiFish	24_Aplocheilidae	251
ClaidentTutorial__Sample04__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample04__MiFish	26_Callionymidae	249
ClaidentTutorial__Sample04__MiFish	27_Bothidae	248
ClaidentTutorial__Sample04__MiFish	28_Melamphaidae	246
ClaidentTutorial__Sample04__MiFish	29_Acanthuridae	0
ClaidentTutorial__Sample04__MiFish	30_Triacanthidae	248
ClaidentTutorial__Sample04__MiFish	31_unidentified_Osteoglossiformes	0
ClaidentTutorial__Sample04__MiFish	32_Elopidae	248
ClaidentTutorial__Sample04__MiFish	33_Anguillidae	248
ClaidentTutorial__Sample04__MiFish	34_Ellopostomatidae	247
ClaidentTutorial__Sample04__MiFish	35_Cynoglossidae	0
ClaidentTutorial__Sample04__MiFish	36_Echeneidae	0
ClaidentTutorial__Sample04__MiFish	37_Molidae	0
ClaidentTutorial__Sample04__MiFish	38_Bagridae	246
ClaidentTutorial__Sample04__MiFish	39_Nototheniidae	246
ClaidentTutorial__Sample04__MiFish	40_Retropinnidae	243
ClaidentTutorial__Sample04__MiFish	41_Chilodontidae	247
ClaidentTutorial__Sample04__MiFish	42_Paralichthyidae	0
ClaidentTutorial__Sample04__MiFish	43_Synodontidae	0
ClaidentTutorial__Sample04__MiFish	44_Dactylopteridae	0
ClaidentTutorial__Sample04__MiFish	45_Indostomidae	0
ClaidentTutorial__Sample04__MiFish	46_Stromateidae	0
ClaidentTutorial__Sample04__MiFish	47_Rivulidae	0
ClaidentTutorial__Sample04__MiFish	48_Osphronemidae	0
ClaidentTutorial__Sample04__MiFish	49_Muraenidae	245
ClaidentTutorial__Sample04__MiFish	50_Galaxiidae	246
ClaidentTutorial__Sample04__MiFish	51_others	4680
ClaidentTutorial__Sample05__MiFish	01_Tetraodontidae	500
ClaidentTutorial__Sample05__MiFish	02_Labridae	490
ClaidentTutorial__Sample05__MiFish	03_Danionidae	495
ClaidentTutorial__Sample05__MiFish	04_Nemacheilidae	246
ClaidentTutorial__Sample05__MiFish	05_Cyprinidae	241
ClaidentTutorial__Sample05__MiFish	06_Nothobranchiidae	252
ClaidentTutorial__Sample05__MiFish	07_Sciaenidae	497
ClaidentTutorial__Sample05__MiFish	08_Cichlidae	0
ClaidentTutorial__Sample05__MiFish	09_Kyphosidae	492
ClaidentTutorial__Sample05__MiFish	10_Adrianichthyidae	247
ClaidentTutorial__Sample05__MiFish	11_Eleotridae	248
ClaidentTutorial__Sample05__MiFish	12_Loricariidae	247
ClaidentTutorial__Sample05__MiFish	13_Engraulidae	248
ClaidentTutorial__Sample05__MiFish	14_Soleidae	247
ClaidentTutorial__Sample05__MiFish	15_Clupeidae	0
ClaidentTutorial__Sample05__MiFish	16_Gobiidae	245
ClaidentTutorial__Sample05__MiFish	17_Acheilognathidae	246
ClaidentTutorial__Sample05__MiFish	18_Dussumieriidae	247
ClaidentTutorial__Sample05__MiFish	19_Monacanthidae	245
ClaidentTutorial__Sample05__MiFish	20_Xenocyprididae	0
ClaidentTutorial__Sample05__MiFish	21_Ictaluridae	247
ClaidentTutorial__Sample05__MiFish	22_Nemipteridae	0
ClaidentTutorial__Sample05__MiFish	23_Pomacanthidae	0
ClaidentTutorial__Sample05__MiFish	24_Aplocheilidae	244
ClaidentTutorial__Sample05__MiFish	25_Gasterosteidae	0
ClaidentTutorial__Sample05__MiFish	26_Callionymidae	246
ClaidentTutorial__Sample05__MiFish	27_Bothidae	248
ClaidentTutorial__Sample05__MiFish	28_Melamphaidae	248
ClaidentTutorial__Sample05__MiFish	29_Acanthuridae	246
ClaidentTutorial__Sample05__MiFish	30_Triacanthidae	245
