unidentified_Siganus	Osphronemus_goramy	Amazonsprattus_scintilla	unidentified_Cobitinae	Xiphophorus_hellerii	Papyrocranus_congoensis	Synodus_variegatus	Pseudaesopia_japonica	Coreoperca_herzi	Nemipterus_bathybius	Rasbora_argyrotaenia	Eleginops_maclovinus	Leptoderma_lubricum	Lycothrissa_crocodilus	Acheilognathus_yamatsutae	Ethmidium_maculatum	Onychostoma_rara	Clinocottus_analis	Stolephorus_commersonnii	Chauliodus_sloani	Barbatula_barbatula	Platydoras_armatulus	Jaydia_lineata	Calotomus_japonicus	Masturus_lanceolatus	Scriptaphyosemion_schmitti	Scriptaphyosemion_bertholdi	Novumbra_hubbsi	Acheilognathus_majusculus	Lepomis_punctatus	Stomias_atriventer	Biwia_zezera	Zenion_japonicum	Pseudolaubuca_engraulis	Orestias_ascotanensis	Geophagus_brasiliensis	Triplophysa_xiangxiensis	Polydactylus_plebeius	Channa_striata	Epigonus_denticulatus	unidentified_Sardinella	Omegophora_armilla	Macrochirichthys_macrochirus	unidentified_Tenualosa	Phenacogrammus_interruptus	Sargocentron_rubrum	Danio_albolineatus	Ehirava_fluviatilis	Pterothrissus_gissu	Enteromius_eburneensis	unidentified_Squalidus	Sinocyclocheilus_altishoulderus	Anoplocapros_lenticularis	Nessorhamphus_ingolfianus	Campostoma_anomalum	Petroscirtes_breviceps	Chelonodontops_patoca	Trichiurus_lepturus	Pegasus_volitans	Dallia_pectoralis	Pseudogobius_fulvicaudus	Peltorhamphus_novaezeelandiae	Oxuderces_dentatus	Gymnothorax_niphostigmus	Xiphophorus_couchianus	Holacanthus_africanus	Sillago_sinica	unidentified_Oneirodes	Etheostoma_caeruleum	Labracinus_cyclophthalmus	Osteochilus_hasseltii	Cosmochilus_harmandi	unidentified_Nocomis	Sardinella_longiceps	Plecoglossus_altivelis	Rhodeus_lighti	Bagre_panamensis	Lactarius_lactarius	Neoachiropsetta_milfordi	Cololabis_saira	Sarcocheilichthys_parvus	Henicorhynchus_siamensis	Gobiobotia_brevibarba	unidentified_Pethia	unidentified_Ariidae	unidentified_Paramonacanthus	Centropyge_multifasciata	Nemichthys_scolopaceus	Vaillantella_maassi	Oxyurichthys_formosanus	Abudefduf_bengalensis	Anoplogaster_cornuta	Psilorhynchus_sucatio	Pangasianodon_gigas	Paralichthys_dentatus	Scomberomorus_niphonius	Homaloptera_ogilviei	Hyporhamphus_sajori	Heterotis_niloticus	Notropis_imeldae	Symphysodon_aequifasciata	Bufoceratias_thele	unidentified_Rhinogobius	Lophiosilurus_alexandri	Brycon_orbignyanus	Opsaridium_ubangiense	Cephalopholis_boenak	Pseudoplatystoma_corruscans	Pristipomoides_multidens	Lepomis_gibbosus	Henicorhynchus_lineatus	unidentified_Ostracion	Cephalopholis_sexmaculata	Ailia_coila	Tampichthys_ipni	Asterorhombus_intermedius	Pennahia_argentata	Acestrorhynchus_sp._NM.2010	Microdevario_nana	unidentified_Scomberomorus	unidentified_Scalicus	Puntigrus_partipentazona	Rhyacichthys_aspro	Xenotoca_eiseni	unidentified_Ditrema	Nematalosa_erebi	Pseudorasbora_elongata	unidentified_Myripristis	unidentified_Acanthaphritis	Pundamilia_nyererei	Gymnomuraena_zebra	unidentified_Ambastaia	Eleotris_oxycephala	Parasinilabeo_assimilis	Eucyclogobius_newberryi	unidentified_Gastromyzontidae	Triplophysa_yarkandensis	Noturus_taylori	unidentified_Balistoidea	Petruichthys_brevis	unidentified_Pseudorasbora	Aphyosemion_kouamense	Squalomugil_nasutus	Dactyloptena_tiltoni	Engraulis_mordax	Haplophryne_mollis	Andinoacara_pulcher	Triplophysa_dorsalis	Neoceratias_spinifer	unidentified_Carangidae	Gonorynchus_abbreviatus	Tridentiger_barbatus	Barilius_bendelisis	Spinachia_spinachia	Myroconger_compressus	Glossanodon_semifasciatus	Scartelaos_gigas	Pangasius_pangasius	Pachypanchax_playfairii	unidentified_Acreichthys	Leiopotherapon_unicolor	Syngnathoides_biaculeatus	Thryssa_hamiltonii	Chalceus_macrolepidotus	Copadichromis_trimaculatus	Trigonostigma_espei	unidentified_Lagocephalus	Aldrovandia_affinis	Chaenogobius_gulosus	Priacanthus_tayenus	Plectropomus_areolatus	Eurypegasus_draconis	Enteromius_pobeguini	unidentified_Amblyopinae	Acheilognathus_meridianus	Rhodeus_fangi	Synchiropus_splendidus	Serrivomer_beanii	Paracirrhites_arcatus	Tenualosa_toli	Carapus_bermudensis	Lateolabrax_latus	unidentified_Psettodes	Sillago_japonica	Nannoperca_australis	Helostoma_temminkii	unidentified_Pampus	Lamprogrammus_niger	Latimeria_chalumnae	Gobiobotia_macrocephala	Apeltes_quadracus	Paracheirodon_axelrodi	Paracanthurus_hepatus	unidentified_Schizopygopsinae	Scaphiodonichthys_acanthopterus	Halichoeres_trimaculatus	Doryichthys_boaja	Paralaubuca_typus	Sillago_indica	unidentified_Triglidae	Pampus_chinensis	Labeo_cylindricus	Odontobutis_potamophila	Istigobius_campbelli	Lophiodes_caulinaris	Nothobranchius_thierryi	Pseudogobius_javanicus	Acrocheilus_alutaceus	Hippocampus_mohnikei	Campylomormyrus_compressirostris	Aphyosemion_cyanostictum	Fundulus_diaphanus	Paretroplus_maculatus	unidentified_Sisoridae	Hime_japonica	unidentified_Eleotris	Cranoglanis_bouderius	unidentified_Mystus	Chrosomus_erythrogaster	Pseudohomaloptera_leonardi
ClaidentTutorial__Sample01__MiFish	3	0	1	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	3	0	0	4	2	6	0	0	0	4	0	0	2	0	2	0	6	0	1	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	3	1	3	0	3	1	0	0	0	0	0	0	0	0	0	5	6	0	0	2	0	0	0	0	2	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0
ClaidentTutorial__Sample02__MiFish	1	9	2	0	0	3	0	0	3	0	0	0	0	0	2	0	3	0	0	0	2	5	0	0	0	1	2	2	3	0	2	0	0	5	0	4	0	2	0	3	5	0	3	0	0	0	0	0	0	2	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	3	1	2	0	5	3	0	0	0	0	0	0	0	0	0	4	5	0	0	6	0	0	0	0	0	0	0	4	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	2	1	5	0	0	3	0	3	2	0	0	0	0	0	2	0	3	0	0	3	2	3	0	0	2	4	3	3	1	0	6	0	0	4	0	6	0	4	0	2	1	5	3	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	3	0	4	0	3	3	1	0	0	0	0	0	0	0	0	4	1	0	3	1	0	0	0	0	1	0	0	4	0	2	5	0	0	4	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	6	3	0	0	0	0	1	4	3	0	0	0	0	0	5	2	4	0	0	2	7	2	0	0	0	2	4	5	1	0	2	0	0	4	0	3	0	2	0	3	6	0	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	2	3	1	0	5	3	3	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	2	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	1	3	4	0	0	0	1	3	8	0	0	0	0	0	6	5	6	0	0	0	3	3	0	0	0	5	0	4	3	0	3	0	0	2	0	3	0	3	0	2	0	0	2	0	0	0	0	0	7	5	0	0	1	0	2	0	0	0	0	0	2	0	0	0	6	4	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	2	4	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	5	3	4	5	6	0	4	2	3	0	0	0	0	0	1	1	3	0	0	3	2	2	0	0	0	6	0	2	0	0	5	4	0	0	0	6	6	0	0	6	4	2	4	0	0	0	0	0	4	2	0	0	3	0	4	0	0	2	0	0	3	0	0	0	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	2	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	3	6	7	3	5	0	3	3	1	4	2	0	0	0	1	2	1	0	0	5	4	5	0	0	0	2	0	5	1	0	2	3	3	2	0	7	1	1	0	6	4	0	3	0	0	0	0	0	0	2	0	0	0	3	4	0	0	4	0	3	5	0	0	0	3	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	2	3	2	2	1	1	6	4	4	4	3	0	0	0	1	4	3	5	0	4	3	4	0	0	0	3	0	6	3	2	2	5	3	6	0	4	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	4	0	1	2	2	0	0	4	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	6	1	3	2	2	2	1	2	3	5	2	5	3	6	5	1	1	3	0	2	5	1	4	0	0	5	0	1	5	1	3	2	6	2	0	0	1	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	5	1	2	0	0	1	0	1	3	2	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	1	6	5	3	1	5	2	5	4	0	5	3	4	1	4	3	6	1	3	3	4	0	3	0	0	5	0	2	4	6	0	1	3	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	2	1	5	0	0	2	0	2	0	2	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
