unidentified_Gastromyzontidae	Canthophrys_gongota	Sardina_pilchardus	Jaydia_lineata	unidentified_Amblyopinae	Symphysodon_aequifasciata	Paraconger_notialis	Odontobutis_haifengensis	unidentified_Osteoglossiformes	unidentified_Acanthaphritis	Pagellus_bogaraveo	Onychostoma_meridionale	Diplacanthopoma_brachysoma	Eumegistus_illustris	Megalops_atlanticus	Ponticola_kessleri	Cynoglossus_abbreviatus	Heniochus_diphreutes	Hyporhamphus_limbatus	unidentified_Homatula	Scolopsis_ciliata	unidentified_Oreochromini	unidentified_Sphyraena	Pristipomoides_multidens	Polyacanthonotus_rissoanus	Amblydoras_gonzalezi	Rastrelliger_brachysoma	Micropterus_dolomieu	Facciolella_oxyrhyncha	Acanthocepola_krusensternii	Dallia_pectoralis	Solea_senegalensis	Rasbora_sumatrana	Squalomugil_nasutus	Etheostoma_trisella	Eleutheronema_tetradactylum	Luciogobius_elongatus	unidentified_Pampus	unidentified_Channa	Eigenmannia_sp._CBM.ZF.10620	Eugnathogobius_polylepis	Acestrorhynchus_sp._NM.2010	Cephalopholis_argus	unidentified_Mastacembelidae	Chaetobranchopsis_bitaeniatus	Elassoma_evergladei	Latimeria_chalumnae	Bolbometopon_muricatum	Coilia_reynaldi	Eurypegasus_draconis	Leiodon_cutcutia	Sundasalanx_praecox	Lepidoblepharon_ophthalmolepis	Pantodon_buchholzi	Polymixia_japonica	Parazen_pacificus	Bhavania_australis	Sabanejewia_radnensis	Paracheirodon_axelrodi	Nothobranchius_kafuensis	Carapus_bermudensis	Microthrissa_congica	Aplocheilus_lineatus	Monocentris_japonicus	Megaleporinus_elongatus	Halichoeres_melanurus	unidentified_Aspasma	Leiopotherapon_unicolor	Halichoeres_hartzfeldii	Aplocheilus_panchax	Conger_japonicus	Paraluteres_prionurus	unidentified_Pethia	Umbra_limi	Monopterus_albus	Enteromius_trimaculatus	unidentified_Trichopodus	Cranoglanis_bouderius	Corydoras_rabauti	Anabas_testudineus	Triplophysa_yarkandensis	Opsariichthys_bidens	Plectropomus_areolatus	Hime_japonica	Pteraclis_aesticola	Bothus_pantherinus	Arripis_trutta	Myctophum_affine	Glossogobius_circumspectus	Doederleinia_berycoides	Hoplolatilus_cuniculus	unidentified_Kyphosus	Zeus_faber	Pseudaesopia_japonica	Xenotoca_eiseni	Acentrogobius_pflaumii	Polyspina_piosae	unidentified_Plotosus	Cirrhitichthys_aprinus	Galaxias_truttaceus	Trachidermus_fasciatus	Procetichthys_kreffti	Psilorhynchus_sucatio	Embiotoca_jacksoni	Esomus_metallicus	Chaunax_abei	Ictalurus_furcatus	Triphoturus_mexicanus	Grammatobothus_polyophthalmus	Amblypharyngodon_mola	unidentified_Anarhichas	Masturus_lanceolatus	Exyrias_puntang	Parachanna_insignis	unidentified_Heterocongrinae	Gymnorhamphichthys_sp._NM.2010	Eleginops_maclovinus	Elagatis_bipinnulata	Astronotus_ocellatus	Syncrossus_beauforti	Heterotis_niloticus	Gymnomuraena_zebra	Cromileptes_altivelis	unidentified_Zebrias	Clypeobarbus_pleuropholis	unidentified_Sciaenidae	unidentified_Callionymidae	unidentified_Pseudorhombus	Vaillantella_maassi	Esox_lucius	Otolithes_ruber	unidentified_Oreoglanis	Stolephorus_insularis	Trixiphichthys_weberi	Malapterurus_electricus	unidentified_Sardinella	Ptychochromoides_katria	Avocettina_infans	Triplophysa_rosa	unidentified_Psenopsis	Galaxias_gollumoides	Hiodon_alosoides	Archiaphyosemion_guineense	Arnoglossus_polyspilus	Rhynchactis_macrothrix	Microcanthus_strigatus	Pervagor_janthinosoma	Chauliodus_sloani	Anyperodon_leucogrammicus	Plectorhinchus_cinctus	Monotaxis_grandoculis	Ichthyborus_ornatus	Percopsis_transmontana	Lophiogobius_ocellicauda	Hemiculter_bleekeri	Channa_micropeltes	Cabdio_morar	Arnoglossus_tenuis	Pythonichthys_microphthalmus	Rhodeus_shitaiensis	Olisthops_cyanomelas	Ehirava_fluviatilis	Eucyclogobius_newberryi	Cottiusculus_nihonkaiensis	unidentified_Helicolenus	Pseudorhombus_dupliciocellatus	Clupea_harengus	Doryrhamphus_japonicus	Hemigrammus_bleheri	Fistularia_commersonii	unidentified_Gerres	Bodianus_oxycephalus	Clupeichthys_perakensis	Stephanolepis_cirrhifer	Rudarius_ercodes	Sillago_asiatica	Protopterus_aethiopicus	Bufoceratias_thele	Gudusia_chapra	Kryptolebias_hermaphroditus	unidentified_Echeneis	Symphurus_orientalis	Horabagrus_brachysoma	Sirembo_imberbis	Rhinichthys_atratulus	Epinephelus_areolatus	unidentified_Characidae	Synodus_variegatus	Acentrogobius_caninus	Anoplocapros_lenticularis	unidentified_Laeops	Mugilogobius_chulae	Danio_rerio	Girella_punctata	Enteromius_fasciolatus	Lepomis_gulosus	Halichoeres_tenuispinis	unidentified_Trachipterus	Etheostoma_caeruleum	unidentified_Lutjanus	Psammoperca_waigiensis	Macrorhamphosodes_uradoi	Minytrema_melanops	Lamprogrammus_niger	Ateleopus_japonicus	Pictichromis_paccagnellae	Leuresthes_tenuis	unidentified_Elops	Hyporhamphus_intermedius
ClaidentTutorial__Sample01__MiFish	4	0	1	0	2	2	0	0	1	0	0	1	0	0	0	0	3	0	4	1	3	9	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	8	0	0	4	0	1	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	5	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	2	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	2	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	2	0	0	2	0	0	0	0	7	0	0	0	5	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	2	0	4	0	2	0	0	0	2	0	2	5	0	0	0	0	4	0	2	1	7	1	0	0	0	7	0	0	4	1	0	0	0	0	0	0	0	8	2	0	0	0	2	0	2	0	0	0	0	0	0	0	5	3	3	0	0	2	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	2	0	0	0	0	0	3	7	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	2	0	2	4	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0
ClaidentTutorial__Sample03__MiFish	4	0	2	0	2	2	3	0	4	0	4	2	0	0	0	0	4	0	6	1	0	5	3	0	0	2	0	0	3	6	0	0	0	0	0	0	0	3	0	0	0	0	4	0	6	0	0	0	0	0	0	0	3	3	1	0	0	3	0	2	5	0	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	4	3	0	0	0	0	4	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	6	4	7	0	0	0	0	0	5	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	3	2	3	6	3	2	1	0	5	0	3	3	0	0	0	0	0	5	1	3	0	1	5	0	0	0	0	0	2	3	0	0	0	0	0	0	0	5	0	0	0	0	3	0	7	0	0	0	0	0	0	0	2	5	1	0	0	2	0	4	3	0	0	0	3	0	3	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	2	4	3	0	0	0	1	3	4	0	0	0	0	3	0	0	0	0	7	4	0	0	0	0	0	0	0	2	0	0	0	0	4	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	5	3	4	2	1	5	3	0	4	2	2	2	5	0	0	3	0	3	2	2	0	2	5	0	0	6	0	0	3	3	0	3	0	0	0	0	0	2	0	0	0	0	3	0	3	0	0	0	0	0	0	0	5	4	2	0	0	2	0	0	4	0	0	2	5	0	3	3	2	0	0	7	0	0	3	0	0	0	0	0	0	0	1	0	5	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	2	6	9	6	5	6	2	0	2	2	3	3	2	0	1	2	0	2	1	4	0	2	5	0	0	4	0	0	2	4	0	4	0	0	0	0	0	2	0	0	0	3	2	7	0	0	0	0	0	0	0	0	2	3	1	0	0	2	0	0	0	0	0	2	3	0	0	4	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	4	1	4	3	3	2	3	1	1	3	5	5	6	0	3	2	2	3	5	2	0	2	3	0	0	4	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	2	5	4	4	0	0	0	0	0	0	0	4	1	0	3	0	0	0	4	0	0	2	0	0	0	0	3	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	1	2	2	4	4	3	4	3	2	3	1	3	5	3	2	2	5	1	0	4	0	3	2	0	0	4	0	0	2	0	0	4	0	0	6	4	0	3	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	2	2	2	3	3	5	2	1	4	4	2	5	5	2	4	5	1	7	0	6	0	1	2	0	2	1	0	0	1	0	0	3	0	0	1	7	0	1	3	0	0	3	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	9	1	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	3	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	3	4	2	3	6	0	1	2	5	4	2	3	2	3	5	5	2	3	6	4	4	5	2	0	1	0	0	0	0	0	0	1	0	0	2	4	0	0	3	0	0	5	0	2	0	0	5	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
