samplename	denoised_100	denoised_131	denoised_156	denoised_199	denoised_095	denoised_066	denoised_038	denoised_126	denoised_132	denoised_047	denoised_003	denoised_104	denoised_176	denoised_027	denoised_092	denoised_210	denoised_167	denoised_198	denoised_091	denoised_057	denoised_135	denoised_039	denoised_077	denoised_146	denoised_214	denoised_044	denoised_107	denoised_143	denoised_208	denoised_015	denoised_119	denoised_040	denoised_189	denoised_085	denoised_074	denoised_050	denoised_006	denoised_020	denoised_173	denoised_160	denoised_024	denoised_209	MiFish_STD_03	denoised_118	denoised_012	denoised_153	denoised_081	denoised_164	denoised_188	denoised_070	denoised_011	denoised_123	denoised_082	denoised_054	denoised_063	denoised_046	denoised_177	denoised_213	denoised_191	denoised_139	denoised_157	denoised_035	denoised_127	denoised_098	denoised_067	denoised_192	denoised_076	denoised_103	denoised_147	denoised_166	denoised_032	denoised_138	denoised_056	denoised_031	denoised_195	denoised_099	denoised_182	denoised_023	denoised_111	denoised_170	denoised_088	denoised_154	denoised_163	denoised_205	denoised_124	denoised_053	denoised_181	denoised_064	denoised_112	denoised_018	denoised_120	denoised_073	denoised_060	denoised_174	denoised_106	denoised_150	denoised_185	denoised_140	denoised_089	denoised_201	denoised_202	denoised_115	denoised_019	denoised_043	denoised_007	denoised_144	denoised_207	denoised_133	denoised_086	denoised_016	denoised_034	denoised_030	denoised_108	denoised_117	denoised_194	denoised_187	denoised_093	denoised_005	denoised_109	denoised_190	denoised_142	denoised_175	denoised_079	denoised_048	denoised_200	denoised_141	denoised_029	denoised_125	denoised_204	denoised_169	denoised_065	denoised_096	denoised_155	denoised_059	denoised_037	denoised_078	denoised_172	denoised_180	denoised_049	denoised_145	denoised_110	denoised_171	denoised_028	denoised_151	denoised_083	denoised_136	denoised_122	denoised_062	denoised_114	denoised_197	denoised_168	denoised_061	denoised_184	denoised_058	denoised_152	denoised_121	denoised_013	denoised_009	denoised_105	denoised_212	denoised_090	denoised_211	denoised_087	denoised_193	denoised_206	denoised_094	MiFish_STD_04-2	denoised_017	denoised_102	denoised_008	MiFish_STD_02	denoised_215	denoised_130	denoised_101	denoised_116	denoised_134	denoised_033	denoised_186	denoised_161	denoised_084	denoised_113	denoised_021	denoised_052	denoised_158	MiFish_STD_01	denoised_022	denoised_036	denoised_183	denoised_051	denoised_128	denoised_068	denoised_097	denoised_014	denoised_162	denoised_010	denoised_071	denoised_149	denoised_045	denoised_080	denoised_072	denoised_178	denoised_196	denoised_203	denoised_055	denoised_159	denoised_137	denoised_025	denoised_129	denoised_069	denoised_165	denoised_041	denoised_148	denoised_075	denoised_179	denoised_042
ClaidentTutorial__Sample02__MiFish	0	0	0	0	0	0	0	0	245	245	253	0	0	0	0	0	0	0	245	0	0	0	0	0	0	247	0	241	0	0	0	0	0	248	0	246	0	0	0	247	0	0	398	0	250	0	0	0	0	0	0	2	0	0	0	248	0	0	0	1	0	247	244	0	245	0	245	247	0	0	249	0	0	0	0	0	0	249	0	0	0	0	0	1	246	0	0	0	0	246	0	248	248	0	243	0	0	0	0	0	0	0	246	0	0	0	0	0	242	249	0	0	244	0	0	1	0	249	0	0	246	245	0	0	0	244	0	0	0	0	0	248	0	0	0	0	0	0	248	0	242	0	0	246	246	0	0	0	0	0	0	247	0	245	0	0	0	248	1	0	0	0	247	0	0	0	790	0	0	0	201	0	0	247	0	248	0	0	248	0	0	0	0	246	98	0	0	0	0	0	246	0	0	0	252	242	0	0	0	2	0	0	0	0	247	2	0	0	0	247	0	0	0	241	0
ClaidentTutorial__Sample06__MiFish	0	0	0	0	0	1	0	0	0	250	249	0	0	248	0	0	0	0	247	242	0	0	0	0	0	246	0	2	0	247	249	0	0	0	0	247	246	248	0	0	0	0	394	0	0	0	0	2	0	244	246	0	0	0	0	0	0	0	0	0	0	248	0	0	245	0	0	0	0	242	247	0	245	247	0	0	0	0	244	0	242	2	0	1	0	0	0	0	0	247	0	247	0	0	0	0	3	246	0	0	0	0	249	0	244	0	0	249	0	246	248	246	0	244	0	1	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	247	0	0	0	0	0	246	0	0	249	0	0	0	0	0	252	0	0	0	0	0	0	0	243	800	248	0	248	200	0	0	0	0	0	248	0	2	0	0	0	0	0	97	0	0	0	0	0	247	247	247	0	248	249	0	0	0	246	0	0	2	0	0	0	0	0	246	0	0	0	244	1	246
ClaidentTutorial__Sample05__MiFish	2	0	0	0	0	0	0	0	0	248	245	0	0	0	0	0	0	0	246	247	0	0	0	0	0	247	0	1	0	244	0	0	0	250	0	246	249	246	0	0	0	0	399	0	248	0	0	0	0	0	248	0	0	0	0	247	0	0	0	0	0	245	0	0	245	0	249	249	0	2	241	0	242	0	0	0	0	243	248	0	0	0	2	0	2	0	0	0	0	244	0	247	0	0	0	246	0	243	0	0	0	0	250	0	0	0	0	247	0	246	249	247	0	0	0	246	0	250	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	247	0	0	0	246	0	0	248	0	0	0	0	0	248	2	0	0	0	0	0	0	243	785	248	0	245	198	0	0	0	0	0	248	0	0	0	0	0	0	0	101	0	0	0	0	0	246	248	247	0	246	246	0	0	0	246	2	0	0	0	0	0	0	0	248	0	0	0	0	0	249
ClaidentTutorial__Sample12__MiFish	241	0	0	0	242	245	247	0	0	0	246	0	0	243	0	0	0	0	0	4	0	249	0	0	0	245	0	0	0	0	0	246	0	0	0	0	246	0	0	0	243	0	392	0	247	0	245	245	0	0	250	0	0	245	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	247	0	0	0	244	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	246	0	0	244	0	249	0	0	0	0	243	250	0	0	0	0	0	0	244	0	247	0	0	0	0	0	0	245	0	0	0	0	0	0	0	244	245	0	0	0	0	0	0	0	0	0	0	248	0	0	245	247	0	243	0	0	0	0	0	0	805	244	0	246	199	0	0	0	0	0	0	0	0	0	0	244	245	0	100	248	247	0	248	0	0	0	243	246	248	0	0	243	0	0	0	0	0	0	0	0	247	0	0	0	246	247	0	0	4
ClaidentTutorial__Sample10__MiFish	249	0	0	0	0	248	248	250	0	0	248	0	0	248	0	0	0	0	0	0	0	243	0	0	0	0	248	0	0	0	0	0	0	2	0	0	252	0	0	0	245	0	393	0	0	0	246	0	0	248	250	241	0	0	0	0	0	0	0	0	0	248	0	0	2	0	1	0	0	0	0	248	0	250	0	0	0	249	0	0	245	0	248	0	0	0	0	245	248	0	0	0	0	246	1	0	0	0	0	0	0	243	244	0	247	0	0	0	3	250	244	248	0	0	0	0	249	247	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	247	0	1	0	0	0	0	0	0	2	0	246	0	248	247	244	246	0	0	0	0	0	0	0	801	246	0	248	197	0	0	0	0	0	0	0	0	246	0	0	248	0	100	246	0	3	0	0	0	1	247	0	242	0	0	0	0	0	0	0	0	0	0	247	246	0	0	0	247	0	0	0	248
ClaidentTutorial__Sample20__MiFish	0	245	2	0	0	0	0	0	0	0	245	247	0	0	0	0	0	0	0	0	0	0	247	249	0	0	0	0	0	248	0	0	1	0	248	0	243	247	0	0	0	0	392	240	0	245	0	0	249	0	0	0	246	0	0	2	247	2	243	0	0	0	0	249	0	1	0	0	244	0	0	0	0	240	0	246	242	0	0	0	0	0	0	0	0	248	0	0	0	243	0	0	246	0	0	0	0	0	245	241	0	0	0	2	247	247	0	0	0	0	0	0	0	0	0	0	0	0	246	247	0	0	0	247	0	0	0	0	0	0	242	0	0	0	243	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	248	0	247	0	250	0	250	0	0	0	244	246	244	0	0	0	794	0	247	0	198	245	0	0	0	0	245	2	0	0	245	248	0	0	98	248	244	0	0	247	0	0	0	0	0	0	245	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	3	0	0
ClaidentTutorial__Sample19__MiFish	0	248	0	0	0	0	0	0	0	0	245	244	0	0	245	0	0	0	0	0	0	0	244	244	0	0	0	0	0	247	0	243	0	0	249	0	245	245	0	0	242	0	391	251	0	249	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	246	0	247	0	0	246	0	245	0	0	247	0	249	0	0	0	0	0	0	0	0	0	245	0	0	0	250	0	0	247	0	0	0	0	0	246	0	0	0	0	0	245	245	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	245	0	0	0	0	0	0	249	0	246	0	246	0	0	0	0	243	0	0	0	0	0	0	0	247	0	0	248	0	0	0	245	0	244	0	0	0	247	0	247	246	0	0	799	0	246	0	197	0	0	0	0	0	246	0	1	248	250	245	0	0	99	247	247	0	0	247	0	0	0	0	0	0	0	0	0	0	0	1	0	245	0	0	0	0	245	0	0	0	0	0	0
ClaidentTutorial__Sample14__MiFish	0	0	245	0	244	0	244	0	0	0	250	0	0	247	0	0	0	0	0	0	245	248	1	0	0	0	0	0	0	247	0	245	0	0	3	0	244	0	0	0	249	0	393	0	243	0	0	0	0	0	242	0	2	241	246	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	243	247	247	0	0	0	0	0	244	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	246	0	0	0	0	0	0	0	0	0	0	0	0	250	0	1	0	0	246	245	0	0	245	0	0	246	0	0	0	243	249	247	0	0	0	0	0	0	245	0	0	246	246	0	0	0	0	0	2	0	1	0	243	242	0	0	0	0	2	0	0	0	797	0	0	244	200	1	246	0	0	0	0	1	0	0	0	244	0	0	99	246	250	0	249	0	0	0	244	0	244	0	0	249	252	0	0	0	0	244	0	0	245	0	0	0	247	0	246	0	0
ClaidentTutorial__Sample18__MiFish	0	246	0	0	3	0	0	0	0	0	245	244	0	0	246	0	0	0	0	0	0	0	249	0	247	0	0	0	0	244	0	253	247	0	241	0	245	248	0	0	245	0	399	248	246	0	0	0	0	0	0	0	245	0	0	248	0	0	0	0	0	0	0	244	0	0	0	0	0	0	245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	247	0	0	0	246	0	0	245	0	0	0	0	0	245	0	0	0	0	247	254	245	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	249	0	0	0	0	0	0	245	0	245	0	245	246	0	0	0	244	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	250	0	0	0	245	0	0	0	0	0	794	0	247	250	198	0	0	0	246	0	249	0	0	249	247	248	0	0	101	0	248	0	0	246	0	0	0	0	0	0	0	244	248	0	0	0	0	245	0	0	0	0	245	0	0	0	0	0	0
ClaidentTutorial__Sample11__MiFish	244	0	0	0	0	250	241	247	0	0	245	0	0	249	0	0	0	1	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	4	0	0	248	0	396	0	248	0	249	0	0	243	248	0	0	245	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	245	0	0	0	244	0	0	0	245	244	0	0	0	0	245	0	0	0	1	0	0	0	0	0	0	0	0	0	0	248	0	250	0	0	0	0	241	0	246	0	0	0	0	245	250	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	248	0	0	0	249	2	0	0	0	249	0	0	0	0	0	0	0	0	0	0	244	0	248	245	244	244	0	0	0	0	0	0	2	794	250	0	250	202	0	0	0	0	0	0	0	0	0	0	249	249	0	99	250	0	0	246	0	2	0	250	245	249	0	0	244	0	0	246	0	0	0	0	0	248	0	0	0	249	0	0	0	251
ClaidentTutorial__Sample01__MiFish	0	0	0	247	0	0	0	0	247	245	247	0	241	0	0	0	0	0	0	0	0	0	0	0	0	248	1	0	244	0	0	0	0	247	0	0	0	0	0	247	0	245	396	0	248	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	249	0	247	0	246	0	0	1	244	0	0	0	0	0	0	251	0	0	0	0	0	243	246	0	243	0	2	247	0	245	244	0	243	0	0	0	0	0	0	0	241	0	0	0	0	0	245	247	0	3	249	0	0	0	0	247	0	0	245	239	0	0	0	246	0	0	0	0	0	247	0	0	0	0	0	0	248	0	247	0	0	249	247	0	0	247	0	242	0	0	0	243	0	0	0	247	0	0	0	0	246	0	246	0	808	0	0	0	196	0	0	247	0	240	0	0	244	0	0	0	0	246	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	246	0	0	0	0	244	0	0	0	2	0
ClaidentTutorial__Sample03__MiFish	0	0	0	0	0	0	0	0	250	250	244	0	0	0	0	244	0	0	248	252	0	0	0	0	0	248	0	250	0	0	0	0	0	243	0	249	245	0	0	0	0	0	404	0	248	0	0	0	0	0	246	0	0	0	0	249	0	0	0	2	0	249	246	0	249	0	246	245	0	2	248	1	251	0	0	0	0	248	0	0	0	0	0	0	246	0	0	0	1	249	0	246	246	0	247	0	0	2	0	0	0	0	248	0	0	0	0	0	249	249	248	0	247	0	0	0	0	246	0	0	246	0	0	0	0	243	0	245	0	0	0	248	0	0	0	0	0	0	247	0	250	0	0	0	246	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	247	0	0	0	805	247	0	0	199	0	0	248	0	247	0	0	0	0	0	0	0	1	100	0	0	1	0	0	247	0	245	0	250	246	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ClaidentTutorial__Sample08__MiFish	0	0	0	0	0	245	0	0	0	0	248	0	0	250	0	0	0	0	0	246	0	244	0	0	0	0	247	2	0	244	247	0	0	0	0	249	0	247	243	0	0	0	398	0	0	0	0	0	0	250	242	246	0	0	0	0	0	0	0	246	247	245	0	0	0	0	0	0	0	0	0	0	246	247	0	0	0	0	0	0	246	0	1	0	0	0	0	0	247	249	0	0	0	0	0	0	0	1	0	0	0	242	249	247	247	0	0	0	2	247	249	246	0	247	0	0	247	247	0	0	0	1	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	2	0	0	0	0	0	0	0	0	0	0	248	0	245	244	1	0	0	0	0	0	247	806	247	0	242	193	0	0	0	0	0	0	0	0	0	0	0	251	0	97	0	0	0	0	0	0	248	248	0	244	246	0	0	0	246	0	0	0	0	0	246	241	243	0	0	0	0	0	0	247
