samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	001_Gobiidae	15017.8104963192
ClaidentTutorial__Sample01__MiFish	002_Clupeidae	14997.6252671574
ClaidentTutorial__Sample01__MiFish	003_Cichlidae	14997.6252671575
ClaidentTutorial__Sample01__MiFish	004_Cyprinidae	4985.75160294467
ClaidentTutorial__Sample01__MiFish	005_Cobitidae	5026.12206126811
ClaidentTutorial__Sample01__MiFish	006_Congridae	0
ClaidentTutorial__Sample01__MiFish	007_Gastromyzontidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	008_Labridae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	009_Danionidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	010_Nemacheilidae	9971.50320588934
ClaidentTutorial__Sample01__MiFish	011_Serranidae	14997.6252671575
ClaidentTutorial__Sample01__MiFish	012_Bramidae	0
ClaidentTutorial__Sample01__MiFish	013_Apogonidae	0
ClaidentTutorial__Sample01__MiFish	014_Soleidae	0
ClaidentTutorial__Sample01__MiFish	015_Umbridae	0
ClaidentTutorial__Sample01__MiFish	016_unidentified_Osteoglossiformes	4925.19591545951
ClaidentTutorial__Sample01__MiFish	017_Odontobutidae	0
ClaidentTutorial__Sample01__MiFish	018_Bothidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	019_Percophidae	0
ClaidentTutorial__Sample01__MiFish	020_Cynoglossidae	9951.31797672762
ClaidentTutorial__Sample01__MiFish	021_Sparidae	0
ClaidentTutorial__Sample01__MiFish	022_Hemiramphidae	4985.75160294467
ClaidentTutorial__Sample01__MiFish	023_Bythitidae	0
ClaidentTutorial__Sample01__MiFish	024_Megalopidae	0
ClaidentTutorial__Sample01__MiFish	025_Channidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	026_Lutjanidae	0
ClaidentTutorial__Sample01__MiFish	027_Chaetodontidae	0
ClaidentTutorial__Sample01__MiFish	028_Tetraodontidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	029_Nemipteridae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	030_Aplocheilidae	0
ClaidentTutorial__Sample01__MiFish	031_Notacanthidae	0
ClaidentTutorial__Sample01__MiFish	032_Sphyraenidae	0
ClaidentTutorial__Sample01__MiFish	033_Centrarchidae	0
ClaidentTutorial__Sample01__MiFish	034_Engraulidae	0
ClaidentTutorial__Sample01__MiFish	035_Nettastomatidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	036_Scombridae	0
ClaidentTutorial__Sample01__MiFish	037_Doradidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	038_Monacanthidae	0
ClaidentTutorial__Sample01__MiFish	039_Percidae	0
ClaidentTutorial__Sample01__MiFish	040_Cepolidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	041_Characidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	042_Stromateidae	0
ClaidentTutorial__Sample01__MiFish	043_Mugilidae	0
ClaidentTutorial__Sample01__MiFish	044_Ophidiidae	4925.19591545951
ClaidentTutorial__Sample01__MiFish	045_Polynemidae	0
ClaidentTutorial__Sample01__MiFish	046_Nothobranchiidae	5066.49251959155
ClaidentTutorial__Sample01__MiFish	047_Myctophidae	0
ClaidentTutorial__Sample01__MiFish	048_Elassomatidae	0
ClaidentTutorial__Sample01__MiFish	049_Coelacanthidae	0
ClaidentTutorial__Sample01__MiFish	050_Sternopygidae	0
ClaidentTutorial__Sample01__MiFish	051_Acestrorhynchidae	0
ClaidentTutorial__Sample01__MiFish	052_Citharidae	4985.75160294467
ClaidentTutorial__Sample01__MiFish	053_Mastacembelidae	0
ClaidentTutorial__Sample01__MiFish	054_Pantodontidae	0
ClaidentTutorial__Sample01__MiFish	055_Xenocyprididae	0
ClaidentTutorial__Sample01__MiFish	056_Pegasidae	0
ClaidentTutorial__Sample01__MiFish	057_Anostomidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	058_Balitoridae	0
ClaidentTutorial__Sample01__MiFish	059_Galaxiidae	0
ClaidentTutorial__Sample01__MiFish	060_Kyphosidae	0
ClaidentTutorial__Sample01__MiFish	061_Terapontidae	0
ClaidentTutorial__Sample01__MiFish	062_Polymixiidae	5066.49251959155
ClaidentTutorial__Sample01__MiFish	063_Parazenidae	0
ClaidentTutorial__Sample01__MiFish	064_Monocentridae	0
ClaidentTutorial__Sample01__MiFish	065_Gobiesocidae	0
ClaidentTutorial__Sample01__MiFish	066_Sciaenidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	067_Cranoglanididae	0
ClaidentTutorial__Sample01__MiFish	068_Callichthyidae	0
ClaidentTutorial__Sample01__MiFish	069_Aulopidae	4985.75160294467
ClaidentTutorial__Sample01__MiFish	070_Synbranchidae	0
ClaidentTutorial__Sample01__MiFish	071_Anabantidae	0
ClaidentTutorial__Sample01__MiFish	072_Cottidae	9931.1327475659
ClaidentTutorial__Sample01__MiFish	073_Osphronemidae	0
ClaidentTutorial__Sample01__MiFish	074_Arripidae	0
ClaidentTutorial__Sample01__MiFish	075_Paralichthyidae	5066.49251959155
ClaidentTutorial__Sample01__MiFish	076_Cirrhitidae	0
ClaidentTutorial__Sample01__MiFish	077_Plotosidae	0
ClaidentTutorial__Sample01__MiFish	078_Psilorhynchidae	0
ClaidentTutorial__Sample01__MiFish	079_Zeidae	0
ClaidentTutorial__Sample01__MiFish	080_Cetomimidae	0
ClaidentTutorial__Sample01__MiFish	081_Goodeidae	0
ClaidentTutorial__Sample01__MiFish	082_Embiotocidae	0
ClaidentTutorial__Sample01__MiFish	083_Ictaluridae	0
ClaidentTutorial__Sample01__MiFish	084_Chaunacidae	0
ClaidentTutorial__Sample01__MiFish	085_Malacanthidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	086_Molidae	0
ClaidentTutorial__Sample01__MiFish	087_Anarhichadidae	0
ClaidentTutorial__Sample01__MiFish	088_Acropomatidae	4925.19591545951
ClaidentTutorial__Sample01__MiFish	089_Esocidae	0
ClaidentTutorial__Sample01__MiFish	090_Carangidae	0
ClaidentTutorial__Sample01__MiFish	091_Callionymidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	092_Osteoglossidae	0
ClaidentTutorial__Sample01__MiFish	093_Sisoridae	0
ClaidentTutorial__Sample01__MiFish	094_Vaillantellidae	0
ClaidentTutorial__Sample01__MiFish	095_Nemichthyidae	0
ClaidentTutorial__Sample01__MiFish	096_Muraenidae	0
ClaidentTutorial__Sample01__MiFish	097_Eleginopidae	0
ClaidentTutorial__Sample01__MiFish	098_Triacanthidae	0
ClaidentTutorial__Sample01__MiFish	099_Botiidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	100_Malapteruridae	0
ClaidentTutorial__Sample01__MiFish	101_Rhamphichthyidae	0
ClaidentTutorial__Sample01__MiFish	102_Centrolophidae	0
ClaidentTutorial__Sample01__MiFish	103_Gigantactinidae	5026.12206126811
ClaidentTutorial__Sample01__MiFish	104_Heterenchelyidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	105_Odacidae	0
ClaidentTutorial__Sample01__MiFish	106_Haemulidae	0
ClaidentTutorial__Sample01__MiFish	107_Stomiidae	0
ClaidentTutorial__Sample01__MiFish	108_Acheilognathidae	0
ClaidentTutorial__Sample01__MiFish	109_Hiodontidae	0
ClaidentTutorial__Sample01__MiFish	110_Lethrinidae	4905.01068629779
ClaidentTutorial__Sample01__MiFish	111_Citharinidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	112_Percopsidae	0
ClaidentTutorial__Sample01__MiFish	113_Trachipteridae	0
ClaidentTutorial__Sample01__MiFish	114_Aracanidae	0
ClaidentTutorial__Sample01__MiFish	115_Syngnathidae	0
ClaidentTutorial__Sample01__MiFish	116_Echeneidae	0
ClaidentTutorial__Sample01__MiFish	117_Rivulidae	0
ClaidentTutorial__Sample01__MiFish	118_Fistulariidae	0
ClaidentTutorial__Sample01__MiFish	119_Girellidae	0
ClaidentTutorial__Sample01__MiFish	120_Centropomidae	0
ClaidentTutorial__Sample01__MiFish	121_Leuciscidae	0
ClaidentTutorial__Sample01__MiFish	122_Sebastidae	0
ClaidentTutorial__Sample01__MiFish	123_Ateleopodidae	0
ClaidentTutorial__Sample01__MiFish	124_Bagridae	0
