samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209
ClaidentTutorial__Sample01__MiFish	4965.56637378295	0	5106.86297791499	0	5005.93683210639	5026.12206126811	4925.19591545951	0	0	0	0	0	0	4985.75160294467	0	0	4985.75160294467	4985.75160294467	0	4945.38114462123	4985.75160294467	0	5026.12206126811	0	0	5005.93683210639	4945.38114462123	0	0	0	0	5005.93683210639	0	0	0	0	0	0	0	5066.49251959155	0	0	0	4985.75160294467	0	0	0	0	0	4945.38114462123	0	0	0	4965.56637378295	5005.93683210639	0	0	0	0	0	5066.49251959155	5066.49251959155	4925.19591545951	0	5026.12206126811	0	0	0	0	0	0	0	0	0	0	0	4985.75160294467	0	0	4985.75160294467	0	0	0	0	0	0	0	4985.75160294467	5005.93683210639	5026.12206126811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4945.38114462123	0	0	0	4925.19591545951	0	0	0	0	0	5066.49251959155	0	0	5005.93683210639	0	0	0	0	0	4985.75160294467	0	0	0	0	0	4945.38114462123	0	0	0	0	0	0	4945.38114462123	0	0	0	5026.12206126811	0	0	0	4965.56637378295	0	0	0	0	0	0	4945.38114462123	0	0	0	0	4945.38114462123	4905.01068629779	0	0	0	0	5026.12206126811	0	0	0	0	0	0	0	0	0	0	4985.75160294467	0	0	0	0	0	4965.56637378295	0	0	0	0	0	4965.56637378295	0	0	0	0	4965.56637378295	4945.38114462123	4945.38114462123	0	0	0	0	4925.19591545951	0	0	0	0	4905.01068629779	4905.01068629779	0	0	0
ClaidentTutorial__Sample02__MiFish	4970.0455307932	0	5010.78360891445	0	5031.15264797508	5031.15264797508	5031.15264797508	0	0	0	5031.15264797508	0	0	5071.89072609634	0	0	4990.41456985382	5031.15264797508	0	5051.52168703571	4990.41456985382	0	4949.67649173257	0	0	5010.78360891445	5092.25976515696	0	0	0	0	5010.78360891445	0	5010.78360891445	0	0	0	0	0	5051.52168703571	0	0	0	5051.52168703571	0	0	0	0	5051.52168703571	5153.36688233885	0	0	0	5010.78360891445	5051.52168703571	0	0	0	0	0	5010.78360891445	4970.0455307932	4990.41456985382	0	5031.15264797508	0	0	0	0	0	0	5010.78360891445	0	0	0	0	5051.52168703571	0	0	4908.93841361131	0	0	0	0	0	0	0	5071.89072609634	5031.15264797508	5051.52168703571	0	0	5051.52168703571	0	0	0	0	0	0	0	0	0	0	0	0	0	4990.41456985382	0	0	0	4949.67649173257	0	0	0	0	0	5092.25976515696	0	0	5031.15264797508	0	0	0	0	0	5031.15264797508	0	0	0	0	0	4990.41456985382	0	0	0	0	0	4990.41456985382	4949.67649173257	0	0	0	5010.78360891445	0	0	0	5051.52168703571	0	0	0	0	0	0	5010.78360891445	0	0	0	0	4949.67649173257	4990.41456985382	0	4929.30745267194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5010.78360891445	0	0	0	0	0	0	0	0	0	0	0	4990.41456985382	0	0	0	0	0	0	0	0	0	4929.30745267194
ClaidentTutorial__Sample03__MiFish	4892.81061234159	4912.94563543764	5013.62075091792	0	4912.94563543764	4993.48572782187	4953.21568162975	4953.21568162975	0	0	4993.48572782187	0	0	4933.0806585337	0	0	4953.21568162975	4973.35070472581	0	0	5074.02582020609	0	4892.81061234159	4953.21568162975	0	4953.21568162975	4933.0806585337	0	0	0	0	4852.54056614947	0	4953.21568162975	0	0	0	0	0	4973.35070472581	0	0	0	4993.48572782187	0	0	0	0	4953.21568162975	4953.21568162975	0	0	0	0	5053.89079711003	0	0	0	0	0	4872.67558924553	4892.81061234159	5013.62075091792	0	4892.81061234159	4933.0806585337	0	0	0	0	0	4993.48572782187	0	0	0	0	4953.21568162975	0	0	5013.62075091792	0	0	0	0	0	0	0	4973.35070472581	5013.62075091792	4892.81061234159	0	0	4953.21568162975	0	0	4953.21568162975	0	0	0	0	0	0	0	0	0	0	5013.62075091792	0	0	0	4953.21568162975	0	0	0	0	4993.48572782187	4832.40554305342	4973.35070472581	0	4953.21568162975	0	0	0	0	0	4933.0806585337	0	0	0	0	0	4953.21568162975	0	0	0	4953.21568162975	0	4892.81061234159	4812.27051995736	0	0	0	0	5013.62075091792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4953.21568162975	0	0	0	0	4993.48572782187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	5049.70414201183	4989.34911242604	5009.4674556213	4989.34911242604	4949.1124260355	4949.1124260355	4888.7573964497	4969.23076923077	0	0	4888.7573964497	0	0	4949.1124260355	0	0	0	5029.58579881657	5009.4674556213	0	5029.58579881657	0	5049.70414201183	4989.34911242604	0	4949.1124260355	4928.99408284024	0	0	0	0	4989.34911242604	0	4908.87573964497	0	0	0	0	0	5009.4674556213	0	0	0	5009.4674556213	0	0	0	0	4989.34911242604	4949.1124260355	0	0	0	0	4949.1124260355	0	0	0	0	0	4969.23076923077	4949.1124260355	4928.99408284024	0	4928.99408284024	4969.23076923077	0	0	0	0	0	4949.1124260355	0	4908.87573964497	0	4949.1124260355	4969.23076923077	0	4989.34911242604	4989.34911242604	0	0	0	4949.1124260355	0	0	0	4989.34911242604	0	4989.34911242604	0	0	4969.23076923077	0	0	4969.23076923077	0	0	0	0	0	0	0	0	0	0	4888.7573964497	4949.1124260355	0	0	4928.99408284024	0	0	0	0	4969.23076923077	0	5009.4674556213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4949.1124260355	0	0	0	0	0	4949.1124260355	0	0	0	0	4969.23076923077	0	0	0	0	0	0	0	4868.63905325444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4969.23076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	5057.1156592099	5057.1156592099	5077.34412184674	4976.20180866254	5057.1156592099	4996.43027129938	5138.02950975726	5016.65873393622	0	5016.65873393622	5097.57258448358	4875.05949547834	4875.05949547834	4955.9733460257	0	0	0	5036.88719657306	5036.88719657306	0	4996.43027129938	0	5016.65873393622	5057.1156592099	0	5016.65873393622	5036.88719657306	0	0	5016.65873393622	0	4976.20180866254	0	4996.43027129938	0	0	0	0	0	4976.20180866254	0	0	4895.28795811518	4996.43027129938	0	0	0	0	4996.43027129938	4875.05949547834	0	0	0	0	5057.1156592099	0	0	0	0	0	4854.8310328415	0	5016.65873393622	4935.74488338886	4976.20180866254	4976.20180866254	4935.74488338886	0	0	0	0	5016.65873393622	0	5016.65873393622	0	4996.43027129938	4976.20180866254	0	4996.43027129938	5016.65873393622	0	0	0	4976.20180866254	0	0	0	0	0	0	0	0	4976.20180866254	0	0	0	0	0	0	0	0	0	0	5016.65873393622	0	0	0	5016.65873393622	0	0	0	0	0	0	0	4996.43027129938	0	4955.9733460257	0	0	0	0	0	0	0	0	0	0	0	0	4976.20180866254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4996.43027129938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4976.20180866254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	5030.90087948657	5030.90087948657	4970.2876158783	5030.90087948657	5030.90087948657	4970.2876158783	5010.69645828381	4828.856667459	0	4909.67435227003	5030.90087948657	5010.69645828381	4950.08319467554	4970.2876158783	0	5010.69645828381	0	5071.30972189208	4950.08319467554	0	4889.46993106727	0	4990.49203708106	4990.49203708106	0	4990.49203708106	4990.49203708106	0	0	4950.08319467554	0	4990.49203708106	0	5051.10530068933	0	0	0	0	0	5010.69645828381	0	0	4990.49203708106	4950.08319467554	0	0	4990.49203708106	0	4990.49203708106	4950.08319467554	0	0	0	0	5010.69645828381	0	0	0	0	0	5051.10530068933	0	0	4990.49203708106	4950.08319467554	4970.2876158783	5010.69645828381	0	0	0	0	5010.69645828381	0	0	0	5010.69645828381	0	0	0	0	0	0	0	4970.2876158783	0	0	4990.49203708106	0	0	0	0	0	0	0	0	0	0	0	4990.49203708106	0	0	0	4970.2876158783	4970.2876158783	5010.69645828381	0	0	4869.26550986451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4909.67435227003	0	0	4909.67435227003	0	0	0	0	0	0	0	0	0	0	4990.49203708106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5010.69645828381	0	0	0	0	0	0	5010.69645828381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	5069.46107784431	5008.38323353293	5028.74251497006	5028.74251497006	5171.25748502994	4947.30538922156	4967.66467065868	5049.10179640719	5069.46107784431	5028.74251497006	5089.82035928144	5028.74251497006	5049.10179640719	5069.46107784431	5049.10179640719	5008.38323353293	5069.46107784431	5049.10179640719	5110.17964071856	0	5008.38323353293	0	5028.74251497006	5008.38323353293	0	5008.38323353293	5089.82035928144	0	0	4988.02395209581	0	0	0	5008.38323353293	0	0	0	0	0	4967.66467065868	0	0	5008.38323353293	4988.02395209581	0	0	5008.38323353293	0	4988.02395209581	5069.46107784431	0	0	0	0	0	0	0	0	5028.74251497006	0	0	4967.66467065868	0	4947.30538922156	0	0	0	5069.46107784431	0	0	0	0	0	0	0	4988.02395209581	0	0	0	0	0	5069.46107784431	0	4947.30538922156	0	0	4906.5868263473	0	0	0	0	0	0	0	0	0	4947.30538922156	0	4988.02395209581	0	0	0	4988.02395209581	0	4988.02395209581	0	0	5028.74251497006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5049.10179640719	0	0	4988.02395209581	0	0	0	0	0	0	0	0	0	0	5049.10179640719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5008.38323353293	0	0	0	0	0	0	0	0	0	0	0	4988.02395209581	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	5062.63294729378	4922.0042543134	4962.18388087922	4982.27369416214	4901.91444103049	5002.36350744505	4881.82462774758	4962.18388087922	4942.09406759631	4841.64500118175	5022.45332072796	5042.54313401087	5022.45332072796	4901.91444103049	4942.09406759631	4942.09406759631	4942.09406759631	0	4962.18388087922	0	4942.09406759631	0	4982.27369416214	4922.0042543134	0	5062.63294729378	4962.18388087922	0	0	4982.27369416214	0	0	0	4881.82462774758	0	0	4982.27369416214	4962.18388087922	0	0	0	0	4942.09406759631	0	0	0	4881.82462774758	0	0	0	0	0	0	0	0	0	0	0	4962.18388087922	0	0	4982.27369416214	0	5022.45332072796	0	0	0	4922.0042543134	4962.18388087922	0	0	0	0	0	0	4982.27369416214	0	0	0	0	0	4962.18388087922	0	4901.91444103049	0	0	4861.73481446467	0	0	0	0	0	0	0	0	0	4982.27369416214	0	4942.09406759631	0	4922.0042543134	0	5002.36350744505	0	4922.0042543134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4962.18388087922	4922.0042543134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4901.91444103049	0	4942.09406759631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4982.27369416214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4922.0042543134	0	0	0	0	0	0	4901.91444103049	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	5054.10869306695	5013.67582352242	4953.02651920561	5013.67582352242	4953.02651920561	4953.02651920561	4993.45938875015	5013.67582352242	4912.59364966108	5074.32512783922	4993.45938875015	5013.67582352242	5054.10869306695	5054.10869306695	5013.67582352242	5033.89225829468	4851.94434534427	0	4953.02651920561	0	4932.81008443335	0	5074.32512783922	5013.67582352242	4953.02651920561	5074.32512783922	5013.67582352242	0	0	4993.45938875015	0	0	0	5175.40730170056	0	0	4973.24295397788	4912.59364966108	0	0	0	0	5074.32512783922	0	5013.67582352242	0	5033.89225829468	0	0	0	0	0	0	4953.02651920561	0	0	0	0	0	0	0	0	0	4932.81008443335	0	0	0	0	4993.45938875015	0	0	0	0	0	4953.02651920561	0	0	0	0	0	0	4973.24295397788	0	0	0	0	4953.02651920561	0	0	0	0	0	0	0	0	0	4953.02651920561	0	4953.02651920561	0	5033.89225829468	0	4892.37721488881	0	4932.81008443335	0	0	0	4932.81008443335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5033.89225829468	0	0	0	0	4993.45938875015	0	0	0	0	4973.24295397788	0	0	0	0	0	0	4993.45938875015	0	0	0	0	0	0	0	0	4973.24295397788	0	0	0	4953.02651920561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4993.45938875015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	4944.57027059244	5066.1580641316	5005.36416736202	5025.62879961855	4964.83490284897	5045.89343187508	5086.42269638813	5025.62879961855	4924.30563833592	5045.89343187508	5005.36416736202	5005.36416736202	4964.83490284897	4964.83490284897	5045.89343187508	4944.57027059244	4924.30563833592	5005.36416736202	5005.36416736202	4964.83490284897	4944.57027059244	0	4985.0995351055	5025.62879961855	5025.62879961855	0	0	0	0	5045.89343187508	0	0	0	0	0	0	5005.36416736202	4924.30563833592	0	0	0	5025.62879961855	5045.89343187508	0	4985.0995351055	0	5025.62879961855	0	0	0	5005.36416736202	0	0	5025.62879961855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5025.62879961855	0	0	0	0	0	5045.89343187508	0	0	0	0	0	0	4985.0995351055	0	0	0	0	4964.83490284897	0	4985.0995351055	0	0	0	0	0	0	4944.57027059244	5025.62879961855	0	0	0	5005.36416736202	0	0	0	0	4904.04100607939	0	0	4985.0995351055	0	0	4964.83490284897	0	0	0	0	0	0	0	0	0	0	0	0	4924.30563833592	0	0	0	0	4964.83490284897	0	0	0	0	4944.57027059244	0	0	0	0	0	0	5025.62879961855	0	0	0	0	0	0	0	5005.36416736202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5025.62879961855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
