samplename	MiFish_STD_01_10copies	MiFish_STD_02_20copies	MiFish_STD_03_40copies	MiFish_STD_04-2_80copies
ClaidentTutorial__Sample01__MiFish	98	198	392	795
ClaidentTutorial__Sample02__MiFish	100	197	391	786
ClaidentTutorial__Sample03__MiFish	99	198	397	795
ClaidentTutorial__Sample04__MiFish	100	199	400	794
ClaidentTutorial__Sample05__MiFish	96	198	394	792
ClaidentTutorial__Sample06__MiFish	98	198	394	793
ClaidentTutorial__Sample07__MiFish	100	199	401	781
ClaidentTutorial__Sample08__MiFish	100	197	400	796
ClaidentTutorial__Sample09__MiFish	101	196	393	793
ClaidentTutorial__Sample10__MiFish	97	198	396	789
ClaidentTutorial__Sample11__MiFish	99	197	392	795
ClaidentTutorial__Sample12__MiFish	99	199	394	782
ClaidentTutorial__Sample13__MiFish	97	195	393	794
ClaidentTutorial__Sample14__MiFish	101	199	392	784
ClaidentTutorial__Sample15__MiFish	100	199	392	792
ClaidentTutorial__Sample16__MiFish	101	199	398	789
ClaidentTutorial__Sample17__MiFish	98	197	395	790
ClaidentTutorial__Sample18__MiFish	100	200	394	789
ClaidentTutorial__Sample19__MiFish	100	202	402	790
ClaidentTutorial__Sample20__MiFish	98	198	398	788
