samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	01_Gobiidae	15017.8104963192
ClaidentTutorial__Sample01__MiFish	02_Clupeidae	14997.6252671574
ClaidentTutorial__Sample01__MiFish	03_Cichlidae	14997.6252671575
ClaidentTutorial__Sample01__MiFish	04_Cyprinidae	4985.75160294467
ClaidentTutorial__Sample01__MiFish	05_Cobitidae	5026.12206126811
ClaidentTutorial__Sample01__MiFish	06_Congridae	0
ClaidentTutorial__Sample01__MiFish	07_Gastromyzontidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	08_Labridae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	09_Danionidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	10_Nemacheilidae	9971.50320588934
ClaidentTutorial__Sample01__MiFish	11_Serranidae	14997.6252671575
ClaidentTutorial__Sample01__MiFish	12_Bramidae	0
ClaidentTutorial__Sample01__MiFish	13_Apogonidae	0
ClaidentTutorial__Sample01__MiFish	14_Soleidae	0
ClaidentTutorial__Sample01__MiFish	15_Umbridae	0
ClaidentTutorial__Sample01__MiFish	16_Odontobutidae	0
ClaidentTutorial__Sample01__MiFish	17_unidentified_Osteoglossiformes	4925.19591545951
ClaidentTutorial__Sample01__MiFish	18_Bothidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	19_Percophidae	0
ClaidentTutorial__Sample01__MiFish	20_Cynoglossidae	9951.31797672762
ClaidentTutorial__Sample01__MiFish	21_Sparidae	0
ClaidentTutorial__Sample01__MiFish	22_Hemiramphidae	4985.75160294467
ClaidentTutorial__Sample01__MiFish	23_Bythitidae	0
ClaidentTutorial__Sample01__MiFish	24_Megalopidae	0
ClaidentTutorial__Sample01__MiFish	25_Channidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	26_Lutjanidae	0
ClaidentTutorial__Sample01__MiFish	27_Chaetodontidae	0
ClaidentTutorial__Sample01__MiFish	28_Tetraodontidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	29_Nemipteridae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	30_Aplocheilidae	0
ClaidentTutorial__Sample01__MiFish	31_Notacanthidae	0
ClaidentTutorial__Sample01__MiFish	32_Sphyraenidae	0
ClaidentTutorial__Sample01__MiFish	33_Centrarchidae	0
ClaidentTutorial__Sample01__MiFish	34_Engraulidae	0
ClaidentTutorial__Sample01__MiFish	35_Nettastomatidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	36_Scombridae	0
ClaidentTutorial__Sample01__MiFish	37_Doradidae	4945.38114462123
ClaidentTutorial__Sample01__MiFish	38_Cepolidae	5005.93683210639
ClaidentTutorial__Sample01__MiFish	39_Monacanthidae	0
ClaidentTutorial__Sample01__MiFish	40_Percidae	0
ClaidentTutorial__Sample01__MiFish	41_Characidae	4965.56637378295
ClaidentTutorial__Sample01__MiFish	42_Stromateidae	0
ClaidentTutorial__Sample01__MiFish	43_Mugilidae	0
ClaidentTutorial__Sample01__MiFish	44_Polynemidae	0
ClaidentTutorial__Sample01__MiFish	45_Ophidiidae	4925.19591545951
ClaidentTutorial__Sample01__MiFish	46_Nothobranchiidae	5066.49251959155
ClaidentTutorial__Sample01__MiFish	47_Myctophidae	0
ClaidentTutorial__Sample01__MiFish	48_Elassomatidae	0
ClaidentTutorial__Sample01__MiFish	49_Coelacanthidae	0
ClaidentTutorial__Sample01__MiFish	50_Sternopygidae	0
ClaidentTutorial__Sample01__MiFish	51_others	84576.1101876039
ClaidentTutorial__Sample02__MiFish	01_Gobiidae	15032.3508267434
ClaidentTutorial__Sample02__MiFish	02_Clupeidae	5010.78360891445
ClaidentTutorial__Sample02__MiFish	03_Cichlidae	15134.1960220465
ClaidentTutorial__Sample02__MiFish	04_Cyprinidae	5071.89072609634
ClaidentTutorial__Sample02__MiFish	05_Cobitidae	5031.15264797508
ClaidentTutorial__Sample02__MiFish	06_Congridae	4990.41456985382
ClaidentTutorial__Sample02__MiFish	07_Gastromyzontidae	4970.0455307932
ClaidentTutorial__Sample02__MiFish	08_Labridae	5010.78360891445
ClaidentTutorial__Sample02__MiFish	09_Danionidae	0
ClaidentTutorial__Sample02__MiFish	10_Nemacheilidae	10021.5672178289
ClaidentTutorial__Sample02__MiFish	11_Serranidae	14971.2437095615
ClaidentTutorial__Sample02__MiFish	12_Bramidae	0
ClaidentTutorial__Sample02__MiFish	13_Apogonidae	0
ClaidentTutorial__Sample02__MiFish	14_Soleidae	0
ClaidentTutorial__Sample02__MiFish	15_Umbridae	0
ClaidentTutorial__Sample02__MiFish	16_Odontobutidae	0
ClaidentTutorial__Sample02__MiFish	17_unidentified_Osteoglossiformes	5031.15264797508
ClaidentTutorial__Sample02__MiFish	18_Bothidae	0
ClaidentTutorial__Sample02__MiFish	19_Percophidae	0
ClaidentTutorial__Sample02__MiFish	20_Cynoglossidae	4990.41456985382
ClaidentTutorial__Sample02__MiFish	21_Sparidae	5031.15264797508
ClaidentTutorial__Sample02__MiFish	22_Hemiramphidae	5031.15264797508
ClaidentTutorial__Sample02__MiFish	23_Bythitidae	0
ClaidentTutorial__Sample02__MiFish	24_Megalopidae	0
ClaidentTutorial__Sample02__MiFish	25_Channidae	9940.09106158639
ClaidentTutorial__Sample02__MiFish	26_Lutjanidae	0
ClaidentTutorial__Sample02__MiFish	27_Chaetodontidae	0
ClaidentTutorial__Sample02__MiFish	28_Tetraodontidae	5031.15264797508
ClaidentTutorial__Sample02__MiFish	29_Nemipteridae	5051.52168703571
ClaidentTutorial__Sample02__MiFish	30_Aplocheilidae	0
ClaidentTutorial__Sample02__MiFish	31_Notacanthidae	0
ClaidentTutorial__Sample02__MiFish	32_Sphyraenidae	0
ClaidentTutorial__Sample02__MiFish	33_Centrarchidae	5010.78360891445
ClaidentTutorial__Sample02__MiFish	34_Engraulidae	0
ClaidentTutorial__Sample02__MiFish	35_Nettastomatidae	5010.78360891445
ClaidentTutorial__Sample02__MiFish	36_Scombridae	0
ClaidentTutorial__Sample02__MiFish	37_Doradidae	5092.25976515696
ClaidentTutorial__Sample02__MiFish	38_Cepolidae	5010.78360891445
ClaidentTutorial__Sample02__MiFish	39_Monacanthidae	0
ClaidentTutorial__Sample02__MiFish	40_Percidae	0
ClaidentTutorial__Sample02__MiFish	41_Characidae	0
ClaidentTutorial__Sample02__MiFish	42_Stromateidae	5010.78360891445
ClaidentTutorial__Sample02__MiFish	43_Mugilidae	0
ClaidentTutorial__Sample02__MiFish	44_Polynemidae	0
ClaidentTutorial__Sample02__MiFish	45_Ophidiidae	4990.41456985382
ClaidentTutorial__Sample02__MiFish	46_Nothobranchiidae	4970.0455307932
