samplename	MiFish_STD_04-2	MiFish_STD_03	MiFish_STD_02	MiFish_STD_01	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220	otu_221	otu_222	otu_223	otu_224	otu_225	otu_226	otu_227	otu_228	otu_229	otu_230	otu_231	otu_232	otu_233	otu_234	otu_235	otu_236	otu_237	otu_238	otu_239	otu_240
ClaidentTutorial__Sample01__MiFish	2497	752	350	145	307	167	0	228	0	0	353	0	0	0	0	0	0	338	0	0	0	0	316	0	0	0	0	263	241	0	0	0	0	285	0	328	343	0	0	0	0	0	0	0	0	0	0	0	0	0	228	247	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	183	0	0	567	0	427	0	0	0	0	0	0	311	0	0	0	188	0	0	0	0	0	0	341	0	0	508	0	344	233	337	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	329	0	0	352	0	411	0	0	437	0	0	0	232	0	0	0	0	0	0	340	0	301	0	0	0	382	0	0	0	0	0	0	0	0	0	341	0	282	0	0	0	0	336	284	0	0	0	0	0	0	143	482	0	0	0	0	0	0	437	431	0	0	0	0	0	0	0	0	357	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	267	0	0	236	0	221	0	194	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	2328	814	255	96	268	354	0	504	0	0	269	0	0	0	0	0	0	340	0	0	0	0	437	0	0	0	0	320	235	0	0	0	0	202	0	404	537	0	362	0	0	0	0	0	0	0	0	359	0	0	514	295	0	283	0	374	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	227	0	0	421	0	409	0	0	0	0	0	0	258	0	0	0	260	0	0	0	0	0	0	397	0	0	325	0	386	323	384	0	0	394	0	0	0	0	0	0	0	0	236	0	0	0	0	286	0	0	0	0	0	0	0	468	244	0	0	0	0	0	0	0	228	0	0	304	0	247	0	308	401	0	0	0	235	0	0	0	0	0	0	358	0	378	0	0	0	272	0	0	0	0	271	0	0	0	0	271	0	306	0	0	0	0	211	251	0	0	162	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0
ClaidentTutorial__Sample03__MiFish	2472	742	301	153	338	271	0	249	288	0	301	0	0	0	0	0	0	369	0	0	129	0	406	0	0	0	0	498	365	0	0	0	0	281	0	554	401	0	275	159	283	0	0	0	0	0	0	228	0	0	358	395	0	415	0	429	0	0	232	0	0	0	0	0	0	0	0	470	0	0	0	260	0	0	281	0	363	0	0	0	0	263	0	215	0	0	0	148	0	0	0	0	0	0	356	0	0	496	0	242	301	528	0	0	166	0	0	0	0	0	0	0	0	241	0	0	0	0	393	0	0	0	0	0	0	0	307	363	0	0	0	391	0	0	0	372	0	0	237	0	227	0	263	0	0	0	0	297	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	2396	744	322	189	489	359	248	306	289	0	358	0	0	0	0	0	0	191	0	0	419	0	314	0	0	0	0	298	383	272	0	0	0	297	0	322	383	0	288	197	256	0	0	0	0	347	0	465	0	0	443	325	0	379	0	579	0	0	272	0	0	0	0	0	0	366	0	240	0	0	0	348	0	0	344	0	269	170	0	0	0	628	0	383	0	0	0	288	0	0	0	0	0	0	284	0	0	0	0	324	193	0	304	0	245	0	127	276	0	0	0	0	0	231	0	0	0	0	424	0	0	0	0	0	0	0	0	410	0	0	0	383	310	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	2528	795	341	158	289	282	373	377	479	0	402	0	0	0	0	0	0	488	0	0	211	0	248	0	0	0	0	250	254	289	0	228	0	335	0	271	280	0	164	304	310	0	0	386	0	388	0	326	0	0	278	297	0	303	0	382	0	0	436	0	0	0	0	0	0	305	0	0	0	175	0	400	0	0	0	0	130	337	0	0	0	261	0	323	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	242	0	335	0	431	0	465	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	322	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	2363	897	292	194	480	253	246	509	280	322	259	0	0	0	0	0	0	471	164	0	261	305	329	0	0	0	0	601	401	487	0	236	0	423	0	197	192	270	264	388	392	0	0	341	0	407	0	253	0	0	381	316	0	298	0	0	0	0	473	0	0	0	0	0	0	220	0	0	0	467	0	283	0	0	0	0	0	481	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	315	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	212	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	297	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	123	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	2255	801	220	157	262	284	342	334	584	298	362	0	0	0	0	0	0	507	359	0	211	394	278	0	0	301	298	313	370	254	0	334	231	343	0	246	456	252	494	591	323	0	0	478	0	482	0	204	0	0	0	220	0	406	0	0	0	0	187	0	0	0	0	0	0	358	0	0	351	463	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	132	277	0	0	316	325	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	318	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	2365	835	313	106	335	243	565	270	243	363	522	0	0	237	0	0	354	351	336	0	334	345	185	263	0	225	229	211	485	461	0	286	448	486	0	279	0	342	366	360	356	0	0	322	0	348	0	383	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	213	0	0	342	411	0	0	0	0	0	0	0	345	0	285	0	0	0	0	0	348	251	0	275	379	373	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	2371	779	350	175	311	225	417	401	327	340	272	0	0	488	338	0	364	314	224	357	236	434	458	600	0	326	581	0	0	367	245	467	257	0	0	0	0	293	292	321	282	0	0	264	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	231	206	0	0	0	0	0	0	0	0	0	257	0	0	325	0	0	377	417	0	388	252	169	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	335	0	0	0	0	0	181	0	0	0	0	153	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	2376	827	247	116	469	411	330	182	284	381	207	0	329	265	247	374	470	0	351	198	516	435	0	461	0	506	272	0	0	587	612	223	259	0	0	0	0	339	0	153	264	0	276	366	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	335	0	0	256	0	0	234	284	0	353	469	294	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	199	0	0	0	0	203	0	0	0	289	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	190	0	0	248	0	0	0	0	237	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
