samplename	MiFish_STD_04-2	MiFish_STD_03	MiFish_STD_02	MiFish_STD_01	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110
ClaidentTutorial__Sample01__MiFish	1645	572	393	225	214	0	474	353	175	318	0	384	340	0	282	297	185	0	0	229	277	0	191	529	183	0	320	0	0	0	373	236	346	0	0	0	0	421	0	0	0	0	0	449	377	395	476	0	338	356	0	0	0	0	341	0	392	204	0	533	0	413	0	0	0	305	346	478	521	0	0	0	0	0	459	0	0	420	390	408	0	468	0	0	0	260	216	189	406	0	0	346	228	0	0	156	402	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0
ClaidentTutorial__Sample02__MiFish	1628	674	459	220	217	0	293	298	468	0	0	336	385	0	361	460	258	0	816	430	296	0	412	0	353	0	196	0	319	0	0	237	382	0	0	0	0	373	379	0	521	0	0	368	250	400	0	413	319	170	0	0	0	0	268	0	319	289	0	203	0	232	0	0	0	0	378	376	0	0	0	0	0	0	356	0	0	118	392	285	624	0	0	476	0	176	0	0	143	0	0	300	235	404	0	314	231	282	0	0	113	524	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	1598	764	385	152	277	0	0	316	237	0	0	316	487	0	243	246	393	0	292	240	377	458	0	0	388	0	165	0	194	0	0	369	0	0	330	0	0	247	220	0	185	357	0	0	140	376	0	368	360	444	0	555	431	537	0	0	0	238	0	0	0	310	0	0	0	0	0	250	0	0	0	0	0	0	530	0	303	323	469	359	224	0	0	413	529	279	0	0	487	0	0	287	284	327	0	283	206	0	0	0	0	543	0	134	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	1604	623	475	194	0	0	0	364	288	596	555	363	526	0	376	205	0	0	275	296	207	279	0	0	319	0	324	498	204	117	0	221	0	0	378	431	0	185	230	0	369	458	0	0	342	0	0	394	0	0	0	191	283	381	0	0	0	222	377	0	471	334	0	0	0	0	324	338	0	0	0	0	0	0	0	715	236	271	285	324	0	469	0	276	361	0	0	0	371	0	0	195	0	419	0	242	376	0	0	0	0	221	0	322	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	1568	565	414	232	0	553	142	398	274	384	248	530	187	0	255	0	0	643	410	227	327	292	412	329	459	0	365	449	235	109	0	364	0	529	330	199	0	264	144	397	432	0	0	0	0	0	0	311	440	0	0	359	235	224	0	0	0	0	446	0	0	299	0	0	0	0	255	248	0	0	0	0	0	0	0	517	580	122	0	0	546	0	0	344	368	0	0	0	413	0	0	223	0	213	0	0	324	0	440	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	1821	445	416	181	0	520	459	157	245	364	292	408	351	418	222	0	0	218	189	521	143	267	357	193	0	0	372	0	0	314	0	0	400	280	358	233	0	372	489	369	298	0	0	0	0	0	577	263	197	0	0	363	293	297	0	537	0	0	293	89	0	244	0	564	0	0	410	298	0	0	0	0	0	0	0	443	0	317	0	355	188	0	0	194	0	448	0	432	0	0	0	414	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	1639	566	353	112	567	403	275	0	216	248	418	282	277	339	368	0	0	285	194	220	506	244	274	0	0	0	352	570	0	478	497	757	193	228	226	0	0	475	230	317	358	0	0	0	115	0	309	344	295	0	0	542	129	168	297	324	531	0	249	383	0	260	0	365	0	406	522	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	288	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	396	0	0	500	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	1613	519	403	195	473	500	220	0	194	353	165	481	317	309	422	525	311	391	377	392	293	261	253	0	0	393	265	499	0	376	345	115	491	362	473	0	525	0	167	227	274	0	572	0	0	0	310	281	0	0	413	0	137	320	326	403	315	0	380	0	105	120	422	318	0	182	0	0	0	0	0	0	0	507	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	560	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	1699	420	410	209	310	342	458	439	441	271	337	289	0	392	344	300	192	0	0	557	275	252	298	0	0	321	236	394	0	369	222	316	490	211	0	0	0	0	0	256	330	0	269	77	0	0	422	0	344	0	211	0	295	308	239	165	294	337	357	620	0	280	155	424	585	399	0	0	0	0	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	390	0	0	0	0	0	0	0	0	0	0	463	246	0	0	0	0	0	0	0	0	322	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	1617	564	458	200	379	272	389	408	241	167	188	311	0	207	177	315	399	0	0	0	492	227	377	0	0	369	159	441	0	382	301	210	297	0	508	0	472	0	0	0	487	545	159	473	0	793	276	0	264	542	0	0	398	350	187	376	201	408	0	339	471	0	260	292	333	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	308	313	0	0	0	211	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0
