samplename	inputnseq
ClaidentTutorial__Sample01__MiFish	13527
ClaidentTutorial__Sample02__MiFish	13558
ClaidentTutorial__Sample03__MiFish	13623
ClaidentTutorial__Sample04__MiFish	13568
ClaidentTutorial__Sample05__MiFish	13569
ClaidentTutorial__Sample06__MiFish	13570
ClaidentTutorial__Sample07__MiFish	13795
ClaidentTutorial__Sample08__MiFish	13812
ClaidentTutorial__Sample09__MiFish	13836
ClaidentTutorial__Sample10__MiFish	13831
ClaidentTutorial__Sample11__MiFish	13827
ClaidentTutorial__Sample12__MiFish	13533
ClaidentTutorial__Sample13__MiFish	13559
ClaidentTutorial__Sample14__MiFish	13778
ClaidentTutorial__Sample15__MiFish	13822
ClaidentTutorial__Sample16__MiFish	13809
ClaidentTutorial__Sample17__MiFish	13814
ClaidentTutorial__Sample18__MiFish	13817
ClaidentTutorial__Sample19__MiFish	13798
ClaidentTutorial__Sample20__MiFish	13772
