samplename	outputnseq
ClaidentTutorial__Sample01__MiFish	13526
ClaidentTutorial__Sample02__MiFish	13557
ClaidentTutorial__Sample03__MiFish	13622
ClaidentTutorial__Sample04__MiFish	13567
ClaidentTutorial__Sample05__MiFish	13568
ClaidentTutorial__Sample06__MiFish	13569
ClaidentTutorial__Sample07__MiFish	13794
ClaidentTutorial__Sample08__MiFish	13811
ClaidentTutorial__Sample09__MiFish	13835
ClaidentTutorial__Sample10__MiFish	13830
ClaidentTutorial__Sample11__MiFish	13826
ClaidentTutorial__Sample12__MiFish	13532
ClaidentTutorial__Sample13__MiFish	13558
ClaidentTutorial__Sample14__MiFish	13777
ClaidentTutorial__Sample15__MiFish	13821
ClaidentTutorial__Sample16__MiFish	13808
ClaidentTutorial__Sample17__MiFish	13813
ClaidentTutorial__Sample18__MiFish	13816
ClaidentTutorial__Sample19__MiFish	13797
ClaidentTutorial__Sample20__MiFish	13771
