samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220	otu_221	otu_222	otu_223	otu_224	otu_225	otu_226	otu_227	otu_228	otu_229	otu_230	otu_231	otu_232	otu_233	otu_234	otu_235	otu_236	otu_237	otu_238	otu_239	otu_240
ClaidentTutorial__Sample01__MiFish	1.095094212933820	0.595702715178984	0	0.813294724915020	0	0	1.259179990767550	0	0	0	0	0	0	1.205673758865250	0	0	0	0	1.127197952075200	0	0	0	0	0.938142599353729	0.859666792563683	0	0	0	0	1.016618406143770	0	1.170002937597050	1.223509169499350	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813294724915020	0.881069285324604	0	0	0	0.906038860212346	0	0	0	0	0	0	0	0	0	0	0	1.687229845985980	0	0	0	0.652776029208108	0	0	2.022535565907090	0	1.523144068152250	0	0	0	0	0	0	1.109362541441100	0	0	0	0.670611439842209	0	0	0	0	0	0	1.216375005245710	0	0	1.812077720424690	0	1.227076251626170	0.831130135549121	1.202106676738430	0	0	0	0	0	0	0	0	0	0	0	1.637290696210500	0	0	0	0	0	0	0	0	0	0	0	0	0.891770531705065	0	0	0	0	0	0	0	0	1.173570019723870	0	0	1.255612908640730	0	1.466070754123130	0	0	1.558814889420450	0	0	0	0.827563053422301	0	0	0	0	0	0	1.212807923118890	0	1.073691720172900	0	0	0	1.362625372445340	0	0	0	0	0	0	0	0	0	1.216375005245710	0	1.005917159763310	0	0	0	0	1.198539594611610	1.013051324016950	0	0	0	0	0	0	0.510092744135297	1.719333585127370	0	0	0	0	0	0	1.558814889420450	1.537412396659530	0	0	0	0	0	0	0	0	1.273448319274830	1.273448319274830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.080825884426540	0	0	0	0	0.952410927861010	0	0	0.841831381929582	0	0.788325150027278	0	0.692013932603131	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	1.013074802099080	1.338165969936850	0	1.905185448723650	0	0	1.016854931957660	0	0	0	0	0	0	1.285244151916750	0	0	0	0	1.651916748198880	0	0	0	0	1.209641554745180	0.888330516765988	0	0	0	0	0.763586231432892	0	1.527172462865780	2.029929734056750	0	1.368407008805480	0	0	0	0	0	0	0	0	1.357066619229740	0	0	1.942986747309440	1.115138308280710	0	1.069776749977760	0	1.413768567108420	0	0	0	0	0	0	0	0	0	0	0	2.094191941652580	0	0	0	0.858089477897359	0	0	1.591434670461620	0	1.546073112158680	0	0	0	0	0	0	0.975273503513297	0	0	0	0.982833763230455	0	0	0	0	0	0	1.500711553855730	0	0	1.228542204038070	0	1.459130125411370	1.220981944320910	1.451569865694210	0	0	1.489371164280000	0	0	0	0	0	0	0	0	0.892110646624567	0	0	0	0	1.081117139553500	0	0	0	0	0	0	0	1.769100773814820	0.922351685493196	0	0	0	0	0	0	0	0.861869607755937	0	0	1.149159477007920	0	0.933692075068932	0	1.164279996442230	1.515832073290050	0	0	0	0.888330516765988	0	0	0	0	0	0	1.353286489371160	0	1.428889086542740	0	0	0	1.028195321533400	0	0	0	0	1.024415191674820	0	0	0	0	1.024415191674820	0	1.156719736725070	0	0	0	0	0.797607400160100	0.948812594503247	0	0	0.612381037089745	0	0	0	1.281464022058170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.446055323312283	0
ClaidentTutorial__Sample03__MiFish	1.222605217243290	0.980254478913996	0	0.900676624537215	1.041746457296060	0	1.088769734882340	0	0	0	0	0	0	1.334737648410570	0	0	0.466615600663858	0	1.468573130771520	0	0	0	0	1.801353249074430	1.320268947614790	0	0	0	0	1.016426230903440	0	2.003915060215330	1.450487254776800	0	0.994723179709775	0.575130856632197	1.023660581301330	0	0	0	0	0	0	0.824715945359377	0	0	1.294948721222180	1.428784203583130	0	1.501127707562020	0	1.551768160347250	0	0	0.839184646155156	0	0	0	0	0	0	0	0	1.700072343503980	0	0	0	0.940465551725605	0	0	1.016426230903440	0	1.313034597216900	0	0	0	0	0.951317077322439	0	0.777692667773097	0	0	0	0.535341929443806	0	0	0	0	0	0	1.287714370824290	0	0	1.794118898676540	0	0.875356398144602	1.088769734882340	1.909868505042770	0	0	0.600451083024810	0	0	0	0	0	0	0	0	0.871739222945657	0	0	0	0	1.421549853185240	0	0	0	0	0	0	0	1.110472786076000	1.313034597216900	0	0	0	1.414315502787350	0	0	0	1.345589174007400	0	0	0.857270522149879	0	0.821098770160432	0	0.951317077322439	0	0	0	0	1.074301034086560	0	0	0.951317077322439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.298565896421120	0	0	0	0	0	0	0	0	0	1.128558662070730	0	0	0	0	0	1.302183071620070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.273245670028510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	1.808982895939420	1.328067197632420	0.917439178308744	1.132001566784180	1.069112590851720	0	1.324367846106980	0	0	0	0	0	0	0.706576141358750	0	0	1.550028289158720	0	1.161596378987680	0	0	0	0	1.102406754580670	1.416851634242940	1.006223614919270	0	0	0	1.098707403055230	0	1.191191191191190	1.416851634242940	0	1.065413239326280	0.728772250511381	0.947033990512252	0	0	0	0	1.283674979327150	0	1.720198459328890	0	0	1.638812725769250	1.202289245767510	0	1.402054228141180	0	2.141924533228880	0	0	1.006223614919270	0	0	0	0	0	0	1.353962658310480	0	0.887844366105236	0	0	0	1.287374330852590	0	0	1.272576924750840	0	0.995125560342952	0.628889759324542	0	0	0	2.323192757975370	0	1.416851634242940	0	0	0	1.065413239326280	0	0	0	0	0	0	1.050615833224530	0	0	0	0	1.198589894242070	0.713974844409627	0	1.124602863733300	0	0.906341123732428	0	0.469817643730687	1.021021021021020	0	0	0	0	0	0.854550202376289	0	0	0	0	1.568525046785920	0	0	0	0	0	0	0	0	1.516734125429780	0	0	0	1.416851634242940	1.146798972885930	0	0	0	0	0	0	0	0	0	1.028419724071900	0	0	0	0	0	0	0	0.577098837968403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.943334638986813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.146798972885930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	1.013240389374690	0.988698234614750	1.307746246493980	1.321770334928230	1.679384590001650	0	1.409420887642300	0	0	0	0	0	0	1.710938788978720	0	0	0.739770664906781	0	0.869493482923610	0	0	0	0	0.876505527140736	0.890529615574988	1.013240389374690	0	0.799373040752351	0	1.174517406368590	0	0.950131991420558	0.981686190397624	0	0.574987625804323	1.065830721003140	1.086866853654510	0	0	1.353324533905300	0	1.360336578122420	0	1.142963207391520	0	0	0.974674146180498	1.041288566243190	0	1.062324698894570	0	1.339300445471040	0	0	1.528625639333440	0	0	0	0	0	0	1.069336743111700	0	0	0	0.613553868998515	0	1.402408843425180	0	0	0	0	0.455782874113183	1.181529450585710	0	0	0	0.915071770334928	0	1.132445141065830	0	0	0	1.938830226035310	0	0	0	0	0	0	0	0	0	0	0	0	0.848457350272232	0	1.174517406368590	0	1.511095528790630	0	1.630300280481770	1.048300610460320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.697698399604026	1.567191882527640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.181529450585710	0	0	0	0	0.802879062860914	0	0	0	0	0	0	0	0	0	0	0	1.128939118957270	0.525903316284442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.188541494802840	0	0	0	0	0	0	0	1.132445141065830	0	0	0	0	0	0	0	0	0	1.360336578122420	0	0	0	0	0	0	0	0	0	0	0	0	1.167505362151460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	1.753330468414270	0.924151267726687	0.898581865062312	1.859260850880960	1.022776106574990	1.176192522561240	0.946067898581865	0	0	0	0	0	0	1.720455522131500	0.599054576708208	0	0.953373442200258	1.114095401804900	1.201761925225610	0	0	0	0	2.195315857327030	1.464761495487750	1.778899871078640	0	0.862054146970348	0	1.545122475290070	0	0.719596046411689	0.701332187365707	0.986248388483025	0.964331757627847	1.417275461968200	1.431886549204990	0	0	1.245595186935970	0	1.486678126342930	0	0.924151267726687	0	0	1.391706059303820	1.154275891706060	0	1.088525999140520	0	0	0	0	1.727761065749890	0	0	0	0	0	0	0.803609798023206	0	0	0	1.705844434894710	0	1.033734422002580	0	0	0	0	0	1.756983240223460	0	0	0	1.329608938547490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.230984099699180	0	0	0	1.150623119896860	1.099484314568110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.198109153416420	0	0	0	0	0	0	0.774387623549635	0	0	0	0	0	0	1.409969918349810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989901160292222	0	0	0	0	0	0	0	0	0	0	0	1.084873227331330	1.051998281048560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540610227761066	0.449290932531156	0	0	0	0	0	0	0.533304684142673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.201761925225610	0	0	0	0	0	0	0	1.117748173614100	0	0	0	0	0	0	0	0	0	0	0	0.715943274602493	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	2.039283915571630	2.210521496268490	2.661966027196560	2.599697816034070	4.545579414861960	2.319490865802850	2.817636555102790	0	0	0	0	0	0	3.946247882422970	2.794285975916850	0	1.642324069410740	3.066709399752760	2.163820337896620	0	0	2.342841444988780	2.319490865802850	2.436243761732520	2.879904766265280	1.977015704409140	0	2.599697816034070	1.797994597316970	2.669749553591870	0	1.914747493246650	3.549288036262080	1.961448651618520	3.845062039283920	4.600064099629140	2.514079025685640	0	0	3.720525616958930	0	3.751659722540180	0	1.587839384643560	0	0	0	1.712375806968550	0	3.160111716496500	0	0	0	0	1.455519435923260	0	0	0	0	0	0	2.786502449521540	0	0	2.732017764754360	3.603772721029260	0	0	0	0	0	0	0	1.914747493246650	0	0	0	0	0	0	0	1.027425484181130	2.156036811501310	0	0	2.459594340918460	2.529646078476260	0	0	0	0	0	0	0	0	0	0	0	2.078201547548190	0	0	0	2.475161393709080	2.677533079987180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.370266929169910	0	0	0	0	0	0	0	0	0	0	0	0	0	1.984799230804450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.424385330342020	0	0	0	0	0	0	0	0	0	0	0	0	1.393251224760770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.817636555102790	0	0	0	0	0	0	0	0	0	0	0	0	1.066343116157690	0	0	0	0	0	0	0	0	0	0	2.732017764754360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	1.238474251913710	0.898355949895616	2.088770006958940	0.998173277661795	0.898355949895616	1.341988517745300	1.929801670146140	0	0	0.876174321503131	0	0	1.308716075156580	1.297625260960330	1.242171189979120	0	1.234777313848300	1.275443632567850	0.683933542101601	0.972294711203897	0	0.831811064718163	0.846598816979819	0.780053931802366	1.793014961725820	1.704288448155880	0	1.057324286708420	1.656228253305500	1.796711899791230	0	1.031445720250520	0	1.264352818371610	1.353079331941540	1.330897703549060	1.316109951287400	0	0	1.190414057063330	0	1.286534446764090	0	1.415927279053580	0	0	0	0	0	0	0	0	0	0	1.186717118997910	0	0	0	0	0	0	0.787447807933194	0	0	1.264352818371610	1.519441544885180	0	0	0	0	0	0	0	1.275443632567850	0	1.053627348643010	0	0	0	0	0	1.286534446764090	0.927931454418928	0	1.016657967988870	1.401139526791930	1.378957898399440	1.338291579679890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998173277661795	0	0	0	0	0	1.031445720250520	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916840640222686	0	1.234777313848300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517571329157968	0	0	0	0	0	0	0	1.005567153792620	0	0	0	0	0	0	0	0	0.447329505915101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	1.439250402892110	1.041258330066640	1.929798771723510	1.855753734918770	1.513295439696850	1.573457032100700	1.258765625680560	0	0	2.258373622544540	1.564201402500110	0	1.684524587307810	1.453133847293000	1.036630515266340	1.652129883705740	1.092164292869900	2.008471623328540	2.119539178535650	2.776688880177710	0	1.508667624896550	2.688760398972080	0	0	1.698408031708700	1.133814626072560	2.161189511738320	1.189348403676120	0	0	0	0	1.355949736486780	1.351321921686480	1.485528550895070	1.305043773683520	0	0	1.221743107278190	0	1.897404068121430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.462389476893590	0	0	1.069025218868420	0.953329848861013	0	0	0	0	0	0	0	0	0	1.189348403676120	0	0	1.504039810096260	0	0	1.744686179711660	1.929798771723510	0	1.795592142514920	1.166209329674640	0.782100701250054	0.907051700858051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.268021255281150	0	0	0	0	1.221743107278190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.480508732958750	0	0	0	1.328182847685000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758961627248574	0	1.550317958099220	0	0	0	0	0	0.837634478853609	0	0	0	0	0.708055664445316	0	0	0	0	0	1.064397404068120	0	0	0	0	0	0	0	0	0	0	1.504039810096260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	1.738855447963010	1.523815755037950	1.223501701125360	0.674779726075199	1.052952979150310	1.412588327662920	0.767469248887726	0	1.219794120212860	0.982508941812789	0.915772485387769	1.386635261275410	1.742563028875510	0	1.301360900287880	0.734101020675216	1.913111750850560	1.612797696937970	0	1.709194800663000	0	1.876035941725550	1.008462008200300	0	0	2.176349995638140	2.269039518450670	0.826790543487743	0.960263456337783	0	0	0	0	1.256869929337870	0	0.567259879612667	0.978801360900288	0	1.023292331850300	1.356974613975400	0	0	0	0	1.060368140975310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.008462008200300	0	0	0	0	0	0	0	0	0	0	1.242039605687870	0	0	0.949140713600279	0	0	0.867573933525255	1.052952979150310	0	1.308776062112890	1.738855447963010	1.090028788275320	1.353267033062900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.190133472912850	0	0.737808601587717	0	0	0	0	0.752638925237721	0	0	0	1.071490883712820	0	0	0	0	0	0	0	0	0	0	0.778591991625229	0	0	0	0	0	0	0	0	0	0	2.016924016400590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.167887987437840	0	0	0	0	0.704440373375207	0	0	0.919480066300271	0	0	0	0	0.878696676262759	0	0	0	0	0	0	0	0	1.297653319375380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389295995812615
