samplename	MiFish_STD_01	MiFish_STD_02	MiFish_STD_03	MiFish_STD_04-2
ClaidentTutorial__Sample01__MiFish	96	190	391	787
ClaidentTutorial__Sample02__MiFish	97	200	398	787
ClaidentTutorial__Sample03__MiFish	99	198	403	802
ClaidentTutorial__Sample04__MiFish	97	192	387	781
ClaidentTutorial__Sample05__MiFish	100	197	391	767
ClaidentTutorial__Sample06__MiFish	97	195	383	789
ClaidentTutorial__Sample07__MiFish	97	197	394	793
ClaidentTutorial__Sample08__MiFish	96	190	388	796
ClaidentTutorial__Sample09__MiFish	93	195	381	786
ClaidentTutorial__Sample10__MiFish	100	192	383	780
ClaidentTutorial__Sample11__MiFish	96	199	385	784
ClaidentTutorial__Sample12__MiFish	98	196	384	791
ClaidentTutorial__Sample13__MiFish	99	199	398	795
ClaidentTutorial__Sample14__MiFish	98	198	389	776
ClaidentTutorial__Sample15__MiFish	95	197	384	776
ClaidentTutorial__Sample16__MiFish	98	195	390	790
ClaidentTutorial__Sample17__MiFish	96	196	384	775
ClaidentTutorial__Sample18__MiFish	100	192	392	769
ClaidentTutorial__Sample19__MiFish	98	197	381	781
ClaidentTutorial__Sample20__MiFish	97	195	383	781
