samplename	inputnseq
ClaidentTutorial__Sample01__MiFish	9872
ClaidentTutorial__Sample02__MiFish	9900
ClaidentTutorial__Sample03__MiFish	9661
ClaidentTutorial__Sample04__MiFish	9874
ClaidentTutorial__Sample05__MiFish	9871
ClaidentTutorial__Sample06__MiFish	9875
ClaidentTutorial__Sample07__MiFish	9865
ClaidentTutorial__Sample08__MiFish	9876
ClaidentTutorial__Sample09__MiFish	9886
ClaidentTutorial__Sample10__MiFish	9608
ClaidentTutorial__Sample11__MiFish	9721
ClaidentTutorial__Sample12__MiFish	9667
ClaidentTutorial__Sample13__MiFish	9704
ClaidentTutorial__Sample14__MiFish	9681
ClaidentTutorial__Sample15__MiFish	9699
ClaidentTutorial__Sample16__MiFish	9612
ClaidentTutorial__Sample17__MiFish	9662
ClaidentTutorial__Sample18__MiFish	9866
ClaidentTutorial__Sample19__MiFish	9852
ClaidentTutorial__Sample20__MiFish	9858
