samplename	inputpcov
ClaidentTutorial__Sample01__MiFish	0.9999999897
ClaidentTutorial__Sample02__MiFish	0.9996959049
ClaidentTutorial__Sample03__MiFish	0.9997969543
ClaidentTutorial__Sample04__MiFish	0.9997970779
ClaidentTutorial__Sample05__MiFish	0.9996960999
ClaidentTutorial__Sample06__MiFish	0.9998987239
ClaidentTutorial__Sample07__MiFish	0.9997969955
ClaidentTutorial__Sample08__MiFish	0.9997970779
ClaidentTutorial__Sample09__MiFish	0.9997975504
ClaidentTutorial__Sample10__MiFish	0.9995946391
ClaidentTutorial__Sample11__MiFish	0.9997951869
ClaidentTutorial__Sample12__MiFish	0.9996943869
ClaidentTutorial__Sample13__MiFish	0.9999999794
ClaidentTutorial__Sample14__MiFish	0.9999999897
ClaidentTutorial__Sample15__MiFish	0.9999999897
ClaidentTutorial__Sample16__MiFish	0.9998984565
ClaidentTutorial__Sample17__MiFish	0.9999999897
ClaidentTutorial__Sample18__MiFish	1.0000000000
ClaidentTutorial__Sample19__MiFish	0.9998983843
ClaidentTutorial__Sample20__MiFish	0.9997953022
