samplename	outputnseq
ClaidentTutorial__Sample01__MiFish	3952
ClaidentTutorial__Sample02__MiFish	8881
ClaidentTutorial__Sample03__MiFish	830
ClaidentTutorial__Sample04__MiFish	7399
ClaidentTutorial__Sample05__MiFish	7053
ClaidentTutorial__Sample06__MiFish	4093
ClaidentTutorial__Sample07__MiFish	6576
ClaidentTutorial__Sample08__MiFish	8630
ClaidentTutorial__Sample09__MiFish	4928
ClaidentTutorial__Sample10__MiFish	9867
ClaidentTutorial__Sample11__MiFish	4984
ClaidentTutorial__Sample12__MiFish	7806
ClaidentTutorial__Sample13__MiFish	792
ClaidentTutorial__Sample14__MiFish	1626
ClaidentTutorial__Sample15__MiFish	723
ClaidentTutorial__Sample16__MiFish	750
ClaidentTutorial__Sample17__MiFish	664
ClaidentTutorial__Sample18__MiFish	649
ClaidentTutorial__Sample19__MiFish	2896
ClaidentTutorial__Sample20__MiFish	1062
