samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	008_unidentified_Echeneis	250
ClaidentTutorial__Sample01__MiFish	016_Petrocephalus_microphthalmus	249
ClaidentTutorial__Sample01__MiFish	028_Lepidosiren_paradoxa	249
ClaidentTutorial__Sample01__MiFish	072_Eurypharynx_pelecanoides	249
ClaidentTutorial__Sample01__MiFish	036_unidentified_Pristolepis	248
ClaidentTutorial__Sample01__MiFish	042_unidentified_Glossogobius	248
ClaidentTutorial__Sample01__MiFish	048_unidentified_Naso	248
ClaidentTutorial__Sample01__MiFish	051_unidentified_Pempheriformes	248
ClaidentTutorial__Sample01__MiFish	081_unidentified_Eleotris	248
ClaidentTutorial__Sample01__MiFish	089_Dicentrarchus_labrax	248
ClaidentTutorial__Sample01__MiFish	111_unidentified_Hypoptopoma	248
ClaidentTutorial__Sample01__MiFish	113_unidentified_Stethaprioninae	248
ClaidentTutorial__Sample01__MiFish	155_unidentified_Labracinus	248
ClaidentTutorial__Sample01__MiFish	066_unidentified_Oryzias	247
ClaidentTutorial__Sample01__MiFish	094_unidentified_Nothobranchiidae	247
ClaidentTutorial__Sample01__MiFish	095_unidentified_Poecilia	247
ClaidentTutorial__Sample01__MiFish	125_Pagellus_bogaraveo	247
ClaidentTutorial__Sample01__MiFish	130_unidentified_Puntigrus	247
ClaidentTutorial__Sample01__MiFish	144_Menidia_menidia	247
ClaidentTutorial__Sample01__MiFish	153_Etheostoma_spectabile	247
ClaidentTutorial__Sample01__MiFish	174_Lepidoblepharon_ophthalmolepis	247
ClaidentTutorial__Sample01__MiFish	175_Microcanthus_strigatus	247
ClaidentTutorial__Sample01__MiFish	012_unidentified_Bathyclupea	246
ClaidentTutorial__Sample01__MiFish	017_unidentified_Odacidae	246
ClaidentTutorial__Sample01__MiFish	045_unidentified_Cobitoidei	246
ClaidentTutorial__Sample01__MiFish	053_Kaupichthys_hyoproroides	246
ClaidentTutorial__Sample01__MiFish	079_unidentified_Osteobrama	246
