samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	51_others	5412
ClaidentTutorial__Sample01__MiFish	04_Cyprinidae	493
ClaidentTutorial__Sample01__MiFish	38_Bothidae	491
ClaidentTutorial__Sample01__MiFish	10_Carangidae	487
ClaidentTutorial__Sample01__MiFish	09_Cichlidae	485
ClaidentTutorial__Sample01__MiFish	18_Echeneidae	250
ClaidentTutorial__Sample01__MiFish	13_Mormyridae	249
ClaidentTutorial__Sample01__MiFish	32_Lepidosirenidae	249
ClaidentTutorial__Sample01__MiFish	08_Gobiidae	248
ClaidentTutorial__Sample01__MiFish	41_Eleotridae	248
ClaidentTutorial__Sample01__MiFish	49_Characidae	248
ClaidentTutorial__Sample01__MiFish	50_Acanthuridae	248
ClaidentTutorial__Sample01__MiFish	02_Nothobranchiidae	247
ClaidentTutorial__Sample01__MiFish	22_Atherinopsidae	247
ClaidentTutorial__Sample01__MiFish	46_Poeciliidae	247
ClaidentTutorial__Sample01__MiFish	07_Tetraodontidae	246
ClaidentTutorial__Sample01__MiFish	21_Bathyclupeidae	246
ClaidentTutorial__Sample01__MiFish	24_Odacidae	246
ClaidentTutorial__Sample01__MiFish	48_unidentified_Cobitoidei	246
ClaidentTutorial__Sample01__MiFish	03_unidentified_Osteoglossiformes	245
ClaidentTutorial__Sample01__MiFish	11_Nototheniidae	244
ClaidentTutorial__Sample01__MiFish	12_Sciaenidae	244
ClaidentTutorial__Sample01__MiFish	31_Xenocyprididae	244
ClaidentTutorial__Sample01__MiFish	25_Channidae	242
ClaidentTutorial__Sample02__MiFish	51_others	4436
ClaidentTutorial__Sample02__MiFish	04_Cyprinidae	499
ClaidentTutorial__Sample02__MiFish	38_Bothidae	495
ClaidentTutorial__Sample02__MiFish	09_Cichlidae	494
ClaidentTutorial__Sample02__MiFish	07_Tetraodontidae	493
ClaidentTutorial__Sample02__MiFish	32_Lepidosirenidae	254
ClaidentTutorial__Sample02__MiFish	21_Bathyclupeidae	252
ClaidentTutorial__Sample02__MiFish	24_Odacidae	250
ClaidentTutorial__Sample02__MiFish	25_Channidae	250
ClaidentTutorial__Sample02__MiFish	47_Samaridae	250
ClaidentTutorial__Sample02__MiFish	03_unidentified_Osteoglossiformes	249
ClaidentTutorial__Sample02__MiFish	48_unidentified_Cobitoidei	249
ClaidentTutorial__Sample02__MiFish	06_Clupeidae	247
ClaidentTutorial__Sample02__MiFish	22_Atherinopsidae	247
ClaidentTutorial__Sample02__MiFish	50_Acanthuridae	247
ClaidentTutorial__Sample02__MiFish	10_Carangidae	246
ClaidentTutorial__Sample02__MiFish	11_Nototheniidae	246
ClaidentTutorial__Sample02__MiFish	12_Sciaenidae	246
ClaidentTutorial__Sample02__MiFish	36_Zenarchopteridae	246
ClaidentTutorial__Sample02__MiFish	02_Nothobranchiidae	245
ClaidentTutorial__Sample02__MiFish	31_Xenocyprididae	245
