samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	51_others	7207
ClaidentTutorial__Sample01__MiFish	35_unidentified_Tariqilabeo	314
ClaidentTutorial__Sample01__MiFish	09_unidentified_Opsaridium	291
ClaidentTutorial__Sample01__MiFish	02_unidentified_Euteleosteomorpha	268
ClaidentTutorial__Sample01__MiFish	42_unidentified_Bovichtus	266
ClaidentTutorial__Sample01__MiFish	39_Spratelloides_delicatulus	231
ClaidentTutorial__Sample01__MiFish	18_unidentified_Stolephorus	211
ClaidentTutorial__Sample01__MiFish	03_Kaupichthys_hyoproroides	209
ClaidentTutorial__Sample01__MiFish	48_unidentified_Cottiusculus	177
ClaidentTutorial__Sample01__MiFish	32_unidentified_Coilinae	159
ClaidentTutorial__Sample01__MiFish	19_Triphoturus_mexicanus	157
ClaidentTutorial__Sample01__MiFish	04_Uranoscopus_cognatus	148
ClaidentTutorial__Sample01__MiFish	11_unidentified_Pterois	132
ClaidentTutorial__Sample01__MiFish	34_unidentified_Muraeninae	83
ClaidentTutorial__Sample01__MiFish	37_unidentified_Glyptosterninae	3
ClaidentTutorial__Sample02__MiFish	51_others	7159
ClaidentTutorial__Sample02__MiFish	19_Triphoturus_mexicanus	288
ClaidentTutorial__Sample02__MiFish	18_unidentified_Stolephorus	269
ClaidentTutorial__Sample02__MiFish	23_unidentified_Luciosoma	231
ClaidentTutorial__Sample02__MiFish	09_unidentified_Opsaridium	221
ClaidentTutorial__Sample02__MiFish	34_unidentified_Muraeninae	207
ClaidentTutorial__Sample02__MiFish	48_unidentified_Cottiusculus	207
ClaidentTutorial__Sample02__MiFish	35_unidentified_Tariqilabeo	201
ClaidentTutorial__Sample02__MiFish	02_unidentified_Euteleosteomorpha	190
ClaidentTutorial__Sample02__MiFish	39_Spratelloides_delicatulus	185
ClaidentTutorial__Sample02__MiFish	04_Uranoscopus_cognatus	173
ClaidentTutorial__Sample02__MiFish	32_unidentified_Coilinae	146
ClaidentTutorial__Sample02__MiFish	03_Kaupichthys_hyoproroides	143
ClaidentTutorial__Sample02__MiFish	42_unidentified_Bovichtus	133
ClaidentTutorial__Sample02__MiFish	11_unidentified_Pterois	114
ClaidentTutorial__Sample03__MiFish	51_others	6537
ClaidentTutorial__Sample03__MiFish	07_Acentrogobius_pflaumii	342
ClaidentTutorial__Sample03__MiFish	49_unidentified_Osteobrama	304
ClaidentTutorial__Sample03__MiFish	20_unidentified_Salminus	261
ClaidentTutorial__Sample03__MiFish	11_unidentified_Pterois	222
ClaidentTutorial__Sample03__MiFish	18_unidentified_Stolephorus	216
ClaidentTutorial__Sample03__MiFish	35_unidentified_Tariqilabeo	198
ClaidentTutorial__Sample03__MiFish	34_unidentified_Muraeninae	196
ClaidentTutorial__Sample03__MiFish	42_unidentified_Bovichtus	189
ClaidentTutorial__Sample03__MiFish	23_unidentified_Luciosoma	188
ClaidentTutorial__Sample03__MiFish	04_Uranoscopus_cognatus	183
ClaidentTutorial__Sample03__MiFish	32_unidentified_Coilinae	181
ClaidentTutorial__Sample03__MiFish	03_Kaupichthys_hyoproroides	163
ClaidentTutorial__Sample03__MiFish	09_unidentified_Opsaridium	143
ClaidentTutorial__Sample03__MiFish	39_Spratelloides_delicatulus	138
ClaidentTutorial__Sample03__MiFish	48_unidentified_Cottiusculus	135
ClaidentTutorial__Sample03__MiFish	36_Odontobutis_platycephala	130
ClaidentTutorial__Sample03__MiFish	19_Triphoturus_mexicanus	124
ClaidentTutorial__Sample04__MiFish	51_others	5928
ClaidentTutorial__Sample04__MiFish	24_unidentified_Campylomormyrus	282
ClaidentTutorial__Sample04__MiFish	48_unidentified_Cottiusculus	270
ClaidentTutorial__Sample04__MiFish	03_Kaupichthys_hyoproroides	259
ClaidentTutorial__Sample04__MiFish	19_Triphoturus_mexicanus	249
ClaidentTutorial__Sample04__MiFish	07_Acentrogobius_pflaumii	247
ClaidentTutorial__Sample04__MiFish	06_Squalogadus_modificatus	243
ClaidentTutorial__Sample04__MiFish	18_unidentified_Stolephorus	233
ClaidentTutorial__Sample04__MiFish	36_Odontobutis_platycephala	232
ClaidentTutorial__Sample04__MiFish	32_unidentified_Coilinae	231
ClaidentTutorial__Sample04__MiFish	35_unidentified_Tariqilabeo	229
ClaidentTutorial__Sample04__MiFish	34_unidentified_Muraeninae	217
ClaidentTutorial__Sample04__MiFish	39_Spratelloides_delicatulus	178
ClaidentTutorial__Sample04__MiFish	09_unidentified_Opsaridium	177
ClaidentTutorial__Sample04__MiFish	04_Uranoscopus_cognatus	176
ClaidentTutorial__Sample04__MiFish	49_unidentified_Osteobrama	175
ClaidentTutorial__Sample04__MiFish	20_unidentified_Salminus	174
ClaidentTutorial__Sample04__MiFish	23_unidentified_Luciosoma	132
ClaidentTutorial__Sample04__MiFish	42_unidentified_Bovichtus	131
ClaidentTutorial__Sample04__MiFish	11_unidentified_Pterois	94
ClaidentTutorial__Sample04__MiFish	28_unidentified_Cyprinidae	1
ClaidentTutorial__Sample05__MiFish	51_others	5625
ClaidentTutorial__Sample05__MiFish	01_unidentified_Tetraodontidae	446
ClaidentTutorial__Sample05__MiFish	21_unidentified_Gobionellinae	290
ClaidentTutorial__Sample05__MiFish	35_unidentified_Tariqilabeo	273
ClaidentTutorial__Sample05__MiFish	07_Acentrogobius_pflaumii	256
ClaidentTutorial__Sample05__MiFish	09_unidentified_Opsaridium	237
ClaidentTutorial__Sample05__MiFish	19_Triphoturus_mexicanus	236
ClaidentTutorial__Sample05__MiFish	32_unidentified_Coilinae	226
ClaidentTutorial__Sample05__MiFish	49_unidentified_Osteobrama	195
ClaidentTutorial__Sample05__MiFish	03_Kaupichthys_hyoproroides	191
ClaidentTutorial__Sample05__MiFish	06_Squalogadus_modificatus	191
ClaidentTutorial__Sample05__MiFish	23_unidentified_Luciosoma	189
ClaidentTutorial__Sample05__MiFish	24_unidentified_Campylomormyrus	187
ClaidentTutorial__Sample05__MiFish	20_unidentified_Salminus	185
ClaidentTutorial__Sample05__MiFish	18_unidentified_Stolephorus	172
ClaidentTutorial__Sample05__MiFish	36_Odontobutis_platycephala	159
ClaidentTutorial__Sample05__MiFish	42_unidentified_Bovichtus	157
ClaidentTutorial__Sample05__MiFish	04_Uranoscopus_cognatus	149
ClaidentTutorial__Sample05__MiFish	39_Spratelloides_delicatulus	145
ClaidentTutorial__Sample05__MiFish	11_unidentified_Pterois	144
ClaidentTutorial__Sample05__MiFish	34_unidentified_Muraeninae	128
ClaidentTutorial__Sample05__MiFish	48_unidentified_Cottiusculus	89
ClaidentTutorial__Sample05__MiFish	02_unidentified_Euteleosteomorpha	1
ClaidentTutorial__Sample05__MiFish	29_unidentified_Callionymidae	1
ClaidentTutorial__Sample06__MiFish	51_others	4596
ClaidentTutorial__Sample06__MiFish	01_unidentified_Tetraodontidae	448
ClaidentTutorial__Sample06__MiFish	16_unidentified_Rhaphiodontinae	385
ClaidentTutorial__Sample06__MiFish	06_Squalogadus_modificatus	323
ClaidentTutorial__Sample06__MiFish	37_unidentified_Glyptosterninae	313
ClaidentTutorial__Sample06__MiFish	18_unidentified_Stolephorus	297
ClaidentTutorial__Sample06__MiFish	39_Spratelloides_delicatulus	277
ClaidentTutorial__Sample06__MiFish	35_unidentified_Tariqilabeo	256
ClaidentTutorial__Sample06__MiFish	09_unidentified_Opsaridium	231
ClaidentTutorial__Sample06__MiFish	49_unidentified_Osteobrama	224
ClaidentTutorial__Sample06__MiFish	24_unidentified_Campylomormyrus	216
ClaidentTutorial__Sample06__MiFish	32_unidentified_Coilinae	207
ClaidentTutorial__Sample06__MiFish	03_Kaupichthys_hyoproroides	202
ClaidentTutorial__Sample06__MiFish	21_unidentified_Gobionellinae	198
ClaidentTutorial__Sample06__MiFish	34_unidentified_Muraeninae	195
ClaidentTutorial__Sample06__MiFish	48_unidentified_Cottiusculus	192
ClaidentTutorial__Sample06__MiFish	11_unidentified_Pterois	187
ClaidentTutorial__Sample06__MiFish	20_unidentified_Salminus	181
ClaidentTutorial__Sample06__MiFish	23_unidentified_Luciosoma	166
ClaidentTutorial__Sample06__MiFish	04_Uranoscopus_cognatus	160
ClaidentTutorial__Sample06__MiFish	36_Odontobutis_platycephala	151
ClaidentTutorial__Sample06__MiFish	19_Triphoturus_mexicanus	149
ClaidentTutorial__Sample06__MiFish	07_Acentrogobius_pflaumii	146
ClaidentTutorial__Sample06__MiFish	42_unidentified_Bovichtus	124
ClaidentTutorial__Sample06__MiFish	08_Rhinichthys_atratulus	50
ClaidentTutorial__Sample06__MiFish	28_unidentified_Cyprinidae	1
ClaidentTutorial__Sample07__MiFish	51_others	4477
ClaidentTutorial__Sample07__MiFish	01_unidentified_Tetraodontidae	342
ClaidentTutorial__Sample07__MiFish	05_unidentified_Eleotris	329
ClaidentTutorial__Sample07__MiFish	23_unidentified_Luciosoma	320
ClaidentTutorial__Sample07__MiFish	17_unidentified_Gymnorhamphichthys	279
ClaidentTutorial__Sample07__MiFish	24_unidentified_Campylomormyrus	262
ClaidentTutorial__Sample07__MiFish	19_Triphoturus_mexicanus	253
ClaidentTutorial__Sample07__MiFish	18_unidentified_Stolephorus	233
ClaidentTutorial__Sample07__MiFish	08_Rhinichthys_atratulus	223
ClaidentTutorial__Sample07__MiFish	16_unidentified_Rhaphiodontinae	216
ClaidentTutorial__Sample07__MiFish	03_Kaupichthys_hyoproroides	209
ClaidentTutorial__Sample07__MiFish	07_Acentrogobius_pflaumii	200
ClaidentTutorial__Sample07__MiFish	48_unidentified_Cottiusculus	198
ClaidentTutorial__Sample07__MiFish	36_Odontobutis_platycephala	192
ClaidentTutorial__Sample07__MiFish	32_unidentified_Coilinae	187
ClaidentTutorial__Sample07__MiFish	11_unidentified_Pterois	181
ClaidentTutorial__Sample07__MiFish	49_unidentified_Osteobrama	181
ClaidentTutorial__Sample07__MiFish	37_unidentified_Glyptosterninae	176
ClaidentTutorial__Sample07__MiFish	06_Squalogadus_modificatus	174
ClaidentTutorial__Sample07__MiFish	09_unidentified_Opsaridium	174
ClaidentTutorial__Sample07__MiFish	04_Uranoscopus_cognatus	167
ClaidentTutorial__Sample07__MiFish	34_unidentified_Muraeninae	165
ClaidentTutorial__Sample07__MiFish	30_Amia_calva	162
ClaidentTutorial__Sample07__MiFish	42_unidentified_Bovichtus	150
ClaidentTutorial__Sample07__MiFish	39_Spratelloides_delicatulus	134
ClaidentTutorial__Sample07__MiFish	21_unidentified_Gobionellinae	128
ClaidentTutorial__Sample07__MiFish	20_unidentified_Salminus	92
ClaidentTutorial__Sample07__MiFish	40_Benthodesmus_tenuis	45
ClaidentTutorial__Sample07__MiFish	27_unidentified_Branchiostegus	3
ClaidentTutorial__Sample07__MiFish	35_unidentified_Tariqilabeo	1
ClaidentTutorial__Sample08__MiFish	51_others	3895
ClaidentTutorial__Sample08__MiFish	01_unidentified_Tetraodontidae	486
ClaidentTutorial__Sample08__MiFish	24_unidentified_Campylomormyrus	287
ClaidentTutorial__Sample08__MiFish	13_Doryichthys_boaja	279
ClaidentTutorial__Sample08__MiFish	27_unidentified_Branchiostegus	265
ClaidentTutorial__Sample08__MiFish	23_unidentified_Luciosoma	252
ClaidentTutorial__Sample08__MiFish	08_Rhinichthys_atratulus	248
ClaidentTutorial__Sample08__MiFish	17_unidentified_Gymnorhamphichthys	225
ClaidentTutorial__Sample08__MiFish	18_unidentified_Stolephorus	218
ClaidentTutorial__Sample08__MiFish	32_unidentified_Coilinae	218
ClaidentTutorial__Sample08__MiFish	11_unidentified_Pterois	208
ClaidentTutorial__Sample08__MiFish	19_Triphoturus_mexicanus	208
ClaidentTutorial__Sample08__MiFish	40_Benthodesmus_tenuis	208
ClaidentTutorial__Sample08__MiFish	09_unidentified_Opsaridium	203
ClaidentTutorial__Sample08__MiFish	37_unidentified_Glyptosterninae	196
ClaidentTutorial__Sample08__MiFish	29_unidentified_Callionymidae	189
ClaidentTutorial__Sample08__MiFish	42_unidentified_Bovichtus	189
ClaidentTutorial__Sample08__MiFish	05_unidentified_Eleotris	188
ClaidentTutorial__Sample08__MiFish	20_unidentified_Salminus	177
ClaidentTutorial__Sample08__MiFish	36_Odontobutis_platycephala	175
ClaidentTutorial__Sample08__MiFish	34_unidentified_Muraeninae	174
ClaidentTutorial__Sample08__MiFish	06_Squalogadus_modificatus	172
ClaidentTutorial__Sample08__MiFish	16_unidentified_Rhaphiodontinae	170
ClaidentTutorial__Sample08__MiFish	21_unidentified_Gobionellinae	170
