query	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	genus	subgenus	section	subsection	series	species group	species subgroup	species	subspecies	varietas	forma	forma specialis	strain	isolate
otu_001	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Danionidae	Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae	unidentified Danioninae
otu_002	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Atherinomorphae	Atherinomorphae	Cyprinodontiformes	Cyprinodontoidei	Poeciliidae	Poeciliidae	Poeciliidae	Poeciliidae	Poeciliinae	Xiphophorus	Xiphophorus	Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus	unidentified Xiphophorus
otu_003	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Acheilognathidae	Acheilognathidae	Acheilognathidae	Acheilognathidae	Rhodeus	Rhodeus	Rhodeus	Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus	unidentified Rhodeus
otu_004	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Paralichthyidae	Paralichthyidae	Paralichthyidae	Paralichthyidae	Pseudorhombus	Pseudorhombus	Pseudorhombus	Pseudorhombus	Pseudorhombus dupliciocellatus	Pseudorhombus dupliciocellatus	Pseudorhombus dupliciocellatus	Pseudorhombus dupliciocellatus	Pseudorhombus dupliciocellatus	Pseudorhombus dupliciocellatus	Pseudorhombus dupliciocellatus	unidentified Pseudorhombus dupliciocellatus	unidentified Pseudorhombus dupliciocellatus	unidentified Pseudorhombus dupliciocellatus	unidentified Pseudorhombus dupliciocellatus	unidentified Pseudorhombus dupliciocellatus	unidentified Pseudorhombus dupliciocellatus
otu_005	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Myctophiformes	Myctophiformes	Myctophiformes	Myctophidae	Myctophidae	Myctophidae	Myctophidae	Myctophidae	Electrona	Electrona	Electrona	Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona	unidentified Electrona
otu_006	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Samaridae	Samaridae	Samaridae	Samaridae	Samariscus	Samariscus	Samariscus	Samariscus	Samariscus latus	Samariscus latus	Samariscus latus	Samariscus latus	Samariscus latus	Samariscus latus	Samariscus latus	unidentified Samariscus latus	unidentified Samariscus latus	unidentified Samariscus latus	unidentified Samariscus latus	unidentified Samariscus latus	unidentified Samariscus latus
otu_007	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Elopiformes	Elopiformes	Elopiformes	Elopiformes	Elopidae	Elopidae	Elopidae	Elopidae	Elopidae	Elops	Elops	Elops	Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops	unidentified Elops
otu_008	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Characiphysae	Siluriformes	Siluroidei	Claroteidae	Claroteidae	Claroteidae	Claroteidae	Chrysichthys	Chrysichthys	Chrysichthys	Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys	unidentified Chrysichthys
otu_009	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Scombriformes	Scombriformes	Scombriformes	Arripidae	Arripidae	Arripidae	Arripidae	Arripidae	Arripis	Arripis	Arripis	Arripis	Arripis trutta	Arripis trutta	Arripis trutta	Arripis trutta	Arripis trutta	Arripis trutta	Arripis trutta	unidentified Arripis trutta	unidentified Arripis trutta	unidentified Arripis trutta	unidentified Arripis trutta	unidentified Arripis trutta	unidentified Arripis trutta
otu_010	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Clupei	Clupeiformes	Clupeiformes	Clupeoidei	Clupeidae	Clupeidae	Clupeidae	Clupeidae	Spratelloidinae	Jenkinsia	Jenkinsia	Jenkinsia	Jenkinsia lamprotaenia	Jenkinsia lamprotaenia	Jenkinsia lamprotaenia	Jenkinsia lamprotaenia	Jenkinsia lamprotaenia	Jenkinsia lamprotaenia	Jenkinsia lamprotaenia	unidentified Jenkinsia lamprotaenia	unidentified Jenkinsia lamprotaenia	unidentified Jenkinsia lamprotaenia	unidentified Jenkinsia lamprotaenia	unidentified Jenkinsia lamprotaenia	unidentified Jenkinsia lamprotaenia
