200400 reads, max len 118, avg 117.0

Length         MaxEE 0.50         MaxEE 1.00         MaxEE 2.00
------   ----------------   ----------------   ----------------
     5     200390(100.0%)     200400(100.0%)     200400(100.0%)
    10     200226( 99.9%)     200400(100.0%)     200400(100.0%)
    15     198604( 99.1%)     200392(100.0%)     200400(100.0%)
    20     197452( 98.5%)     200370(100.0%)     200400(100.0%)
    25     196058( 97.8%)     200311(100.0%)     200400(100.0%)
    30     194614( 97.1%)     200239( 99.9%)     200400(100.0%)
    35     192615( 96.1%)     200046( 99.8%)     200400(100.0%)
    40     188370( 94.0%)     199592( 99.6%)     200400(100.0%)
    45     183345( 91.5%)     198850( 99.2%)     200398(100.0%)
    50     177591( 88.6%)     197837( 98.7%)     200393(100.0%)
    55     170530( 85.1%)     196330( 98.0%)     200380(100.0%)
    60     162721( 81.2%)     194583( 97.1%)     200363(100.0%)
    65     153508( 76.6%)     192229( 95.9%)     200336(100.0%)
    70     143238( 71.5%)     189530( 94.6%)     200285( 99.9%)
    75     131466( 65.6%)     185836( 92.7%)     200211( 99.9%)
    80     117817( 58.8%)     180686( 90.2%)     200050( 99.8%)
    85     103711( 51.8%)     174743( 87.2%)     199810( 99.7%)
    90      89225( 44.5%)     168117( 83.9%)     199466( 99.5%)
    95      75147( 37.5%)     160529( 80.1%)     198959( 99.3%)
   100      61260( 30.6%)     151438( 75.6%)     198249( 98.9%)
   105      48695( 24.3%)     141371( 70.5%)     197129( 98.4%)
   110      37508( 18.7%)     130284( 65.0%)     195601( 97.6%)
   115      27910( 13.9%)     118044( 58.9%)     193550( 96.6%)
