270900 reads, max len 124, avg 123.0

Length         MaxEE 0.50         MaxEE 1.00         MaxEE 2.00
------   ----------------   ----------------   ----------------
     5     270900(100.0%)     270900(100.0%)     270900(100.0%)
    10     270889(100.0%)     270900(100.0%)     270900(100.0%)
    15     270860(100.0%)     270900(100.0%)     270900(100.0%)
    20     270853(100.0%)     270900(100.0%)     270900(100.0%)
    25     270693( 99.9%)     270900(100.0%)     270900(100.0%)
    30     269567( 99.5%)     270898(100.0%)     270900(100.0%)
    35     269091( 99.3%)     270894(100.0%)     270900(100.0%)
    40     268522( 99.1%)     270890(100.0%)     270900(100.0%)
    45     268218( 99.0%)     270890(100.0%)     270900(100.0%)
    50     267835( 98.9%)     270888(100.0%)     270900(100.0%)
    55     267222( 98.6%)     270880(100.0%)     270900(100.0%)
    60     266869( 98.5%)     270876(100.0%)     270900(100.0%)
    65     266550( 98.4%)     270860(100.0%)     270900(100.0%)
    70     266232( 98.3%)     270847(100.0%)     270900(100.0%)
    75     265959( 98.2%)     270833(100.0%)     270900(100.0%)
    80     265748( 98.1%)     270809(100.0%)     270900(100.0%)
    85     265445( 98.0%)     270775(100.0%)     270900(100.0%)
    90     264965( 97.8%)     270734( 99.9%)     270900(100.0%)
    95     264258( 97.5%)     270661( 99.9%)     270900(100.0%)
   100     263193( 97.2%)     270580( 99.9%)     270900(100.0%)
   105     261595( 96.6%)     270461( 99.8%)     270900(100.0%)
   110     259290( 95.7%)     270312( 99.8%)     270900(100.0%)
   115     255987( 94.5%)     270105( 99.7%)     270900(100.0%)
   120     251582( 92.9%)     269897( 99.6%)     270900(100.0%)
