samplename	denoised_001	denoised_002	denoised_003	denoised_004	denoised_005	denoised_006	denoised_007	denoised_008	denoised_009	denoised_010	denoised_011	denoised_012	denoised_013	denoised_014	denoised_015	denoised_016	denoised_017	denoised_018	denoised_019	denoised_020	denoised_021	denoised_022	denoised_023	denoised_024	denoised_025	denoised_026	denoised_027	denoised_028	denoised_029	denoised_030	denoised_031	denoised_032	denoised_033	denoised_034	denoised_035	denoised_036	denoised_037	denoised_038	denoised_039	denoised_040	denoised_041	denoised_042	denoised_043	denoised_044	denoised_045	denoised_046	denoised_047	denoised_048	denoised_049	denoised_050	denoised_051	denoised_052	denoised_053	denoised_054	denoised_055	denoised_056	denoised_057	denoised_058	denoised_059	denoised_060	denoised_061	denoised_062	denoised_063	denoised_064	denoised_065	denoised_066	denoised_067	denoised_068	denoised_069	denoised_070	denoised_071	denoised_072	denoised_073	denoised_074	denoised_075	denoised_076	denoised_077	denoised_078	denoised_079	denoised_080	denoised_081	denoised_082	denoised_083	denoised_084	denoised_085	denoised_086	denoised_087	denoised_088	denoised_089	denoised_090	denoised_091	denoised_092	denoised_093	denoised_094	denoised_095	denoised_096	denoised_097	denoised_098	denoised_099	denoised_100	denoised_101	denoised_102	denoised_103	denoised_104	denoised_105	denoised_106	denoised_107	denoised_108	denoised_109	denoised_110	denoised_111	denoised_112	denoised_113	denoised_114	denoised_115	denoised_116	denoised_117	denoised_118	denoised_119	denoised_120	denoised_121	denoised_122	denoised_123	denoised_124	denoised_125	denoised_126	denoised_127	denoised_128	denoised_129	denoised_130	denoised_131	denoised_132	denoised_133	denoised_134	denoised_135	denoised_136	denoised_137	denoised_138	denoised_139	denoised_140	denoised_141	denoised_142	denoised_143	denoised_144	denoised_145	denoised_146	denoised_147	denoised_148	denoised_149	denoised_150	denoised_151	denoised_152	denoised_153	denoised_154	denoised_155	denoised_156	denoised_157	denoised_158	denoised_159	denoised_160	denoised_161	denoised_162	denoised_163	denoised_164	denoised_165	denoised_166	denoised_167	denoised_168	denoised_169	denoised_170	denoised_171	denoised_172	denoised_173	denoised_174	denoised_175	denoised_176	denoised_177	denoised_178	denoised_179	denoised_180	denoised_181	denoised_182	denoised_183	denoised_184	denoised_185	denoised_186	denoised_187	denoised_188	denoised_189	denoised_190	denoised_191	denoised_192	denoised_193	denoised_194	denoised_195	denoised_196	denoised_197	denoised_198	denoised_199	denoised_200	denoised_201	denoised_202	denoised_203	denoised_204	denoised_205	denoised_206	denoised_207	denoised_208	denoised_209	denoised_210	denoised_211	denoised_212	denoised_213	denoised_214	denoised_215	denoised_216	denoised_217	denoised_218	denoised_219	denoised_220
ClaidentTutorial__Blank01__MiFish	49	50	52	50	51	50	51	55	55	48	51	49	50	50	50	49	50	51	51	49	50	48	50	50	51	49	54	49	49	48	48	50	49	54	50	46	52	48	49	47	48	45	51	47	50	55	51	51	51	49	52	51	50	49	50	47	49	50	50	48	50	49	52	47	51	52	49	52	49	48	51	49	49	50	50	49	49	49	53	50	49	50	50	52	51	49	50	51	50	49	49	52	49	49	51	47	51	50	51	50	49	50	48	50	50	52	48	50	46	52	50	49	47	50	52	49	51	49	50	50	50	49	50	49	49	49	49	50	50	50	53	48	51	51	50	51	49	49	49	50	49	49	50	50	50	50	50	50	50	50	49	51	50	50	50	49	49	51	50	51	50	50	51	50	51	49	49	49	48	50	50	49	50	48	50	48	50	49	51	49	49	49	48	49	50	50	51	50	48	49	50	49	49	49	50	50	48	50	50	49	49	48	50	48	48	49	49	49	53	48	48	50	50	50	50	49	48	49	49	49
ClaidentTutorial__Blank02__MiFish	51	50	52	49	49	51	51	51	48	50	51	50	51	54	51	50	49	54	51	48	51	50	51	50	51	49	49	51	48	51	48	46	46	51	53	50	53	50	48	49	50	51	50	50	47	49	49	50	51	49	50	48	49	48	51	50	50	49	49	50	48	49	52	49	49	48	50	51	49	49	49	49	49	51	49	49	52	48	51	50	50	48	49	48	49	50	50	50	49	51	49	50	48	49	49	49	48	48	50	49	51	49	50	49	50	50	50	52	50	48	50	49	50	48	50	49	50	50	50	51	50	50	50	48	51	50	50	49	50	49	51	52	50	48	50	50	48	50	50	48	50	50	49	52	47	53	50	49	50	50	49	52	51	51	49	50	49	49	50	52	52	50	50	48	48	49	50	51	50	49	48	49	50	47	49	49	50	49	52	49	50	50	47	50	50	50	50	50	50	49	50	50	51	50	50	49	51	49	50	52	50	50	49	50	48	49	50	50	49	50	50	46	49	48	50	48	51	50	48	51
ClaidentTutorial__Blank03__MiFish	50	51	50	53	49	52	53	52	50	49	53	51	52	54	48	51	48	50	50	50	49	49	49	50	51	49	47	48	48	49	49	50	50	50	49	48	49	50	49	50	50	50	49	50	49	51	51	50	52	49	52	50	49	51	50	49	50	50	49	51	51	50	51	50	50	50	48	52	50	50	49	53	50	51	50	50	52	48	52	51	51	50	49	53	54	50	46	49	49	49	50	52	49	49	50	50	49	48	50	49	49	50	50	48	49	50	49	49	48	50	50	50	49	49	50	49	51	51	49	50	49	50	50	49	49	49	51	50	50	50	51	51	50	50	48	50	50	49	50	50	51	47	50	50	50	49	49	48	50	50	50	48	51	49	49	49	49	51	50	49	49	49	47	48	49	49	50	52	49	48	49	50	49	49	51	51	50	47	49	49	49	50	49	50	48	50	51	49	49	53	50	49	50	49	49	50	49	50	50	49	49	50	48	48	50	50	50	49	49	50	50	50	47	49	50	51	49	49	50	50
ClaidentTutorial__Blank04__MiFish	50	52	50	52	50	50	50	50	54	49	51	50	50	50	49	50	49	48	53	50	51	50	47	50	49	49	49	50	49	49	48	50	50	50	50	49	54	51	49	50	50	48	49	50	50	50	52	51	50	48	54	50	50	50	50	51	49	48	49	50	51	50	50	51	48	49	51	50	50	47	50	50	47	50	50	50	51	49	51	52	51	50	50	50	50	49	48	50	50	51	51	50	51	50	50	51	48	51	52	50	50	48	49	51	50	49	49	50	48	51	49	51	49	50	50	50	49	50	48	50	50	49	51	50	50	48	50	49	48	49	53	49	49	50	49	47	50	48	50	51	49	52	48	50	49	50	50	49	48	50	49	51	50	48	49	50	49	53	50	49	49	48	47	48	51	49	49	52	50	49	50	50	50	50	52	47	45	50	51	51	48	49	47	51	48	50	49	50	48	50	49	50	49	49	49	49	49	49	48	49	49	50	51	50	50	50	50	48	48	48	50	50	50	50	50	48	49	50	50	48
ClaidentTutorial__Sample01__MiFish	492	0	496	0	0	494	0	0	0	0	0	0	0	0	497	0	0	0	0	7	0	491	0	495	489	0	496	492	0	500	4	493	0	0	0	492	0	0	496	0	0	496	0	501	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	497	1	0	493	0	0	0	0	493	0	495	0	0	0	0	0	0	0	491	0	0	0	0	0	492	0	494	0	0	0	0	0	495	495	0	498	0	490	493	0	0	0	490	0	0	0	0	493	0	0	0	491	0	488	0	0	0	0	0	0	0	6	0	0	486	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	496	493	492	0	0	0	0	0	0	0	0	0	0	0	491	0	485	0	0	0	0	495	0	494	0	0	496	0	491	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	489	491	491	0	495	0	0	0	0	487
ClaidentTutorial__Sample02__MiFish	494	493	495	0	0	492	0	0	6	497	0	0	0	0	495	0	7	0	0	487	0	500	0	495	493	496	488	497	0	498	492	499	0	0	0	493	0	0	499	0	488	497	0	495	0	0	0	0	0	0	0	0	0	494	0	493	0	0	0	0	0	6	0	0	495	0	0	0	0	0	0	0	489	0	494	496	0	0	0	0	0	0	486	0	0	0	0	0	493	0	493	0	0	496	0	0	493	495	0	491	0	492	498	0	0	0	492	0	0	0	0	490	0	0	0	494	0	498	494	0	0	0	0	0	0	0	0	0	491	0	0	0	0	3	0	0	0	0	0	0	494	0	0	0	0	0	0	486	494	491	0	0	0	0	0	0	0	0	0	0	0	490	0	496	0	0	0	0	495	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	499	492	494	0	493	496	0	0	0	490	0	0	0	0	495	0	485	0	0	496	0	491	0	496	496	496	494	493	0	496	498	489	3	0	0	493	0	487	496	4	493	494	0	495	0	0	0	0	0	0	0	0	0	498	0	494	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	499	0	0	0	0	0	0	492	0	0	0	0	0	497	0	494	0	0	493	0	492	488	493	0	492	0	495	492	0	0	0	496	0	0	0	0	498	492	0	0	498	0	492	491	0	486	492	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	493	496	498	0	491	0	0	496	0	495	0	0	0	0	496	490	493	0	0	490	0	503	0	492	0	493	497	497	0	493	498	498	0	0	0	492	0	487	494	0	490	494	0	493	0	0	0	492	0	0	0	0	0	492	0	0	0	493	495	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	498	493	0	0	0	0	0	0	494	0	0	2	0	0	492	0	493	0	490	494	0	495	497	494	0	495	0	486	492	498	0	0	0	0	0	0	0	0	495	0	0	0	0	0	493	0	491	494	0	2	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	490	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	498	497	492	0	502	0	0	494	0	498	0	0	0	0	497	495	496	0	0	488	0	496	0	494	0	496	498	496	0	496	494	495	3	0	0	492	0	492	492	494	497	487	0	493	0	0	0	491	0	0	0	0	0	494	496	0	495	495	496	0	0	492	0	0	0	4	0	0	0	2	0	0	0	0	494	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	494	488	495	0	0	0	4	495	0	0	498	0	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	492	489	0	0	0	488	0	0	0	493	0	0	0	0	0	0	0	0	0	0	2	0	496	0	0	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	2	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	493	493	496	491	495	0	500	493	0	492	0	0	0	0	494	490	496	0	0	495	0	495	0	496	0	497	0	488	493	488	495	495	0	0	0	497	0	492	494	497	497	496	0	497	0	0	0	491	0	0	0	490	0	494	491	0	493	485	485	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	492	0	493	493	0	0	0	0	491	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	494	0	0	0	0	4	0	0	0	494	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	488	490	0	0	0	0	0	0	0	0	1	0	0	0	0	0
