samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209
ClaidentTutorial__Sample01__MiFish	247	0	250	0	247	247	0	0	248	0	249	0	0	0	0	0	243	0	248	247	247	250	0	0	0	249	0	0	248	248	0	0	0	0	0	0	0	0	249	0	0	0	251	0	0	0	250	0	0	0	0	0	245	0	248	0	246	0	0	0	247	247	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	245	0	0	0	0	247	0	0	247	0	246	246	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	245	0	0	0	0	247	0	0	243	0	0	0	0	0	0	0	240	0	0	0	0	0	0	250	0	0	0	0	246	0	0	0	245	0	246	0	243	0	0	0	0	0	250	0	0	0	0	0	0	248	0	0	0	0	0	247	247	0	247	0	0	247	0	0	0	0	246	0	0	0	245	0	0	0	245	244	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	242	0	249	0	250	247	0	0	251	0	246	247	0	0	0	0	244	0	245	245	250	250	0	0	0	251	0	0	245	244	0	0	0	0	0	0	0	247	247	0	0	0	247	0	0	0	246	0	0	0	0	0	239	247	247	0	247	0	0	0	245	247	0	0	0	247	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	246	0	0	0	0	250	0	0	245	0	246	248	0	0	0	0	0	0	246	0	0	245	0	0	0	0	0	0	0	0	250	0	0	0	248	0	0	0	249	0	0	0	0	245	0	0	246	0	0	0	0	0	0	0	242	0	0	0	0	247	0	244	0	0	0	0	246	0	0	0	247	0	245	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	244	243	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	248	245	247	0	250	247	244	0	250	0	248	241	0	0	0	0	247	0	245	0	247	248	246	0	0	250	0	0	247	246	0	0	0	0	0	0	0	251	0	0	0	0	245	0	0	0	247	0	0	0	0	0	249	247	247	0	252	0	0	0	247	247	0	0	0	247	244	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	244	0	0	0	0	251	0	0	248	0	249	246	0	0	0	0	0	0	247	0	0	247	0	245	0	0	0	0	0	0	249	0	243	245	244	0	0	247	245	0	0	0	0	245	0	0	247	0	0	0	0	0	0	0	248	0	0	0	0	247	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	245	247	248	252	247	249	247	0	249	0	250	249	0	0	0	0	0	250	248	0	246	247	248	0	0	249	0	0	246	250	0	0	0	0	0	0	0	249	0	0	0	0	246	0	0	0	244	0	0	0	0	0	249	246	251	0	247	0	0	0	246	244	0	0	0	243	248	0	250	0	0	0	248	246	0	0	0	0	0	0	247	0	0	244	247	247	0	0	247	244	0	0	249	0	246	0	0	0	0	0	0	0	244	0	0	244	0	245	0	0	0	0	0	0	244	0	0	248	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	246	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	247	250	246	250	249	248	254	0	242	248	249	248	247	0	0	247	0	249	249	0	247	248	248	0	0	246	0	0	249	245	0	249	0	0	0	0	0	242	0	0	0	246	248	0	0	0	246	0	0	0	0	0	246	241	248	0	244	0	0	0	0	249	243	0	0	247	245	246	248	0	0	0	248	247	0	0	0	0	0	0	243	0	0	249	248	249	0	249	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	248	248	247	248	251	252	252	0	247	243	246	252	250	0	246	245	0	247	249	0	249	246	249	0	0	248	0	0	250	242	0	247	0	0	0	0	0	247	0	0	0	247	247	0	0	244	247	0	0	0	0	0	243	247	247	0	246	0	0	0	0	0	248	0	0	245	250	247	249	0	0	0	0	246	0	0	0	0	0	0	248	0	244	0	0	0	0	250	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	241	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	248	250	247	247	248	250	247	248	247	244	247	249	249	249	248	250	249	250	249	0	247	246	252	0	0	243	0	0	249	0	0	246	0	0	0	0	0	246	0	0	0	248	245	0	0	245	245	0	0	0	0	0	248	241	0	248	0	0	0	248	247	0	0	0	0	0	0	244	0	248	0	0	0	248	0	0	0	0	0	0	248	0	249	0	0	0	0	0	248	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	243	0	0	0	245	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	249	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	247	245	249	247	245	249	246	245	244	242	250	246	248	250	244	244	254	245	0	0	248	248	247	0	0	246	0	0	247	0	0	246	0	0	249	247	0	247	0	0	0	243	0	0	0	248	0	0	0	0	0	0	0	0	0	248	0	0	0	245	248	0	0	0	0	0	0	248	0	245	0	0	0	248	0	0	0	0	0	242	246	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	247	0	0	0	0	249	0	0	0	251	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	241
ClaidentTutorial__Sample09__MiFish	248	250	247	250	245	246	246	247	249	249	245	251	247	247	247	247	245	248	0	0	246	247	245	0	246	250	0	0	244	0	0	244	0	0	251	249	0	246	250	0	0	250	0	0	0	246	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	249	0	0	0	0	0	246	0	0	0	245	0	0	248	0	0	0	0	0	0	0	0	246	0	0	0	0	0	248	0	245	0	0	0	0	248	0	0	0	244	245	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	242	0	245	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	242	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	251	246	249	242	248	247	249	246	238	243	249	247	248	244	247	247	246	252	246	242	246	248	245	0	248	0	0	0	0	0	0	248	0	0	243	246	0	0	246	0	0	247	0	0	0	247	0	247	0	242	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	250	0	0	0	251	0	0	248	0	0	0	0	0	0	0	0	248	0	248	0	246	0	245	0	247	0	0	0	0	0	0	0	242	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	246	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample11__MiFish	247	246	251	241	244	247	244	244	249	246	246	247	250	250	247	243	242	246	249	0	246	0	247	242	245	0	0	0	0	0	246	245	0	0	0	248	0	0	246	0	0	249	0	0	0	246	0	246	0	0	0	250	0	0	0	249	0	0	246	0	0	0	0	247	240	0	0	0	0	247	0	0	0	0	0	241	0	0	246	247	0	0	0	0	0	0	0	0	0	0	0	246	0	246	0	0	0	0	0	246	0	0	0	0	0	0	0	249	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	247	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample12__MiFish	249	251	248	247	249	246	242	247	251	255	248	248	242	246	0	250	244	246	247	0	0	0	248	245	248	0	244	248	0	0	245	245	0	0	0	246	0	0	250	0	246	0	0	0	0	250	0	244	0	0	245	247	0	0	0	249	0	0	245	0	0	0	0	247	247	0	0	0	0	0	0	0	0	0	246	248	0	0	245	247	0	0	0	0	0	0	0	0	0	0	0	249	0	251	0	0	248	0	0	0	0	0	0	245	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	244	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample13__MiFish	247	244	248	252	242	246	245	249	248	248	0	247	251	0	0	248	244	246	245	251	0	0	0	246	244	0	247	246	0	0	246	243	248	249	0	247	248	0	248	0	246	0	0	245	0	0	0	249	0	0	245	245	0	0	0	245	0	246	250	0	0	0	0	245	249	0	0	0	0	0	0	0	0	0	0	249	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	248	0	0	0	0	0	0	247	0	0	0	0	0	0	245	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample14__MiFish	249	243	248	245	248	247	245	249	240	245	0	0	245	0	243	246	245	247	0	247	0	0	0	250	248	0	251	247	0	0	246	0	244	248	0	246	242	0	0	249	250	0	0	247	246	0	0	244	250	246	248	246	0	0	0	247	0	244	246	0	0	0	0	247	249	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	246	0	0	0	0	249	0	0	0	0	0	0	0	0	0	246	0	0	246	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample15__MiFish	247	246	247	249	244	0	250	246	0	247	0	0	246	247	247	245	245	0	0	251	0	0	0	244	247	0	249	250	0	0	246	0	249	246	0	247	248	0	0	249	246	0	0	247	250	0	0	249	251	244	251	246	0	0	0	0	0	248	246	0	0	0	248	0	248	0	245	0	0	0	244	0	0	0	246	0	0	0	247	0	0	0	0	0	0	244	242	0	0	0	245	0	0	0	0	0	0	0	0	0	248	0	0	246	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample16__MiFish	244	248	247	245	0	0	247	248	0	250	0	0	248	244	245	243	0	0	0	245	0	0	0	251	246	0	248	247	0	0	248	0	250	245	243	0	248	0	0	244	248	0	0	249	247	0	0	0	245	248	249	244	0	0	0	0	0	248	248	0	0	0	249	0	244	0	243	0	0	0	0	250	0	0	242	0	249	248	0	0	0	249	0	0	0	242	240	0	0	0	247	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
