samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	001_Gobiidae	738
ClaidentTutorial__Sample01__MiFish	002_Clupeidae	745
ClaidentTutorial__Sample01__MiFish	003_Cichlidae	747
ClaidentTutorial__Sample01__MiFish	004_Cyprinidae	249
ClaidentTutorial__Sample01__MiFish	005_Cobitidae	246
ClaidentTutorial__Sample01__MiFish	007_Gastromyzontidae	247
ClaidentTutorial__Sample01__MiFish	008_Labridae	244
ClaidentTutorial__Sample01__MiFish	009_Danionidae	245
ClaidentTutorial__Sample01__MiFish	010_Nemacheilidae	487
ClaidentTutorial__Sample01__MiFish	011_Serranidae	741
ClaidentTutorial__Sample01__MiFish	017_unidentified_Osteoglossiformes	248
ClaidentTutorial__Sample01__MiFish	018_Bothidae	246
ClaidentTutorial__Sample01__MiFish	020_Cynoglossidae	490
ClaidentTutorial__Sample01__MiFish	021_Channidae	249
ClaidentTutorial__Sample01__MiFish	024_Hemiramphidae	248
ClaidentTutorial__Sample01__MiFish	027_Nemipteridae	247
ClaidentTutorial__Sample01__MiFish	030_Tetraodontidae	246
ClaidentTutorial__Sample01__MiFish	035_Doradidae	249
ClaidentTutorial__Sample01__MiFish	037_Nettastomatidae	248
ClaidentTutorial__Sample01__MiFish	040_Cepolidae	248
ClaidentTutorial__Sample01__MiFish	042_Characidae	247
ClaidentTutorial__Sample01__MiFish	044_Nothobranchiidae	247
ClaidentTutorial__Sample01__MiFish	047_Ophidiidae	247
ClaidentTutorial__Sample01__MiFish	054_Citharidae	245
ClaidentTutorial__Sample01__MiFish	056_Polymixiidae	248
ClaidentTutorial__Sample01__MiFish	062_Anostomidae	248
ClaidentTutorial__Sample01__MiFish	063_Sciaenidae	245
ClaidentTutorial__Sample01__MiFish	067_Cottidae	497
ClaidentTutorial__Sample01__MiFish	074_Aulopidae	245
ClaidentTutorial__Sample01__MiFish	075_Acropomatidae	247
ClaidentTutorial__Sample01__MiFish	076_Malacanthidae	247
ClaidentTutorial__Sample01__MiFish	083_Paralichthyidae	243
ClaidentTutorial__Sample01__MiFish	093_Botiidae	249
ClaidentTutorial__Sample01__MiFish	096_Callionymidae	247
ClaidentTutorial__Sample01__MiFish	104_Gigantactinidae	250
ClaidentTutorial__Sample01__MiFish	109_Lethrinidae	246
ClaidentTutorial__Sample01__MiFish	110_Citharinidae	246
ClaidentTutorial__Sample01__MiFish	111_Heterenchelyidae	243
ClaidentTutorial__Sample01__MiFish	123_Diceratiidae	247
ClaidentTutorial__Sample02__MiFish	001_Gobiidae	742
ClaidentTutorial__Sample02__MiFish	002_Clupeidae	249
ClaidentTutorial__Sample02__MiFish	003_Cichlidae	743
ClaidentTutorial__Sample02__MiFish	004_Cyprinidae	246
ClaidentTutorial__Sample02__MiFish	005_Cobitidae	247
ClaidentTutorial__Sample02__MiFish	006_Congridae	250
ClaidentTutorial__Sample02__MiFish	007_Gastromyzontidae	242
ClaidentTutorial__Sample02__MiFish	008_Labridae	248
ClaidentTutorial__Sample02__MiFish	010_Nemacheilidae	492
ClaidentTutorial__Sample02__MiFish	011_Serranidae	742
ClaidentTutorial__Sample02__MiFish	017_unidentified_Osteoglossiformes	251
ClaidentTutorial__Sample02__MiFish	020_Cynoglossidae	244
ClaidentTutorial__Sample02__MiFish	021_Channidae	494
ClaidentTutorial__Sample02__MiFish	022_Sparidae	247
ClaidentTutorial__Sample02__MiFish	024_Hemiramphidae	245
ClaidentTutorial__Sample02__MiFish	027_Nemipteridae	245
ClaidentTutorial__Sample02__MiFish	030_Tetraodontidae	248
ClaidentTutorial__Sample02__MiFish	032_Centrarchidae	244
ClaidentTutorial__Sample02__MiFish	035_Doradidae	251
ClaidentTutorial__Sample02__MiFish	037_Nettastomatidae	245
ClaidentTutorial__Sample02__MiFish	040_Cepolidae	244
ClaidentTutorial__Sample02__MiFish	044_Nothobranchiidae	245
ClaidentTutorial__Sample02__MiFish	045_Stromateidae	247
ClaidentTutorial__Sample02__MiFish	047_Ophidiidae	247
ClaidentTutorial__Sample02__MiFish	054_Citharidae	239
ClaidentTutorial__Sample02__MiFish	055_Pantodontidae	247
ClaidentTutorial__Sample02__MiFish	056_Polymixiidae	247
ClaidentTutorial__Sample02__MiFish	062_Anostomidae	247
ClaidentTutorial__Sample02__MiFish	063_Sciaenidae	249
ClaidentTutorial__Sample02__MiFish	067_Cottidae	246
ClaidentTutorial__Sample02__MiFish	074_Aulopidae	246
ClaidentTutorial__Sample02__MiFish	075_Acropomatidae	250
ClaidentTutorial__Sample02__MiFish	076_Malacanthidae	245
ClaidentTutorial__Sample02__MiFish	083_Paralichthyidae	246
ClaidentTutorial__Sample02__MiFish	084_Cetomimidae	245
