samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	043_Cephalopholis_argus	251
ClaidentTutorial__Sample01__MiFish	003_Sardina_pilchardus	250
ClaidentTutorial__Sample01__MiFish	022_unidentified_Oreochromini	250
ClaidentTutorial__Sample01__MiFish	047_unidentified_Chaetobranchopsis	250
ClaidentTutorial__Sample01__MiFish	145_Rhynchactis_macrothrix	250
ClaidentTutorial__Sample01__MiFish	164_unidentified_Cottiusculus	250
ClaidentTutorial__Sample01__MiFish	011_unidentified_Onychostoma	249
ClaidentTutorial__Sample01__MiFish	026_Amblydoras_gonzalezi	249
ClaidentTutorial__Sample01__MiFish	027_unidentified_Channa	249
ClaidentTutorial__Sample01__MiFish	120_unidentified_Syncrossus	249
ClaidentTutorial__Sample01__MiFish	009_unidentified_Osteoglossiformes	248
ClaidentTutorial__Sample01__MiFish	019_unidentified_Hyporhamphus	248
ClaidentTutorial__Sample01__MiFish	030_unidentified_Facciolella	248
ClaidentTutorial__Sample01__MiFish	032_Acanthocepola_krusensternii	248
ClaidentTutorial__Sample01__MiFish	055_Polymixia_japonica	248
ClaidentTutorial__Sample01__MiFish	064_unidentified_Megaleporinus	248
ClaidentTutorial__Sample01__MiFish	171_Clupeichthys_perakensis	248
ClaidentTutorial__Sample01__MiFish	001_unidentified_Gastromyzontidae	247
ClaidentTutorial__Sample01__MiFish	005_unidentified_Amblyopinae	247
ClaidentTutorial__Sample01__MiFish	006_unidentified_Symphysodon	247
ClaidentTutorial__Sample01__MiFish	020_Scolopsis_ciliata	247
ClaidentTutorial__Sample01__MiFish	021_unidentified_Homatula	247
ClaidentTutorial__Sample01__MiFish	060_unidentified_Carapus	247
ClaidentTutorial__Sample01__MiFish	062_Nothobranchius_kafuensis	247
ClaidentTutorial__Sample01__MiFish	090_Doederleinia_berycoides	247
ClaidentTutorial__Sample01__MiFish	091_Hoplolatilus_cuniculus	247
ClaidentTutorial__Sample01__MiFish	104_Trachidermus_fasciatus	247
ClaidentTutorial__Sample01__MiFish	128_unidentified_Callionymidae	247
ClaidentTutorial__Sample01__MiFish	176_unidentified_Characidae	247
ClaidentTutorial__Sample01__MiFish	177_Gudusia_chapra	247
ClaidentTutorial__Sample01__MiFish	179_unidentified_Symphurus	247
ClaidentTutorial__Sample01__MiFish	181_unidentified_Diceratiidae	247
ClaidentTutorial__Sample01__MiFish	057_unidentified_Sabanejewia	246
ClaidentTutorial__Sample01__MiFish	095_Acentrogobius_pflaumii	246
ClaidentTutorial__Sample01__MiFish	096_unidentified_Tetraodontidae	246
ClaidentTutorial__Sample01__MiFish	154_Monotaxis_grandoculis	246
ClaidentTutorial__Sample01__MiFish	156_Ichthyborus_ornatus	246
ClaidentTutorial__Sample01__MiFish	188_unidentified_Laeops	246
ClaidentTutorial__Sample01__MiFish	053_Lepidoblepharon_ophthalmolepis	245
ClaidentTutorial__Sample01__MiFish	084_Plectropomus_areolatus	245
ClaidentTutorial__Sample01__MiFish	085_unidentified_Hime	245
ClaidentTutorial__Sample01__MiFish	123_unidentified_Sciaenidae	245
ClaidentTutorial__Sample01__MiFish	152_Anyperodon_leucogrammicus	245
ClaidentTutorial__Sample01__MiFish	195_Danio_rerio	245
ClaidentTutorial__Sample01__MiFish	196_Mugilogobius_chulae	245
ClaidentTutorial__Sample01__MiFish	199_Halichoeres_tenuispinis	244
ClaidentTutorial__Sample01__MiFish	017_Cynoglossus_abbreviatus	243
ClaidentTutorial__Sample01__MiFish	131_unidentified_Pseudorhombus	243
ClaidentTutorial__Sample01__MiFish	157_Pythonichthys_microphthalmus	243
ClaidentTutorial__Sample01__MiFish	139_Triplophysa_rosa	240
ClaidentTutorial__Sample02__MiFish	027_unidentified_Channa	494
ClaidentTutorial__Sample02__MiFish	009_unidentified_Osteoglossiformes	251
ClaidentTutorial__Sample02__MiFish	026_Amblydoras_gonzalezi	251
ClaidentTutorial__Sample02__MiFish	005_unidentified_Amblyopinae	250
ClaidentTutorial__Sample02__MiFish	021_unidentified_Homatula	250
ClaidentTutorial__Sample02__MiFish	022_unidentified_Oreochromini	250
ClaidentTutorial__Sample02__MiFish	090_Doederleinia_berycoides	250
ClaidentTutorial__Sample02__MiFish	115_unidentified_Heterocongrinae	250
ClaidentTutorial__Sample02__MiFish	003_Sardina_pilchardus	249
ClaidentTutorial__Sample02__MiFish	123_unidentified_Sciaenidae	249
ClaidentTutorial__Sample02__MiFish	069_Halichoeres_hartzfeldii	248
ClaidentTutorial__Sample02__MiFish	084_Plectropomus_areolatus	248
ClaidentTutorial__Sample02__MiFish	096_unidentified_Tetraodontidae	248
ClaidentTutorial__Sample02__MiFish	120_unidentified_Syncrossus	248
ClaidentTutorial__Sample02__MiFish	006_unidentified_Symphysodon	247
ClaidentTutorial__Sample02__MiFish	012_Pagellus_bogaraveo	247
ClaidentTutorial__Sample02__MiFish	039_unidentified_Pampus	247
ClaidentTutorial__Sample02__MiFish	043_Cephalopholis_argus	247
ClaidentTutorial__Sample02__MiFish	054_Pantodon_buchholzi	247
ClaidentTutorial__Sample02__MiFish	055_Polymixia_japonica	247
ClaidentTutorial__Sample02__MiFish	057_unidentified_Sabanejewia	247
ClaidentTutorial__Sample02__MiFish	060_unidentified_Carapus	247
ClaidentTutorial__Sample02__MiFish	064_unidentified_Megaleporinus	247
ClaidentTutorial__Sample02__MiFish	152_Anyperodon_leucogrammicus	247
ClaidentTutorial__Sample02__MiFish	157_Pythonichthys_microphthalmus	247
ClaidentTutorial__Sample02__MiFish	011_unidentified_Onychostoma	246
ClaidentTutorial__Sample02__MiFish	047_unidentified_Chaetobranchopsis	246
ClaidentTutorial__Sample02__MiFish	085_unidentified_Hime	246
ClaidentTutorial__Sample02__MiFish	095_Acentrogobius_pflaumii	246
ClaidentTutorial__Sample02__MiFish	104_Trachidermus_fasciatus	246
ClaidentTutorial__Sample02__MiFish	131_unidentified_Pseudorhombus	246
ClaidentTutorial__Sample02__MiFish	154_Monotaxis_grandoculis	246
ClaidentTutorial__Sample02__MiFish	191_Acentrogobius_caninus	246
ClaidentTutorial__Sample02__MiFish	019_unidentified_Hyporhamphus	245
ClaidentTutorial__Sample02__MiFish	020_Scolopsis_ciliata	245
ClaidentTutorial__Sample02__MiFish	030_unidentified_Facciolella	245
ClaidentTutorial__Sample02__MiFish	062_Nothobranchius_kafuensis	245
ClaidentTutorial__Sample02__MiFish	091_Hoplolatilus_cuniculus	245
ClaidentTutorial__Sample02__MiFish	103_Procetichthys_kreffti	245
ClaidentTutorial__Sample02__MiFish	128_unidentified_Callionymidae	245
ClaidentTutorial__Sample02__MiFish	156_Ichthyborus_ornatus	245
ClaidentTutorial__Sample02__MiFish	017_Cynoglossus_abbreviatus	244
ClaidentTutorial__Sample02__MiFish	032_Acanthocepola_krusensternii	244
ClaidentTutorial__Sample02__MiFish	145_Rhynchactis_macrothrix	244
ClaidentTutorial__Sample02__MiFish	200_unidentified_Lepomis	244
ClaidentTutorial__Sample02__MiFish	203_Ateleopus_japonicus	243
ClaidentTutorial__Sample02__MiFish	001_unidentified_Gastromyzontidae	242
ClaidentTutorial__Sample02__MiFish	139_Triplophysa_rosa	242
ClaidentTutorial__Sample02__MiFish	053_Lepidoblepharon_ophthalmolepis	239
ClaidentTutorial__Sample03__MiFish	057_unidentified_Sabanejewia	252
ClaidentTutorial__Sample03__MiFish	039_unidentified_Pampus	251
ClaidentTutorial__Sample03__MiFish	090_Doederleinia_berycoides	251
ClaidentTutorial__Sample03__MiFish	005_unidentified_Amblyopinae	250
ClaidentTutorial__Sample03__MiFish	009_unidentified_Osteoglossiformes	250
ClaidentTutorial__Sample03__MiFish	026_Amblydoras_gonzalezi	250
ClaidentTutorial__Sample03__MiFish	053_Lepidoblepharon_ophthalmolepis	249
ClaidentTutorial__Sample03__MiFish	095_Acentrogobius_pflaumii	249
ClaidentTutorial__Sample03__MiFish	115_unidentified_Heterocongrinae	249
ClaidentTutorial__Sample03__MiFish	001_unidentified_Gastromyzontidae	248
ClaidentTutorial__Sample03__MiFish	011_unidentified_Onychostoma	248
ClaidentTutorial__Sample03__MiFish	022_unidentified_Oreochromini	248
ClaidentTutorial__Sample03__MiFish	091_Hoplolatilus_cuniculus	248
ClaidentTutorial__Sample03__MiFish	139_Triplophysa_rosa	248
ClaidentTutorial__Sample03__MiFish	144_unidentified_Pervagor	248
ClaidentTutorial__Sample03__MiFish	003_Sardina_pilchardus	247
ClaidentTutorial__Sample03__MiFish	006_unidentified_Symphysodon	247
ClaidentTutorial__Sample03__MiFish	017_Cynoglossus_abbreviatus	247
ClaidentTutorial__Sample03__MiFish	021_unidentified_Homatula	247
ClaidentTutorial__Sample03__MiFish	027_unidentified_Channa	247
ClaidentTutorial__Sample03__MiFish	030_unidentified_Facciolella	247
ClaidentTutorial__Sample03__MiFish	047_unidentified_Chaetobranchopsis	247
ClaidentTutorial__Sample03__MiFish	054_Pantodon_buchholzi	247
ClaidentTutorial__Sample03__MiFish	055_Polymixia_japonica	247
ClaidentTutorial__Sample03__MiFish	060_unidentified_Carapus	247
ClaidentTutorial__Sample03__MiFish	062_Nothobranchius_kafuensis	247
ClaidentTutorial__Sample03__MiFish	064_unidentified_Megaleporinus	247
ClaidentTutorial__Sample03__MiFish	103_Procetichthys_kreffti	247
ClaidentTutorial__Sample03__MiFish	104_Trachidermus_fasciatus	247
ClaidentTutorial__Sample03__MiFish	122_Cromileptes_altivelis	247
ClaidentTutorial__Sample03__MiFish	131_unidentified_Pseudorhombus	247
ClaidentTutorial__Sample03__MiFish	180_unidentified_Pogonichthyinae	247
ClaidentTutorial__Sample03__MiFish	023_unidentified_Sphyraena	246
ClaidentTutorial__Sample03__MiFish	032_Acanthocepola_krusensternii	246
ClaidentTutorial__Sample03__MiFish	096_unidentified_Tetraodontidae	246
ClaidentTutorial__Sample03__MiFish	002_Canthophrys_gongota	245
ClaidentTutorial__Sample03__MiFish	019_unidentified_Hyporhamphus	245
ClaidentTutorial__Sample03__MiFish	043_Cephalopholis_argus	245
ClaidentTutorial__Sample03__MiFish	069_Halichoeres_hartzfeldii	245
ClaidentTutorial__Sample03__MiFish	084_Plectropomus_areolatus	245
ClaidentTutorial__Sample03__MiFish	109_Amblypharyngodon_mola	245
