samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	01_Cyprinidae	1477
ClaidentTutorial__Sample01__MiFish	02_Engraulidae	1480
ClaidentTutorial__Sample01__MiFish	03_Clupeidae	0
ClaidentTutorial__Sample01__MiFish	04_Gobiidae	495
ClaidentTutorial__Sample01__MiFish	05_Danionidae	981
ClaidentTutorial__Sample01__MiFish	06_Gobionidae	0
ClaidentTutorial__Sample01__MiFish	07_Acheilognathidae	1486
ClaidentTutorial__Sample01__MiFish	08_Nemacheilidae	990
ClaidentTutorial__Sample01__MiFish	09_Nothobranchiidae	1973
ClaidentTutorial__Sample01__MiFish	10_Siganidae	492
ClaidentTutorial__Sample01__MiFish	11_Poeciliidae	0
ClaidentTutorial__Sample01__MiFish	12_Stomiidae	493
ClaidentTutorial__Sample01__MiFish	13_Cichlidae	496
ClaidentTutorial__Sample01__MiFish	14_Leuciscidae	0
ClaidentTutorial__Sample01__MiFish	15_Osphronemidae	0
ClaidentTutorial__Sample01__MiFish	16_Xenocyprididae	1492
ClaidentTutorial__Sample01__MiFish	17_Umbridae	0
ClaidentTutorial__Sample01__MiFish	18_Tetraodontidae	497
ClaidentTutorial__Sample01__MiFish	19_Cobitidae	0
ClaidentTutorial__Sample01__MiFish	20_Notopteridae	494
ClaidentTutorial__Sample01__MiFish	21_Soleidae	0
ClaidentTutorial__Sample01__MiFish	22_Synodontidae	0
ClaidentTutorial__Sample01__MiFish	23_Sinipercidae	0
ClaidentTutorial__Sample01__MiFish	24_Nemipteridae	0
ClaidentTutorial__Sample01__MiFish	25_Centrarchidae	0
ClaidentTutorial__Sample01__MiFish	26_Eleginopidae	0
ClaidentTutorial__Sample01__MiFish	27_Alepocephalidae	0
ClaidentTutorial__Sample01__MiFish	28_Labridae	491
ClaidentTutorial__Sample01__MiFish	29_Cottidae	0
ClaidentTutorial__Sample01__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample01__MiFish	31_Doradidae	491
ClaidentTutorial__Sample01__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample01__MiFish	33_Molidae	489
ClaidentTutorial__Sample01__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample01__MiFish	35_Pomacanthidae	0
ClaidentTutorial__Sample01__MiFish	36_Ariidae	0
ClaidentTutorial__Sample01__MiFish	37_Zenionidae	0
ClaidentTutorial__Sample01__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample01__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample01__MiFish	40_Polynemidae	496
ClaidentTutorial__Sample01__MiFish	41_Epigonidae	492
ClaidentTutorial__Sample01__MiFish	42_Channidae	0
ClaidentTutorial__Sample01__MiFish	43_Serranidae	0
ClaidentTutorial__Sample01__MiFish	44_Pegasidae	0
ClaidentTutorial__Sample01__MiFish	45_Sillaginidae	0
ClaidentTutorial__Sample01__MiFish	46_Alestidae	0
ClaidentTutorial__Sample01__MiFish	47_Scombridae	488
ClaidentTutorial__Sample01__MiFish	48_Albulidae	0
ClaidentTutorial__Sample01__MiFish	49_Derichthyidae	0
ClaidentTutorial__Sample01__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample01__MiFish	51_others	8853
ClaidentTutorial__Sample02__MiFish	01_Cyprinidae	1963
ClaidentTutorial__Sample02__MiFish	02_Engraulidae	1479
ClaidentTutorial__Sample02__MiFish	03_Clupeidae	488
ClaidentTutorial__Sample02__MiFish	04_Gobiidae	495
ClaidentTutorial__Sample02__MiFish	05_Danionidae	978
ClaidentTutorial__Sample02__MiFish	06_Gobionidae	0
ClaidentTutorial__Sample02__MiFish	07_Acheilognathidae	987
ClaidentTutorial__Sample02__MiFish	08_Nemacheilidae	990
ClaidentTutorial__Sample02__MiFish	09_Nothobranchiidae	1479
ClaidentTutorial__Sample02__MiFish	10_Siganidae	494
ClaidentTutorial__Sample02__MiFish	11_Poeciliidae	0
ClaidentTutorial__Sample02__MiFish	12_Stomiidae	499
ClaidentTutorial__Sample02__MiFish	13_Cichlidae	499
ClaidentTutorial__Sample02__MiFish	14_Leuciscidae	0
ClaidentTutorial__Sample02__MiFish	15_Osphronemidae	493
ClaidentTutorial__Sample02__MiFish	16_Xenocyprididae	993
ClaidentTutorial__Sample02__MiFish	17_Umbridae	496
ClaidentTutorial__Sample02__MiFish	18_Tetraodontidae	495
ClaidentTutorial__Sample02__MiFish	19_Cobitidae	0
ClaidentTutorial__Sample02__MiFish	20_Notopteridae	492
ClaidentTutorial__Sample02__MiFish	21_Soleidae	0
ClaidentTutorial__Sample02__MiFish	22_Synodontidae	0
ClaidentTutorial__Sample02__MiFish	23_Sinipercidae	497
ClaidentTutorial__Sample02__MiFish	24_Nemipteridae	0
ClaidentTutorial__Sample02__MiFish	25_Centrarchidae	0
ClaidentTutorial__Sample02__MiFish	26_Eleginopidae	0
ClaidentTutorial__Sample02__MiFish	27_Alepocephalidae	0
ClaidentTutorial__Sample02__MiFish	28_Labridae	0
ClaidentTutorial__Sample02__MiFish	29_Cottidae	0
ClaidentTutorial__Sample02__MiFish	30_Rhombosoleidae	0
ClaidentTutorial__Sample02__MiFish	31_Doradidae	500
ClaidentTutorial__Sample02__MiFish	32_Apogonidae	0
ClaidentTutorial__Sample02__MiFish	33_Molidae	493
ClaidentTutorial__Sample02__MiFish	34_Holocentridae	0
ClaidentTutorial__Sample02__MiFish	35_Pomacanthidae	0
ClaidentTutorial__Sample02__MiFish	36_Ariidae	0
ClaidentTutorial__Sample02__MiFish	37_Zenionidae	0
ClaidentTutorial__Sample02__MiFish	38_Cyprinodontidae	0
ClaidentTutorial__Sample02__MiFish	39_Muraenidae	0
ClaidentTutorial__Sample02__MiFish	40_Polynemidae	497
ClaidentTutorial__Sample02__MiFish	41_Epigonidae	493
ClaidentTutorial__Sample02__MiFish	42_Channidae	0
ClaidentTutorial__Sample02__MiFish	43_Serranidae	0
ClaidentTutorial__Sample02__MiFish	44_Pegasidae	0
ClaidentTutorial__Sample02__MiFish	45_Sillaginidae	0
ClaidentTutorial__Sample02__MiFish	46_Alestidae	0
ClaidentTutorial__Sample02__MiFish	47_Scombridae	498
ClaidentTutorial__Sample02__MiFish	48_Albulidae	0
ClaidentTutorial__Sample02__MiFish	49_Derichthyidae	0
ClaidentTutorial__Sample02__MiFish	50_Aracanidae	0
ClaidentTutorial__Sample02__MiFish	51_others	8382
