samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	01_unidentified_Siganus	492
ClaidentTutorial__Sample01__MiFish	02_Osphronemus_goramy	0
ClaidentTutorial__Sample01__MiFish	03_Amazonsprattus_scintilla	496
ClaidentTutorial__Sample01__MiFish	04_unidentified_Cobitinae	0
ClaidentTutorial__Sample01__MiFish	05_Xiphophorus_hellerii	0
ClaidentTutorial__Sample01__MiFish	06_Papyrocranus_congoensis	494
ClaidentTutorial__Sample01__MiFish	07_Pseudaesopia_japonica	0
ClaidentTutorial__Sample01__MiFish	08_Synodus_variegatus	0
ClaidentTutorial__Sample01__MiFish	09_Coreoperca_herzi	0
ClaidentTutorial__Sample01__MiFish	10_Nemipterus_bathybius	0
ClaidentTutorial__Sample01__MiFish	11_Rasbora_argyrotaenia	0
ClaidentTutorial__Sample01__MiFish	12_Eleginops_maclovinus	0
ClaidentTutorial__Sample01__MiFish	13_Leptoderma_lubricum	0
ClaidentTutorial__Sample01__MiFish	14_Lycothrissa_crocodilus	0
ClaidentTutorial__Sample01__MiFish	15_Acheilognathus_yamatsutae	497
ClaidentTutorial__Sample01__MiFish	16_Ethmidium_maculatum	0
ClaidentTutorial__Sample01__MiFish	17_Onychostoma_rara	0
ClaidentTutorial__Sample01__MiFish	18_Clinocottus_analis	0
ClaidentTutorial__Sample01__MiFish	19_Stolephorus_commersonnii	0
ClaidentTutorial__Sample01__MiFish	20_Chauliodus_sloani	0
ClaidentTutorial__Sample01__MiFish	21_unidentified_Barbatula	495
ClaidentTutorial__Sample01__MiFish	22_Platydoras_armatulus	491
ClaidentTutorial__Sample01__MiFish	23_Calotomus_japonicus	0
ClaidentTutorial__Sample01__MiFish	24_Jaydia_lineata	0
ClaidentTutorial__Sample01__MiFish	25_Scriptaphyosemion_bertholdi	496
ClaidentTutorial__Sample01__MiFish	26_Masturus_lanceolatus	489
ClaidentTutorial__Sample01__MiFish	27_Scriptaphyosemion_schmitti	492
ClaidentTutorial__Sample01__MiFish	28_Novumbra_hubbsi	0
ClaidentTutorial__Sample01__MiFish	29_Acheilognathus_majusculus	0
ClaidentTutorial__Sample01__MiFish	30_Lepomis_punctatus	0
ClaidentTutorial__Sample01__MiFish	31_Stomias_atriventer	493
ClaidentTutorial__Sample01__MiFish	32_Biwia_zezera	0
ClaidentTutorial__Sample01__MiFish	33_Pseudolaubuca_engraulis	500
ClaidentTutorial__Sample01__MiFish	34_Zenion_japonicum	0
ClaidentTutorial__Sample01__MiFish	35_Orestias_ascotanensis	0
ClaidentTutorial__Sample01__MiFish	36_Geophagus_brasiliensis	496
ClaidentTutorial__Sample01__MiFish	37_Triplophysa_xiangxiensis	0
ClaidentTutorial__Sample01__MiFish	38_Polydactylus_plebeius	496
ClaidentTutorial__Sample01__MiFish	39_Channa_striata	0
ClaidentTutorial__Sample01__MiFish	40_Epigonus_denticulatus	492
ClaidentTutorial__Sample01__MiFish	41_unidentified_Sardinella	0
ClaidentTutorial__Sample01__MiFish	42_Omegophora_armilla	0
ClaidentTutorial__Sample01__MiFish	43_Macrochirichthys_macrochirus	501
ClaidentTutorial__Sample01__MiFish	44_unidentified_Tenualosa	0
ClaidentTutorial__Sample01__MiFish	45_Phenacogrammus_interruptus	0
ClaidentTutorial__Sample01__MiFish	46_Sargocentron_rubrum	0
ClaidentTutorial__Sample01__MiFish	47_Danio_albolineatus	0
