query	superkingdom	kingdom	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	superfamily	family	subfamily	tribe	genus	subgenus	species
otu_001	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cobitoidei	Gastromyzontidae	Gastromyzontidae	Gastromyzontidae	unidentified Gastromyzontidae	unidentified Gastromyzontidae	unidentified Gastromyzontidae	unidentified Gastromyzontidae	unidentified Gastromyzontidae
otu_002	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cobitoidei	Cobitidae	Cobitidae	Cobitidae	Cobitinae	Canthophrys	Canthophrys	Canthophrys gongota	Canthophrys gongota
otu_003	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Clupei	Clupeiformes	Clupeiformes	Clupeoidei	Clupeidae	Clupeidae	Clupeidae	Clupeinae	Sardina	Sardina	Sardina pilchardus	Sardina pilchardus
otu_004	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Kurtiformes	Kurtiformes	Kurtiformes	Apogonoidei	Apogonidae	Apogonidae	Apogonidae	Apogoninae	Jaydia	Jaydia	Jaydia lineata	Jaydia lineata
otu_005	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gobiiformes	Gobiiformes	Gobiiformes	Gobioidei	Gobiidae	Gobiidae	Gobiidae	Amblyopinae	unidentified Amblyopinae	unidentified Amblyopinae	unidentified Amblyopinae	unidentified Amblyopinae
otu_006	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Cichlomorphae	Cichlomorphae	Cichliformes	Cichlidae	Cichlidae	Cichlidae	Cichlidae	Cichlasomatinae	Heroini	Symphysodon	unidentified Symphysodon	unidentified Symphysodon
otu_007	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Anguilliformes	Anguilliformes	Anguilliformes	Anguilliformes	Congridae	Congridae	Congridae	Congridae	Bathymyrinae	Paraconger	Paraconger	Paraconger notialis	Paraconger notialis
otu_008	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gobiiformes	Gobiiformes	Gobiiformes	Gobioidei	Odontobutidae	Odontobutidae	Odontobutidae	Odontobutis	Odontobutis	Odontobutis	Odontobutis haifengensis	Odontobutis haifengensis
otu_009	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Osteoglossiformes	Osteoglossiformes	Osteoglossiformes	Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes	unidentified Osteoglossiformes
otu_010	Eukaryota	Metazoa	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pempheriformes	Pempheriformes	Pempheriformes	Percophidae	Percophidae	Percophidae	Percophidae	Hemerocoetinae	Acanthaphritis	Acanthaphritis	Acanthaphritis unoorum	Acanthaphritis unoorum
