200400 reads, max len 124, avg 123.0

Length         MaxEE 0.50         MaxEE 1.00         MaxEE 2.00
------   ----------------   ----------------   ----------------
     5     200398(100.0%)     200400(100.0%)     200400(100.0%)
    10     200396(100.0%)     200400(100.0%)     200400(100.0%)
    15     200384(100.0%)     200400(100.0%)     200400(100.0%)
    20     200383(100.0%)     200400(100.0%)     200400(100.0%)
    25     200283( 99.9%)     200400(100.0%)     200400(100.0%)
    30     199404( 99.5%)     200397(100.0%)     200400(100.0%)
    35     199017( 99.3%)     200394(100.0%)     200400(100.0%)
    40     198558( 99.1%)     200390(100.0%)     200400(100.0%)
    45     198300( 99.0%)     200387(100.0%)     200400(100.0%)
    50     197972( 98.8%)     200380(100.0%)     200400(100.0%)
    55     197446( 98.5%)     200378(100.0%)     200400(100.0%)
    60     197160( 98.4%)     200372(100.0%)     200400(100.0%)
    65     196902( 98.3%)     200362(100.0%)     200400(100.0%)
    70     196680( 98.1%)     200351(100.0%)     200400(100.0%)
    75     196522( 98.1%)     200331(100.0%)     200400(100.0%)
    80     196380( 98.0%)     200302(100.0%)     200400(100.0%)
    85     196156( 97.9%)     200282( 99.9%)     200400(100.0%)
    90     195778( 97.7%)     200235( 99.9%)     200400(100.0%)
    95     195225( 97.4%)     200172( 99.9%)     200400(100.0%)
   100     194340( 97.0%)     200113( 99.9%)     200400(100.0%)
   105     193120( 96.4%)     200027( 99.8%)     200400(100.0%)
   110     191450( 95.5%)     199908( 99.8%)     200400(100.0%)
   115     189121( 94.4%)     199767( 99.7%)     200400(100.0%)
   120     185937( 92.8%)     199627( 99.6%)     200400(100.0%)
