samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220	otu_221	otu_222	otu_223	otu_224	otu_225	otu_226	otu_227	otu_228	otu_229	otu_230	otu_231	otu_232	otu_233	otu_234	otu_235	otu_236	otu_237	otu_238	otu_239	otu_240
ClaidentTutorial__Sample01__MiFish	209	148	0	0	0	291	0	133	0	0	0	0	0	0	0	0	211	0	157	0	0	0	0	0	0	0	0	0	0	0	159	0	83	313	0	0	0	231	0	0	0	266	0	0	179	0	0	0	0	168	0	0	0	0	2	0	177	0	0	0	0	0	0	0	0	4	0	0	0	275	0	200	0	0	0	182	133	0	0	0	0	0	0	0	0	0	0	239	0	0	217	0	0	141	0	0	204	0	0	379	0	0	2	0	0	0	0	0	162	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	179	236	0	0	0	0	116	142	140	0	0	0	0	0	0	176	0	0	180	0	0	0	0	0	0	239	0	0	0	268	273	270	0	0	0	0	114	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	132	0	0	268	0	0	0	247	243	0	0	0	0	0	0	217	210	210	0	184	0	173	0	0	0	0	0	0	124	0	0	0	107	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	143	173	0	0	0	221	0	115	0	0	0	0	0	0	0	0	269	0	288	0	0	0	231	0	0	0	0	0	0	0	147	0	208	202	0	0	0	185	0	0	0	133	0	0	207	0	0	0	0	118	0	0	1	0	0	234	221	0	0	2	0	120	1	1	0	0	0	0	0	163	0	228	0	376	0	209	221	0	0	0	0	0	0	0	0	0	0	117	0	0	265	0	0	225	0	0	215	1	0	177	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	207	0	216	168	0	0	0	0	127	276	192	0	267	0	78	0	0	211	0	0	323	0	0	0	0	0	0	246	0	0	0	190	182	180	0	0	0	0	129	0	188	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	2	0	141	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	163	183	0	341	0	144	0	223	0	0	0	0	0	0	0	0	216	0	124	261	0	0	187	0	0	0	0	0	0	0	181	0	196	197	128	0	0	138	0	0	0	189	0	0	137	0	0	304	0	150	0	0	1	0	34	164	225	0	0	1	0	133	0	0	0	0	0	0	0	173	0	177	0	195	0	134	191	0	0	0	0	0	0	318	0	0	0	333	0	0	219	0	0	176	0	0	192	0	0	199	0	0	0	0	0	0	419	0	111	0	0	0	0	0	0	213	0	0	0	0	0	0	0	236	0	0	257	0	227	197	0	0	0	0	189	151	226	0	272	0	252	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	259	176	243	246	0	178	0	93	0	0	0	0	0	0	0	0	233	0	249	174	0	0	132	283	0	0	0	0	0	0	225	0	217	229	232	0	0	178	0	0	0	131	0	0	270	0	0	175	0	244	0	0	2	286	134	249	149	140	0	0	0	199	0	2	0	0	0	0	0	174	0	171	0	237	0	223	221	0	0	0	360	0	0	208	141	0	0	174	253	0	148	0	0	256	0	0	167	0	0	0	0	260	0	0	0	0	119	0	112	0	0	0	0	0	0	211	0	0	0	0	0	0	0	234	0	0	166	0	0	0	0	0	0	0	140	0	0	0	0	0	202	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	191	149	192	256	0	238	0	145	0	0	0	0	0	0	0	0	172	392	236	185	290	0	188	187	0	0	0	0	1	0	226	0	127	273	159	0	0	145	0	0	0	159	0	0	89	0	0	196	0	144	0	0	0	266	169	196	187	265	0	0	0	151	0	0	0	165	0	0	0	239	0	206	0	170	0	228	203	0	0	0	200	0	0	247	152	0	0	0	170	0	0	0	0	4	0	0	0	1	4	0	0	169	0	322	0	0	175	0	183	0	0	0	0	0	0	0	0	0	0	3	0	0	0	172	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	262	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	299	0	0	0	293	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	202	160	323	147	50	232	0	186	0	0	0	0	0	388	139	0	297	182	143	181	198	0	165	216	0	0	0	0	0	0	207	0	195	256	151	313	0	277	0	0	0	124	0	0	192	0	0	224	0	132	0	0	0	162	139	149	188	112	0	0	0	250	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	131	241	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	135	406	136	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	165	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	196	0	127	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	209	164	174	201	222	174	0	180	0	0	0	0	0	216	119	279	233	223	253	92	128	0	320	263	0	0	3	162	0	0	187	0	166	1	192	176	0	134	0	45	0	150	0	0	198	0	0	182	0	241	0	0	0	141	133	163	0	137	0	0	0	148	265	114	0	143	0	0	0	0	300	3	0	0	315	0	0	0	0	0	194	0	0	0	240	298	0	0	237	0	0	0	0	0	0	0	2	0	0	0	0	176	179	273	0	0	0	0	1	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	330	0	0	0	2	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	112	155	173	151	248	203	0	208	0	0	279	0	0	170	170	225	218	318	209	177	170	0	252	287	0	0	265	165	189	0	219	0	173	0	176	197	0	143	0	208	0	190	0	0	0	0	0	134	0	0	0	0	354	129	146	0	0	267	0	284	0	117	212	189	0	282	0	0	0	1	185	1	0	0	187	2	0	0	0	0	0	0	0	0	124	235	0	0	0	0	0	0	0	2	0	0	0	220	46	0	0	0	154	2	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	1	0	0	0	0	0	0	0	0	2	0	152	0	0	164	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	167	175	276	186	234	88	307	144	0	404	305	0	0	198	185	106	0	225	113	148	170	0	192	223	0	0	207	178	176	257	0	0	158	0	180	141	0	2	0	152	0	0	0	0	0	0	0	0	0	0	0	0	174	201	269	0	0	220	0	286	0	0	288	219	0	255	0	135	0	0	166	0	0	0	188	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	1	0	0	0	152	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	237	0	0	0	331	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	93	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	228	125	146	212	189	230	217	174	174	179	151	388	0	272	244	209	0	156	0	151	147	0	0	208	0	0	261	249	243	185	0	0	0	1	247	121	0	0	0	136	0	0	0	221	0	287	0	0	0	0	0	0	211	0	152	0	0	0	0	150	0	0	172	126	0	0	0	231	0	0	203	0	0	0	167	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	325	0	0	245	207	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	192	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	221	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0
