samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	04_Danionidae	479
ClaidentTutorial__Sample01__MiFish	01_Gobiidae	467
ClaidentTutorial__Sample01__MiFish	06_Nothobranchiidae	419
ClaidentTutorial__Sample01__MiFish	03_unidentified_Euteleosteomorpha	397
ClaidentTutorial__Sample01__MiFish	02_Clupeidae	336
ClaidentTutorial__Sample01__MiFish	08_Cirrhitidae	324
ClaidentTutorial__Sample01__MiFish	67_Zeidae	311
ClaidentTutorial__Sample01__MiFish	73_Albulidae	306
ClaidentTutorial__Sample01__MiFish	30_Muraenidae	280
ClaidentTutorial__Sample01__MiFish	23_Linophrynidae	264
ClaidentTutorial__Sample01__MiFish	13_Samaridae	263
ClaidentTutorial__Sample01__MiFish	71_Cyematidae	262
ClaidentTutorial__Sample01__MiFish	14_Elopidae	256
ClaidentTutorial__Sample01__MiFish	69_Monacanthidae	253
ClaidentTutorial__Sample01__MiFish	64_Eleotridae	238
ClaidentTutorial__Sample01__MiFish	47_Triacanthidae	236
ClaidentTutorial__Sample01__MiFish	20_Cyprinidae	232
ClaidentTutorial__Sample01__MiFish	12_Myctophidae	226
ClaidentTutorial__Sample01__MiFish	51_Trichonotidae	224
ClaidentTutorial__Sample01__MiFish	72_Melamphaidae	224
ClaidentTutorial__Sample01__MiFish	62_Macrouridae	223
ClaidentTutorial__Sample01__MiFish	44_Synanceiidae	215
ClaidentTutorial__Sample01__MiFish	19_Synaphobranchidae	214
ClaidentTutorial__Sample01__MiFish	61_Galaxiidae	210
ClaidentTutorial__Sample01__MiFish	34_Engraulidae	201
ClaidentTutorial__Sample01__MiFish	16_Claroteidae	199
ClaidentTutorial__Sample01__MiFish	52_Chlorophthalmidae	196
ClaidentTutorial__Sample01__MiFish	39_Champsodontidae	192
ClaidentTutorial__Sample01__MiFish	70_Xenocyprididae	192
ClaidentTutorial__Sample01__MiFish	45_Priacanthidae	189
ClaidentTutorial__Sample01__MiFish	66_Apogonidae	189
ClaidentTutorial__Sample01__MiFish	09_Poeciliidae	180
ClaidentTutorial__Sample01__MiFish	56_Carapidae	172
ClaidentTutorial__Sample01__MiFish	88_Draconettidae	171
ClaidentTutorial__Sample01__MiFish	37_Liparidae	164
ClaidentTutorial__Sample01__MiFish	27_Amiidae	156
ClaidentTutorial__Sample01__MiFish	46_Characidae	146
ClaidentTutorial__Sample01__MiFish	53_Adrianichthyidae	141
ClaidentTutorial__Sample01__MiFish	10_Acheilognathidae	138
