samplename	otu_001	otu_002	otu_003	otu_004	otu_005	otu_006	otu_007	otu_008	otu_009	otu_010	otu_011	otu_012	otu_013	otu_014	otu_015	otu_016	otu_017	otu_018	otu_019	otu_020	otu_021	otu_022	otu_023	otu_024	otu_025	otu_026	otu_027	otu_028	otu_029	otu_030	otu_031	otu_032	otu_033	otu_034	otu_035	otu_036	otu_037	otu_038	otu_039	otu_040	otu_041	otu_042	otu_043	otu_044	otu_045	otu_046	otu_047	otu_048	otu_049	otu_050	otu_051	otu_052	otu_053	otu_054	otu_055	otu_056	otu_057	otu_058	otu_059	otu_060	otu_061	otu_062	otu_063	otu_064	otu_065	otu_066	otu_067	otu_068	otu_069	otu_070	otu_071	otu_072	otu_073	otu_074	otu_075	otu_076	otu_077	otu_078	otu_079	otu_080	otu_081	otu_082	otu_083	otu_084	otu_085	otu_086	otu_087	otu_088	otu_089	otu_090	otu_091	otu_092	otu_093	otu_094	otu_095	otu_096	otu_097	otu_098	otu_099	otu_100	otu_101	otu_102	otu_103	otu_104	otu_105	otu_106	otu_107	otu_108	otu_109	otu_110	otu_111	otu_112	otu_113	otu_114	otu_115	otu_116	otu_117	otu_118	otu_119	otu_120	otu_121	otu_122	otu_123	otu_124	otu_125	otu_126	otu_127	otu_128	otu_129	otu_130	otu_131	otu_132	otu_133	otu_134	otu_135	otu_136	otu_137	otu_138	otu_139	otu_140	otu_141	otu_142	otu_143	otu_144	otu_145	otu_146	otu_147	otu_148	otu_149	otu_150	otu_151	otu_152	otu_153	otu_154	otu_155	otu_156	otu_157	otu_158	otu_159	otu_160	otu_161	otu_162	otu_163	otu_164	otu_165	otu_166	otu_167	otu_168	otu_169	otu_170	otu_171	otu_172	otu_173	otu_174	otu_175	otu_176	otu_177	otu_178	otu_179	otu_180	otu_181	otu_182	otu_183	otu_184	otu_185	otu_186	otu_187	otu_188	otu_189	otu_190	otu_191	otu_192	otu_193	otu_194	otu_195	otu_196	otu_197	otu_198	otu_199	otu_200	otu_201	otu_202	otu_203	otu_204	otu_205	otu_206	otu_207	otu_208	otu_209	otu_210	otu_211	otu_212	otu_213	otu_214	otu_215	otu_216	otu_217	otu_218	otu_219	otu_220	otu_221	otu_222	otu_223	otu_224	otu_225	otu_226	otu_227	otu_228	otu_229	otu_230	otu_231	otu_232	otu_233	otu_234	otu_235	otu_236	otu_237	otu_238	otu_239	otu_240
ClaidentTutorial__Sample01__MiFish	87	55	0	0	0	117	0	60	0	0	0	0	0	0	0	0	97	0	74	0	0	0	0	0	0	0	0	0	0	0	54	0	30	128	0	0	0	94	0	0	0	110	0	0	74	0	0	0	0	69	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	1	0	0	0	117	0	86	0	0	0	73	46	0	0	0	0	0	0	0	0	0	0	105	0	0	73	0	0	67	0	0	101	0	0	157	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	82	105	0	0	0	0	53	49	49	0	0	0	0	0	0	72	0	0	81	0	0	0	0	0	0	103	0	0	0	116	110	116	0	0	0	0	43	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	50	0	0	108	0	0	0	91	106	0	0	0	0	0	0	79	94	85	0	75	0	70	0	0	0	0	0	0	54	0	0	0	45	0	0	0	0	0	0
ClaidentTutorial__Sample02__MiFish	143	173	0	0	0	221	0	115	0	0	0	0	0	0	0	0	269	0	287	0	0	0	230	0	0	0	0	0	0	0	147	0	208	202	0	0	0	185	0	0	0	133	0	0	207	0	0	0	0	118	0	0	1	0	0	234	221	0	0	2	0	120	1	1	0	0	0	0	0	163	0	228	0	375	0	209	221	0	0	0	0	0	0	0	0	0	0	117	0	0	265	0	0	225	0	0	215	1	0	177	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	207	0	216	168	0	0	0	0	127	276	191	0	267	0	77	0	0	211	0	0	323	0	0	0	0	0	0	246	0	0	0	190	182	180	0	0	0	0	129	0	188	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	2	0	141	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample03__MiFish	12	16	0	29	0	18	0	31	0	0	0	0	0	0	0	0	25	0	13	33	0	0	19	0	0	0	0	0	0	0	13	0	18	16	8	0	0	14	0	0	0	15	0	0	12	0	0	35	0	13	0	0	0	0	3	19	20	0	0	0	0	17	0	0	0	0	0	0	0	15	0	12	0	18	0	15	17	0	0	0	0	0	0	23	0	0	0	36	0	0	24	0	0	21	0	0	16	0	0	12	0	0	0	0	0	0	57	0	8	0	0	0	0	0	0	25	0	0	0	0	0	0	0	25	0	0	29	0	34	23	0	0	0	0	21	14	26	0	28	0	21	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample04__MiFish	145	97	150	151	0	112	0	52	0	0	0	0	0	0	0	0	160	0	165	113	0	0	84	173	0	0	0	0	0	0	137	0	137	154	151	0	0	116	0	0	0	85	0	0	161	0	0	103	0	149	0	0	2	177	89	156	102	85	0	0	0	120	0	1	0	0	0	0	0	109	0	110	0	145	0	141	134	0	0	0	231	0	0	133	88	0	0	117	160	0	92	0	0	154	0	0	111	0	0	0	0	157	0	0	0	0	78	0	63	0	0	0	0	0	0	130	0	0	0	0	0	0	0	144	0	0	108	0	0	0	0	0	0	0	93	0	0	0	0	0	128	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample05__MiFish	126	98	123	165	0	172	0	94	0	0	0	0	0	0	0	0	109	264	167	121	202	0	131	122	0	0	0	0	1	0	148	0	84	183	97	0	0	99	0	0	0	95	0	0	55	0	0	131	0	105	0	0	0	158	106	129	124	176	0	0	0	103	0	0	0	104	0	0	0	152	0	136	0	112	0	147	145	0	0	0	136	0	0	159	106	0	0	0	121	0	0	0	0	3	0	0	0	0	2	0	0	103	0	205	0	0	125	0	131	0	0	0	0	0	0	0	0	0	0	1	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	209	0	0	0	183	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample06__MiFish	53	59	113	57	20	76	0	61	0	0	0	0	0	140	51	0	104	60	44	54	62	0	60	82	0	0	0	0	0	0	69	0	66	97	42	113	0	84	0	0	0	43	0	0	66	0	0	75	0	48	0	0	0	59	48	58	51	28	0	0	0	83	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	35	81	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	49	142	47	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	59	0	42	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample07__MiFish	175	151	154	172	186	149	0	152	0	0	0	0	0	179	98	236	202	195	215	81	114	0	271	223	0	0	3	131	0	0	159	0	139	0	166	159	0	111	0	39	0	132	0	0	166	0	0	152	0	202	0	0	0	120	114	135	0	111	0	0	0	128	235	101	0	121	0	0	0	0	250	3	0	0	270	0	0	0	0	0	171	0	0	0	204	251	0	0	191	0	0	0	0	0	0	0	2	0	0	0	0	148	161	233	0	0	0	0	1	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	290	0	0	0	2	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample08__MiFish	112	154	173	151	248	203	0	208	0	0	279	0	0	170	170	225	218	318	209	177	170	0	252	287	0	0	265	165	189	0	219	0	173	0	176	197	0	143	0	208	0	190	0	0	0	0	0	134	0	0	0	0	354	129	146	0	0	267	0	284	0	117	212	189	0	282	0	0	0	1	185	1	0	0	187	2	0	0	0	0	0	0	0	0	124	235	0	0	0	0	0	0	0	2	0	0	0	220	46	0	0	0	154	2	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	1	0	0	0	0	0	0	0	0	2	0	152	0	0	164	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample09__MiFish	93	80	142	100	117	49	147	68	0	197	153	0	0	94	91	49	0	122	56	66	88	0	93	117	0	0	106	83	91	133	0	0	80	0	86	69	0	1	0	65	0	0	0	0	0	0	0	0	0	0	0	0	90	95	125	0	0	109	0	142	0	0	139	114	0	127	0	64	0	0	81	0	0	0	94	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	1	0	0	0	71	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	120	0	0	0	175	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample10__MiFish	196	109	121	190	142	190	180	143	142	138	126	328	0	228	208	172	0	131	0	127	128	0	0	171	0	0	223	201	216	151	0	0	0	1	205	102	0	0	0	109	0	0	0	184	0	232	0	0	0	0	0	0	172	0	131	0	0	0	0	125	0	0	141	110	0	0	0	184	0	0	171	0	0	0	132	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	267	0	0	210	183	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	151	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	194	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0
