samplename	inputnseq
ClaidentTutorial__Sample01__MiFish	12307
ClaidentTutorial__Sample02__MiFish	12347
ClaidentTutorial__Sample03__MiFish	12333
ClaidentTutorial__Sample04__MiFish	12337
ClaidentTutorial__Sample05__MiFish	12358
ClaidentTutorial__Sample06__MiFish	12365
ClaidentTutorial__Sample07__MiFish	12324
ClaidentTutorial__Sample08__MiFish	12354
ClaidentTutorial__Sample09__MiFish	12339
ClaidentTutorial__Sample10__MiFish	12349
ClaidentTutorial__Sample11__MiFish	12347
ClaidentTutorial__Sample12__MiFish	12362
ClaidentTutorial__Sample13__MiFish	12327
ClaidentTutorial__Sample14__MiFish	12349
ClaidentTutorial__Sample15__MiFish	12345
ClaidentTutorial__Sample16__MiFish	12342
ClaidentTutorial__Sample17__MiFish	12332
ClaidentTutorial__Sample18__MiFish	12332
ClaidentTutorial__Sample19__MiFish	12308
ClaidentTutorial__Sample20__MiFish	12327
