samplename	inputpcov
ClaidentTutorial__Sample01__MiFish	1.0000000000
ClaidentTutorial__Sample02__MiFish	1.0000000000
ClaidentTutorial__Sample03__MiFish	1.0000000000
ClaidentTutorial__Sample04__MiFish	1.0000000000
ClaidentTutorial__Sample05__MiFish	0.9999999898
ClaidentTutorial__Sample06__MiFish	0.9999999898
ClaidentTutorial__Sample07__MiFish	0.9999999897
ClaidentTutorial__Sample08__MiFish	1.0000000000
ClaidentTutorial__Sample09__MiFish	0.9999999898
ClaidentTutorial__Sample10__MiFish	0.9997973350
ClaidentTutorial__Sample11__MiFish	0.9999999898
ClaidentTutorial__Sample12__MiFish	0.9999999898
ClaidentTutorial__Sample13__MiFish	1.0000000000
ClaidentTutorial__Sample14__MiFish	1.0000000000
ClaidentTutorial__Sample15__MiFish	1.0000000000
ClaidentTutorial__Sample16__MiFish	1.0000000000
ClaidentTutorial__Sample17__MiFish	1.0000000000
ClaidentTutorial__Sample18__MiFish	0.9999999897
ClaidentTutorial__Sample19__MiFish	1.0000000000
ClaidentTutorial__Sample20__MiFish	0.9999999897
