samplename	outputnseq
ClaidentTutorial__Sample01__MiFish	4047
ClaidentTutorial__Sample02__MiFish	9865
ClaidentTutorial__Sample03__MiFish	1000
ClaidentTutorial__Sample04__MiFish	6165
ClaidentTutorial__Sample05__MiFish	6538
ClaidentTutorial__Sample06__MiFish	3289
ClaidentTutorial__Sample07__MiFish	8425
ClaidentTutorial__Sample08__MiFish	9866
ClaidentTutorial__Sample09__MiFish	4923
ClaidentTutorial__Sample10__MiFish	8223
ClaidentTutorial__Sample11__MiFish	4936
ClaidentTutorial__Sample12__MiFish	7095
ClaidentTutorial__Sample13__MiFish	784
ClaidentTutorial__Sample14__MiFish	1624
ClaidentTutorial__Sample15__MiFish	658
ClaidentTutorial__Sample16__MiFish	638
ClaidentTutorial__Sample17__MiFish	795
ClaidentTutorial__Sample18__MiFish	649
ClaidentTutorial__Sample19__MiFish	4172
ClaidentTutorial__Sample20__MiFish	561
