samplename	outputpcov
ClaidentTutorial__Sample01__MiFish	0.9997980673
ClaidentTutorial__Sample02__MiFish	0.9997997925
ClaidentTutorial__Sample03__MiFish	0.9997990009
ClaidentTutorial__Sample04__MiFish	0.9997981948
ClaidentTutorial__Sample05__MiFish	0.9997973514
ClaidentTutorial__Sample06__MiFish	0.9997974320
ClaidentTutorial__Sample07__MiFish	0.9997975087
ClaidentTutorial__Sample08__MiFish	0.9997973562
ClaidentTutorial__Sample09__MiFish	0.9997973913
ClaidentTutorial__Sample10__MiFish	0.9997973350
ClaidentTutorial__Sample11__MiFish	0.9997973607
ClaidentTutorial__Sample12__MiFish	0.9997974510
ClaidentTutorial__Sample13__MiFish	0.9997973807
ClaidentTutorial__Sample14__MiFish	0.9997978034
ClaidentTutorial__Sample15__MiFish	0.9997977689
ClaidentTutorial__Sample16__MiFish	0.9997983870
ClaidentTutorial__Sample17__MiFish	0.9997982641
ClaidentTutorial__Sample18__MiFish	0.9997975123
ClaidentTutorial__Sample19__MiFish	0.9997987878
ClaidentTutorial__Sample20__MiFish	0.9997973688
