samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	002_unidentified_Euteleosteomorpha	494
ClaidentTutorial__Sample01__MiFish	009_unidentified_Echeneis	250
ClaidentTutorial__Sample01__MiFish	087_Dicentrarchus_labrax	250
ClaidentTutorial__Sample01__MiFish	018_unidentified_Petrocephalus	249
ClaidentTutorial__Sample01__MiFish	071_unidentified_Anguilliformes	249
ClaidentTutorial__Sample01__MiFish	010_unidentified_Glossogobius	248
ClaidentTutorial__Sample01__MiFish	038_unidentified_Pristolepis	248
ClaidentTutorial__Sample01__MiFish	050_unidentified_Naso	248
ClaidentTutorial__Sample01__MiFish	080_unidentified_Eleotris	248
ClaidentTutorial__Sample01__MiFish	110_unidentified_Hypoptopoma	248
ClaidentTutorial__Sample01__MiFish	112_unidentified_Characidae	248
ClaidentTutorial__Sample01__MiFish	152_unidentified_Labracinus	248
ClaidentTutorial__Sample01__MiFish	065_unidentified_Oryzias	247
ClaidentTutorial__Sample01__MiFish	076_unidentified_Osteobrama	247
ClaidentTutorial__Sample01__MiFish	090_unidentified_Nothobranchiidae	247
ClaidentTutorial__Sample01__MiFish	091_unidentified_Poecilia	247
ClaidentTutorial__Sample01__MiFish	119_unidentified_Puntigrus	247
ClaidentTutorial__Sample01__MiFish	124_Pagellus_bogaraveo	247
ClaidentTutorial__Sample01__MiFish	136_unidentified_Acipenser	247
ClaidentTutorial__Sample01__MiFish	143_Menidia_menidia	247
ClaidentTutorial__Sample01__MiFish	150_Etheostoma_spectabile	247
ClaidentTutorial__Sample01__MiFish	174_Lepidoblepharon_ophthalmolepis	247
ClaidentTutorial__Sample01__MiFish	175_Microcanthus_strigatus	247
ClaidentTutorial__Sample01__MiFish	014_unidentified_Bathyclupea	246
ClaidentTutorial__Sample01__MiFish	019_unidentified_Odacidae	246
ClaidentTutorial__Sample01__MiFish	031_Lepidosiren_paradoxa	246
ClaidentTutorial__Sample01__MiFish	047_unidentified_Nemacheilidae	246
ClaidentTutorial__Sample01__MiFish	051_Kaupichthys_hyoproroides	246
ClaidentTutorial__Sample01__MiFish	066_unidentified_Salminus	246
ClaidentTutorial__Sample01__MiFish	098_Coreoperca_kawamebari	246
ClaidentTutorial__Sample01__MiFish	147_Chelonodontops_patoca	246
ClaidentTutorial__Sample01__MiFish	181_unidentified_Lutjanus	246
ClaidentTutorial__Sample01__MiFish	182_unidentified_Odontobutis	246
ClaidentTutorial__Sample01__MiFish	001_unidentified_Osteoglossiformes	245
ClaidentTutorial__Sample01__MiFish	075_unidentified_Diplomystes	245
ClaidentTutorial__Sample01__MiFish	114_unidentified_Chascanopsetta	245
ClaidentTutorial__Sample01__MiFish	186_unidentified_Cabdio	245
ClaidentTutorial__Sample01__MiFish	187_unidentified_Gastromyzontidae	245
ClaidentTutorial__Sample01__MiFish	003_Pagothenia_borchgrevinki	244
ClaidentTutorial__Sample01__MiFish	004_unidentified_Johnius	244
ClaidentTutorial__Sample01__MiFish	096_Selar_crumenophthalmus	244
ClaidentTutorial__Sample01__MiFish	160_unidentified_Xenocypridinae	244
ClaidentTutorial__Sample01__MiFish	191_Seriola_quinqueradiata	244
ClaidentTutorial__Sample01__MiFish	192_unidentified_Chiasmodontidae	244
ClaidentTutorial__Sample01__MiFish	012_Pseudetroplus_maculatus	243
ClaidentTutorial__Sample01__MiFish	068_unidentified_Siluroidei	243
ClaidentTutorial__Sample01__MiFish	154_unidentified_Chaetobranchopsis	243
ClaidentTutorial__Sample01__MiFish	020_unidentified_Channa	242
ClaidentTutorial__Sample01__MiFish	127_Perccottus_glenii	242
ClaidentTutorial__Sample02__MiFish	002_unidentified_Euteleosteomorpha	494
ClaidentTutorial__Sample02__MiFish	014_unidentified_Bathyclupea	253
ClaidentTutorial__Sample02__MiFish	119_unidentified_Puntigrus	253
ClaidentTutorial__Sample02__MiFish	019_unidentified_Odacidae	251
ClaidentTutorial__Sample02__MiFish	045_unidentified_Samaris	251
ClaidentTutorial__Sample02__MiFish	020_unidentified_Channa	250
ClaidentTutorial__Sample02__MiFish	001_unidentified_Osteoglossiformes	249
ClaidentTutorial__Sample02__MiFish	031_Lepidosiren_paradoxa	249
ClaidentTutorial__Sample02__MiFish	047_unidentified_Nemacheilidae	249
ClaidentTutorial__Sample02__MiFish	051_Kaupichthys_hyoproroides	249
ClaidentTutorial__Sample02__MiFish	065_unidentified_Oryzias	249
ClaidentTutorial__Sample02__MiFish	076_unidentified_Osteobrama	249
ClaidentTutorial__Sample02__MiFish	136_unidentified_Acipenser	249
ClaidentTutorial__Sample02__MiFish	087_Dicentrarchus_labrax	248
ClaidentTutorial__Sample02__MiFish	110_unidentified_Hypoptopoma	248
ClaidentTutorial__Sample02__MiFish	113_Zu_cristatus	248
ClaidentTutorial__Sample02__MiFish	114_unidentified_Chascanopsetta	248
ClaidentTutorial__Sample02__MiFish	154_unidentified_Chaetobranchopsis	248
ClaidentTutorial__Sample02__MiFish	004_unidentified_Johnius	247
ClaidentTutorial__Sample02__MiFish	028_Dermogenys_pusilla	247
ClaidentTutorial__Sample02__MiFish	033_unidentified_Clupeidae	247
ClaidentTutorial__Sample02__MiFish	038_unidentified_Pristolepis	247
ClaidentTutorial__Sample02__MiFish	050_unidentified_Naso	247
ClaidentTutorial__Sample02__MiFish	057_unidentified_Lebiasina	247
ClaidentTutorial__Sample02__MiFish	075_unidentified_Diplomystes	247
ClaidentTutorial__Sample02__MiFish	083_unidentified_Cyprinoidei	247
ClaidentTutorial__Sample02__MiFish	089_Pseudolabrus_eoethinus	247
ClaidentTutorial__Sample02__MiFish	143_Menidia_menidia	247
ClaidentTutorial__Sample02__MiFish	147_Chelonodontops_patoca	247
ClaidentTutorial__Sample02__MiFish	003_Pagothenia_borchgrevinki	246
ClaidentTutorial__Sample02__MiFish	007_unidentified_Tetraodontidae	246
ClaidentTutorial__Sample02__MiFish	012_Pseudetroplus_maculatus	246
ClaidentTutorial__Sample02__MiFish	066_unidentified_Salminus	246
ClaidentTutorial__Sample02__MiFish	096_Selar_crumenophthalmus	246
ClaidentTutorial__Sample02__MiFish	124_Pagellus_bogaraveo	246
ClaidentTutorial__Sample02__MiFish	071_unidentified_Anguilliformes	245
