samplename	family	nreads
ClaidentTutorial__Sample01__MiFish	51_others	5664
ClaidentTutorial__Sample01__MiFish	04_unidentified_Euteleosteomorpha	494
ClaidentTutorial__Sample01__MiFish	05_Cyprinidae	494
ClaidentTutorial__Sample01__MiFish	11_Carangidae	488
ClaidentTutorial__Sample01__MiFish	09_Cichlidae	486
ClaidentTutorial__Sample01__MiFish	19_Echeneidae	250
ClaidentTutorial__Sample01__MiFish	14_Mormyridae	249
ClaidentTutorial__Sample01__MiFish	10_Gobiidae	248
ClaidentTutorial__Sample01__MiFish	40_Eleotridae	248
ClaidentTutorial__Sample01__MiFish	43_Pristolepididae	248
ClaidentTutorial__Sample01__MiFish	50_Acanthuridae	248
ClaidentTutorial__Sample01__MiFish	03_Nothobranchiidae	247
ClaidentTutorial__Sample01__MiFish	23_Atherinopsidae	247
ClaidentTutorial__Sample01__MiFish	47_Poeciliidae	247
ClaidentTutorial__Sample01__MiFish	08_Tetraodontidae	246
ClaidentTutorial__Sample01__MiFish	22_Bathyclupeidae	246
ClaidentTutorial__Sample01__MiFish	25_Odacidae	246
ClaidentTutorial__Sample01__MiFish	36_Lepidosirenidae	246
ClaidentTutorial__Sample01__MiFish	48_Nemacheilidae	246
ClaidentTutorial__Sample01__MiFish	02_unidentified_Osteoglossiformes	245
ClaidentTutorial__Sample01__MiFish	12_Sciaenidae	244
ClaidentTutorial__Sample01__MiFish	13_Nototheniidae	244
ClaidentTutorial__Sample01__MiFish	31_Xenocyprididae	244
ClaidentTutorial__Sample01__MiFish	26_Channidae	242
ClaidentTutorial__Sample02__MiFish	51_others	4685
ClaidentTutorial__Sample02__MiFish	05_Cyprinidae	502
ClaidentTutorial__Sample02__MiFish	04_unidentified_Euteleosteomorpha	494
ClaidentTutorial__Sample02__MiFish	09_Cichlidae	494
ClaidentTutorial__Sample02__MiFish	08_Tetraodontidae	493
ClaidentTutorial__Sample02__MiFish	22_Bathyclupeidae	253
ClaidentTutorial__Sample02__MiFish	25_Odacidae	251
ClaidentTutorial__Sample02__MiFish	46_Samaridae	251
ClaidentTutorial__Sample02__MiFish	26_Channidae	250
ClaidentTutorial__Sample02__MiFish	02_unidentified_Osteoglossiformes	249
ClaidentTutorial__Sample02__MiFish	36_Lepidosirenidae	249
ClaidentTutorial__Sample02__MiFish	48_Nemacheilidae	249
ClaidentTutorial__Sample02__MiFish	07_Clupeidae	247
ClaidentTutorial__Sample02__MiFish	12_Sciaenidae	247
ClaidentTutorial__Sample02__MiFish	23_Atherinopsidae	247
ClaidentTutorial__Sample02__MiFish	34_Zenarchopteridae	247
ClaidentTutorial__Sample02__MiFish	43_Pristolepididae	247
ClaidentTutorial__Sample02__MiFish	50_Acanthuridae	247
ClaidentTutorial__Sample02__MiFish	11_Carangidae	246
ClaidentTutorial__Sample02__MiFish	13_Nototheniidae	246
ClaidentTutorial__Sample02__MiFish	03_Nothobranchiidae	245
ClaidentTutorial__Sample02__MiFish	40_Eleotridae	245
ClaidentTutorial__Sample02__MiFish	47_Poeciliidae	245
ClaidentTutorial__Sample02__MiFish	14_Mormyridae	244
ClaidentTutorial__Sample02__MiFish	19_Echeneidae	244
ClaidentTutorial__Sample02__MiFish	31_Xenocyprididae	244
ClaidentTutorial__Sample02__MiFish	39_Osphronemidae	244
ClaidentTutorial__Sample02__MiFish	10_Gobiidae	242
ClaidentTutorial__Sample03__MiFish	51_others	4695
ClaidentTutorial__Sample03__MiFish	04_unidentified_Euteleosteomorpha	490
ClaidentTutorial__Sample03__MiFish	05_Cyprinidae	485
ClaidentTutorial__Sample03__MiFish	02_unidentified_Osteoglossiformes	253
