samplename	species	nreads
ClaidentTutorial__Sample01__MiFish	51_others	6598
ClaidentTutorial__Sample01__MiFish	15_unidentified_Cobitoidei	379
ClaidentTutorial__Sample01__MiFish	36_unidentified_Tariqilabeo	313
ClaidentTutorial__Sample01__MiFish	09_unidentified_Opsaridium	291
ClaidentTutorial__Sample01__MiFish	01_unidentified_Euteleosteomorpha	268
ClaidentTutorial__Sample01__MiFish	45_unidentified_Bovichtus	266
ClaidentTutorial__Sample01__MiFish	39_unidentified_Teleostei	239
ClaidentTutorial__Sample01__MiFish	41_Spratelloides_delicatulus	231
ClaidentTutorial__Sample01__MiFish	19_unidentified_Stolephorus	211
ClaidentTutorial__Sample01__MiFish	03_Kaupichthys_hyoproroides	209
ClaidentTutorial__Sample01__MiFish	48_unidentified_Cottiusculus	179
ClaidentTutorial__Sample01__MiFish	33_unidentified_Coilinae	159
ClaidentTutorial__Sample01__MiFish	20_Triphoturus_mexicanus	157
ClaidentTutorial__Sample01__MiFish	04_Uranoscopus_cognatus	148
ClaidentTutorial__Sample01__MiFish	11_unidentified_Pterois	133
ClaidentTutorial__Sample01__MiFish	35_unidentified_Muraeninae	83
ClaidentTutorial__Sample02__MiFish	51_others	6864
ClaidentTutorial__Sample02__MiFish	20_Triphoturus_mexicanus	288
ClaidentTutorial__Sample02__MiFish	19_unidentified_Stolephorus	269
ClaidentTutorial__Sample02__MiFish	25_unidentified_Chedrinae	231
ClaidentTutorial__Sample02__MiFish	09_unidentified_Opsaridium	221
ClaidentTutorial__Sample02__MiFish	35_unidentified_Muraeninae	208
ClaidentTutorial__Sample02__MiFish	48_unidentified_Cottiusculus	207
ClaidentTutorial__Sample02__MiFish	36_unidentified_Tariqilabeo	202
ClaidentTutorial__Sample02__MiFish	01_unidentified_Euteleosteomorpha	190
ClaidentTutorial__Sample02__MiFish	41_Spratelloides_delicatulus	185
ClaidentTutorial__Sample02__MiFish	15_unidentified_Cobitoidei	177
ClaidentTutorial__Sample02__MiFish	04_Uranoscopus_cognatus	173
ClaidentTutorial__Sample02__MiFish	33_unidentified_Coilinae	147
ClaidentTutorial__Sample02__MiFish	03_Kaupichthys_hyoproroides	143
ClaidentTutorial__Sample02__MiFish	45_unidentified_Bovichtus	133
ClaidentTutorial__Sample02__MiFish	39_unidentified_Teleostei	117
ClaidentTutorial__Sample02__MiFish	11_unidentified_Pterois	115
ClaidentTutorial__Sample03__MiFish	51_others	6013
ClaidentTutorial__Sample03__MiFish	07_Acentrogobius_pflaumii	341
ClaidentTutorial__Sample03__MiFish	39_unidentified_Teleostei	333
ClaidentTutorial__Sample03__MiFish	50_unidentified_Osteobrama	304
ClaidentTutorial__Sample03__MiFish	21_unidentified_Salminus	261
ClaidentTutorial__Sample03__MiFish	11_unidentified_Pterois	223
ClaidentTutorial__Sample03__MiFish	19_unidentified_Stolephorus	216
ClaidentTutorial__Sample03__MiFish	15_unidentified_Cobitoidei	199
ClaidentTutorial__Sample03__MiFish	36_unidentified_Tariqilabeo	197
ClaidentTutorial__Sample03__MiFish	35_unidentified_Muraeninae	196
ClaidentTutorial__Sample03__MiFish	45_unidentified_Bovichtus	189
ClaidentTutorial__Sample03__MiFish	25_unidentified_Chedrinae	187
ClaidentTutorial__Sample03__MiFish	04_Uranoscopus_cognatus	183
ClaidentTutorial__Sample03__MiFish	33_unidentified_Coilinae	181
ClaidentTutorial__Sample03__MiFish	03_Kaupichthys_hyoproroides	163
ClaidentTutorial__Sample03__MiFish	09_unidentified_Opsaridium	144
ClaidentTutorial__Sample03__MiFish	41_Spratelloides_delicatulus	138
ClaidentTutorial__Sample03__MiFish	48_unidentified_Cottiusculus	137
ClaidentTutorial__Sample03__MiFish	37_Odontobutis_platycephala	128
ClaidentTutorial__Sample03__MiFish	20_Triphoturus_mexicanus	124
ClaidentTutorial__Sample04__MiFish	51_others	5613
ClaidentTutorial__Sample04__MiFish	26_unidentified_Mormyridae	283
ClaidentTutorial__Sample04__MiFish	48_unidentified_Cottiusculus	270
ClaidentTutorial__Sample04__MiFish	03_Kaupichthys_hyoproroides	259
ClaidentTutorial__Sample04__MiFish	20_Triphoturus_mexicanus	249
ClaidentTutorial__Sample04__MiFish	07_Acentrogobius_pflaumii	246
ClaidentTutorial__Sample04__MiFish	06_unidentified_Macrouridae	243
ClaidentTutorial__Sample04__MiFish	19_unidentified_Stolephorus	233
ClaidentTutorial__Sample04__MiFish	37_Odontobutis_platycephala	232
ClaidentTutorial__Sample04__MiFish	36_unidentified_Tariqilabeo	229
ClaidentTutorial__Sample04__MiFish	33_unidentified_Coilinae	225
ClaidentTutorial__Sample04__MiFish	35_unidentified_Muraeninae	217
ClaidentTutorial__Sample04__MiFish	09_unidentified_Opsaridium	178
ClaidentTutorial__Sample04__MiFish	41_Spratelloides_delicatulus	178
ClaidentTutorial__Sample04__MiFish	04_Uranoscopus_cognatus	176
ClaidentTutorial__Sample04__MiFish	50_unidentified_Osteobrama	175
ClaidentTutorial__Sample04__MiFish	21_unidentified_Salminus	174
ClaidentTutorial__Sample04__MiFish	39_unidentified_Teleostei	174
ClaidentTutorial__Sample04__MiFish	01_unidentified_Euteleosteomorpha	147
ClaidentTutorial__Sample04__MiFish	25_unidentified_Chedrinae	132
ClaidentTutorial__Sample04__MiFish	45_unidentified_Bovichtus	131
ClaidentTutorial__Sample04__MiFish	11_unidentified_Pterois	93
ClaidentTutorial__Sample05__MiFish	51_others	5339
ClaidentTutorial__Sample05__MiFish	02_unidentified_Tetraodontidae	442
ClaidentTutorial__Sample05__MiFish	18_unidentified_Cyprinidae	293
ClaidentTutorial__Sample05__MiFish	23_unidentified_Gobiidae	290
ClaidentTutorial__Sample05__MiFish	36_unidentified_Tariqilabeo	273
ClaidentTutorial__Sample05__MiFish	07_Acentrogobius_pflaumii	256
ClaidentTutorial__Sample05__MiFish	09_unidentified_Opsaridium	238
ClaidentTutorial__Sample05__MiFish	20_Triphoturus_mexicanus	236
ClaidentTutorial__Sample05__MiFish	33_unidentified_Coilinae	226
ClaidentTutorial__Sample05__MiFish	50_unidentified_Osteobrama	196
ClaidentTutorial__Sample05__MiFish	06_unidentified_Macrouridae	192
ClaidentTutorial__Sample05__MiFish	03_Kaupichthys_hyoproroides	191
ClaidentTutorial__Sample05__MiFish	25_unidentified_Chedrinae	188
ClaidentTutorial__Sample05__MiFish	26_unidentified_Mormyridae	187
ClaidentTutorial__Sample05__MiFish	21_unidentified_Salminus	185
ClaidentTutorial__Sample05__MiFish	19_unidentified_Stolephorus	172
ClaidentTutorial__Sample05__MiFish	37_Odontobutis_platycephala	159
ClaidentTutorial__Sample05__MiFish	45_unidentified_Bovichtus	159
ClaidentTutorial__Sample05__MiFish	04_Uranoscopus_cognatus	149
ClaidentTutorial__Sample05__MiFish	11_unidentified_Pterois	145
ClaidentTutorial__Sample05__MiFish	41_Spratelloides_delicatulus	145
ClaidentTutorial__Sample05__MiFish	35_unidentified_Muraeninae	127
ClaidentTutorial__Sample05__MiFish	48_unidentified_Cottiusculus	89
ClaidentTutorial__Sample05__MiFish	31_unidentified_Callionymidae	1
ClaidentTutorial__Sample06__MiFish	51_others	4594
