samplename	MiFish_STD_01	MiFish_STD_02	MiFish_STD_03	MiFish_STD_04-2
ClaidentTutorial__Sample01__MiFish	5	10	20	40
ClaidentTutorial__Sample02__MiFish	5	10	20	40
ClaidentTutorial__Sample03__MiFish	5	10	20	40
ClaidentTutorial__Sample04__MiFish	5	10	20	40
ClaidentTutorial__Sample05__MiFish	5	10	20	40
ClaidentTutorial__Sample06__MiFish	5	10	20	40
ClaidentTutorial__Sample07__MiFish	5	10	20	40
ClaidentTutorial__Sample08__MiFish	5	10	20	40
ClaidentTutorial__Sample09__MiFish	5	10	20	40
ClaidentTutorial__Sample10__MiFish	5	10	20	40
ClaidentTutorial__Sample11__MiFish	5	10	20	40
ClaidentTutorial__Sample12__MiFish	5	10	20	40
ClaidentTutorial__Sample13__MiFish	5	10	20	40
ClaidentTutorial__Sample14__MiFish	5	10	20	40
ClaidentTutorial__Sample15__MiFish	5	10	20	40
ClaidentTutorial__Sample16__MiFish	5	10	20	40
ClaidentTutorial__Sample17__MiFish	5	10	20	40
ClaidentTutorial__Sample18__MiFish	5	10	20	40
ClaidentTutorial__Sample19__MiFish	5	10	20	40
ClaidentTutorial__Sample20__MiFish	5	10	20	40
ClaidentTutorial__Blank01__MiFish	5	10	20	40
ClaidentTutorial__Blank02__MiFish	5	10	20	40
ClaidentTutorial__Blank03__MiFish	5	10	20	40
ClaidentTutorial__Blank04__MiFish	5	10	20	40
