0.0647	denoised_001	KT601639_70_1019	AP011449_70_1021	KT601639_70_1019	80.7	78.9	78.1	84.2	78.9	3	0	0	8	6	16	1.8	N
0.0000	denoised_002	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_003	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_005	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_004	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_006	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_008	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_007	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_011	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_010	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_009	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_012	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_014	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0909	denoised_016	KJ168064_69_1026	KJ168066_65_1019	KJ168064_69_1026	94.8	92.2	92.2	93.9	92.2	3	0	2	3	0	4	2.6	N
0.0000	denoised_013	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_019	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_017	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_029	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_022	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_021	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_020	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_024	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_023	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_037	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_025	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_040	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0923	denoised_039	KP696748_69_1014	MK496975_70_1018	MK496975_70_1018	90.6	85.5	88.0	88.0	88.0	3	0	6	8	2	3	2.6	N
0.0000	denoised_038	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_028	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_026	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0902	denoised_035	MG718032_69_1010	KY242356_69_1009	MG718032_69_1010	96.5	94.7	93.9	92.1	94.7	3	0	0	4	2	2	1.8	N
0.0000	denoised_030	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_036	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0867	denoised_054	KT896534_69_1017	KR921879_69_1020	KT896534_69_1017	84.1	80.5	77.9	73.5	80.5	11	4	2	8	4	8	3.5	N
0.0000	denoised_027	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_044	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_050	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_055	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_052	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_033	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_048	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_018	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_041	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_049	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_031	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_032	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_042	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_059	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_058	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_061	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_057	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_045	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_065	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_068	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_056	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_071	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0744	denoised_076	JQ639066_69_1018	MH317761_69_1017	JQ639066_69_1018	82.5	80.6	74.8	75.7	80.6	10	2	7	5	3	6	1.9	N
0.0000	denoised_069	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_062	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_047	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_066	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0652	denoised_070	MW322824_71_1017	AP009213_69_1015	MW322824_71_1017	87.1	84.2	83.2	81.2	84.2	6	2	6	5	2	3	3.0	N
0.0000	denoised_015	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0673	denoised_082	AP002952_69_1017	MZ329991_69_1020	AP002952_69_1017	78.5	77.6	75.7	67.3	77.6	3	0	0	11	10	13	0.9	N
0.0000	denoised_046	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_034	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_072	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_067	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_064	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_063	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_075	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_087	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_081	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_074	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_083	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_060	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_079	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_043	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_088	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_080	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_090	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_084	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_095	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
0.0000	denoised_094	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
